Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1951,10.788,11.397,10.615,11.178,17.061,27.394,34.016,32.845,30.214,21.324,14.127,13.261
1952,12.105,12.14,10.572,12.545,18.194,27.494,33.313,32.788,30.262,20.05,13.563,13.261
1953,10.671,12.84,12.906,12.129,18.311,28.794,33.313,32.845,30.17,20.05,13.328,13.97
1954,10.762,12.14,11.006,12.977,19.209,27.394,33.131,32.845,30.17,18.816,13.263,13.261
1955,10.84,11.439,11.432,11.263,17.061,28.811,33.131,32.788,30.17,20.107,13.62,13.261
1956,11.296,11.422,10.506,12.855,18.168,26.342,31.73,32.845,30.079,19.858,13.612,13.261
1957,11.314,11.031,9.905,11.254,17.061,28.009,33.245,32.845,30.17,19.993,14.362,13.37
1958,12.206,11.939,10.998,12.798,18.103,30.797,33.414,32.902,30.17,20.142,13.828,13.261
1959,11.296,11.397,11.156,11.954,17.292,27.394,33.106,32.844,30.105,20.124,14.127,13.261
1960,10.996,12.665,10.606,11.872,17.104,29.119,33.245,32.902,30.17,20.05,13.328,13.261
1961,11.296,10.598,11.406,12.029,17.061,27.451,33.514,32.845,30.17,20.681,13.719,11.762
1962,10.731,11.666,10.606,11.963,17.061,30.902,35.214,32.845,30.17,19.058,14.111,13.261
1963,10.697,11.566,10.405,11.753,16.952,27.486,33.705,32.902,31.07,20.05,14.629,13.261
1964,11.196,11.541,11.34,12.746,16.268,28.111,32.253,32.845,30.214,20.325,13.486,13.261
1965,12.088,11.64,10.514,11.32,17.153,30.919,33.414,33.321,30.205,20.05,14.127,12.427
1966,10.805,12.806,10.897,12.746,18.212,27.394,35.14,32.832,30.17,19.993,14.336,13.261
1967,11.296,12.14,9.905,11.954,17.061,28.502,33.106,32.845,30.17,19.993,13.479,13.261
1968,10.697,10.663,10.306,11.946,17.061,28.159,32.47,32.845,31.052,20.107,13.837,13.261
1969,11.296,12.149,12.149,12.029,16.949,29.119,32.88,32.845,30.17,20.05,15.129,12.761
1970,11.296,11.005,10.414,12.755,16.895,25.994,32.889,32.845,30.262,20.05,13.52,13.17
1971,11.296,11.397,10.405,11.38,15.161,25.543,31.554,31.061,30.17,20.05,14.027,13.353
1972,11.288,10.655,9.839,11.946,16.743,27.205,34.115,32.802,29.062,18.81,14.027,13.261
1973,11.697,11.139,10.397,12.454,17.104,27.003,32.339,32.845,30.006,19.976,13.351,12.461
1974,11.222,10.996,11.441,12.889,16.878,26.832,32.705,30.048,30.079,21.349,13.62,12.419
1975,10.606,11.549,10.506,12.79,18.195,26.667,32.196,32.679,30.17,21.024,13.42,13.045
1976,11.797,11.397,10.606,11.389,16.435,26.667,32.957,31.001,30.079,20.041,15.262,13.261
1977,11.763,11.005,11.074,11.389,15.109,28.01,34.146,32.845,30.17,20.05,15.211,13.261
1978,11.188,10.728,9.206,11.346,18.252,27.585,33.557,33.347,30.036,20.05,14.629,13.662
1979,11.905,10.496,10.306,11.954,16.96,28.001,33.106,32.845,30.17,21.349,16.545,13.787
1980,11.296,11.939,10.506,12.855,17.878,25.452,30.153,32.844,30.063,20.777,14.127,13.261
1981,11.296,11.748,10.414,11.954,16.635,27.394,31.788,32.845,30.17,19.585,13.42,13.261
1982,11.688,10.754,9.272,11.254,16.085,26.068,35.513,32.845,30.288,20.05,14.127,13.396
1983,10.862,10.971,10.479,11.229,16.059,28.203,32.447,32.746,30.205,20.05,13.654,13.261
1984,11.296,10.655,11.375,11.954,18.151,26.093,33.106,32.596,30.17,20.05,13.42,13.261
1985,11.005,11.454,11.548,12.229,17.061,28.018,33.114,32.845,30.17,19.933,14.127,14.052
1986,11.296,11.397,10.506,11.963,16.025,27.293,32.139,32.845,30.17,19.841,14.127,13.27
1987,11.204,12.039,10.506,12.029,16.777,30.853,34.627,34.406,30.271,20.041,13.936,13.261
1988,12.03,12.14,10.606,12.847,18.286,27.228,33.106,32.844,32.07,20.325,14.127,14.027
1989,10.805,11.848,10.606,12.063,17.061,26.102,33.106,31.197,30.271,20.05,14.127,13.261
1990,12.206,11.813,10.106,11.963,16.868,27.884,32.297,32.845,30.236,20.05,14.127,13.362
1991,11.097,12.14,10.998,11.963,17.887,27.585,34.574,32.845,30.236,20.05,13.793,13.261
1992,11.088,10.632,10.979,12.263,16.276,27.394,33.739,32.845,30.17,20.05,14.471,13.261
1993,11.954,12.14,9.971,11.589,17.061,28.085,34.4,32.845,30.179,20.067,14.242,13.253
1994,12.197,11.397,11.406,11.254,18.134,27.52,33.313,32.845,30.271,20.05,14.027,13.353
1995,10.731,11.649,10.497,12.055,19.086,28.722,33.313,32.845,30.17,20.64,14.027,14.061
1996,11.296,11.131,11.406,12.055,18.26,27.636,33.131,32.845,30.179,20.05,14.485,13.227
1997,11.296,10.988,10.672,11.719,16.557,27.745,36.716,32.845,30.17,18.624,14.062,13.578
1998,10.283,12.14,9.905,12.42,17.786,29.19,33.313,32.845,30.371,21.447,16.437,13.818
1999,11.179,12.73,11.432,13.916,17.061,27.528,33.939,32.845,30.205,20.233,15.811,14.178
2000,12.297,11.448,10.606,12.912,17.061,26.616,33.406,32.862,30.17,21.451,15.936,14.195
2001,11.496,12.14,10.606,12.045,17.061,25.616,33.22,33.062,30.519,21.451,15.194,13.421
2002,12.088,11.813,11.406,12.389,18.159,27.537,36.934,32.845,30.262,20.05,14.127,13.296
