Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1951,10.7,11.35,10.786,11.472,17.44,27.291,33.866,32.573,30.015,20.914,14.009,12.88
1952,11.999,12.134,10.728,12.889,18.488,27.349,33.131,32.489,30.235,19.765,13.492,12.88
1953,10.515,12.809,13.06,12.337,18.588,28.598,33.089,32.573,30.066,19.765,13.207,13.579
1954,10.683,12.134,11.186,13.177,19.581,27.224,32.889,32.573,29.998,18.507,13.167,12.88
1955,10.716,11.502,11.712,11.521,17.346,28.818,32.889,32.531,29.998,19.805,13.55,12.88
1956,11.199,11.435,10.686,13.095,18.446,26.301,31.532,32.547,29.898,19.496,13.575,12.88
1957,11.131,11.102,10.086,11.521,17.372,27.688,32.972,32.573,29.998,19.723,14.334,12.978
1958,12.098,11.867,11.186,13.038,18.362,30.506,33.19,32.657,29.998,19.864,13.681,12.88
1959,11.199,11.282,11.235,12.222,17.53,27.249,32.889,32.573,29.957,19.805,14.009,12.947
1960,10.831,12.828,10.744,12.053,17.431,28.941,32.972,32.657,29.998,19.765,13.207,12.88
1961,11.199,10.509,11.585,12.237,17.44,27.307,33.289,32.573,30.024,20.499,13.676,11.431
1962,10.684,11.719,10.786,12.222,17.398,30.563,34.921,32.573,30.024,18.722,14.009,12.947
1963,10.599,11.66,10.586,12.021,17.34,27.349,33.625,32.657,30.898,19.765,14.507,12.88
1964,11.099,11.535,11.569,13.088,16.503,28.05,32.208,32.573,30.015,20.132,13.349,12.922
1965,11.999,11.635,10.686,11.537,17.472,30.849,33.19,32.954,30.015,19.765,14.009,12.02
1966,10.632,12.876,11.153,13.022,18.42,27.224,34.974,32.573,29.998,19.749,14.073,12.838
1967,11.199,12.134,10.086,12.222,17.372,28.255,32.889,32.573,29.931,19.681,13.297,12.88
1968,10.599,10.634,10.512,12.18,17.372,27.898,32.24,32.573,30.544,19.805,13.707,12.88
1969,11.199,12.108,12.277,12.169,17.28,28.805,32.563,32.573,29.998,19.765,14.939,12.38
1970,11.199,10.951,10.586,12.996,17.231,25.85,32.563,32.573,30.099,19.697,13.433,12.711
1971,11.199,11.282,10.586,11.679,15.497,25.458,31.576,30.705,29.889,19.765,13.976,12.978
1972,11.199,10.634,10.07,12.222,17.316,27.219,33.931,32.379,28.991,18.567,13.976,12.88
1973,11.531,11.134,10.586,12.789,17.389,26.729,32.241,32.573,29.925,19.749,13.233,12.079
1974,11.184,11.085,11.67,13.179,17.324,26.649,32.515,30.009,29.83,21.065,13.575,12.062
1975,10.457,11.493,10.686,13.038,18.42,26.398,32.124,32.431,30.066,20.571,13.375,12.772
1976,11.698,11.35,10.76,11.679,16.62,26.398,32.679,30.781,29.804,19.697,15.082,12.88
1977,11.615,10.951,11.219,11.611,15.48,27.976,33.83,32.573,29.998,19.765,14.981,12.88
1978,11.167,10.608,9.411,11.62,18.571,27.424,33.238,33.157,30.017,19.765,14.507,13.305
1979,11.798,10.476,10.486,12.222,17.272,27.688,32.889,32.573,29.998,21.039,16.206,13.338
1980,11.199,11.934,10.712,13.12,18.392,25.374,29.804,32.573,29.965,20.523,14.009,12.88
1981,11.199,11.667,10.544,12.222,17.149,27.291,31.75,32.573,29.998,19.35,13.375,12.88
1982,11.312,10.734,9.427,11.547,16.262,25.974,35.07,32.547,30.006,19.765,14.009,13.105
1983,10.715,10.866,10.56,11.394,16.439,27.956,32.247,32.447,30.057,19.765,13.592,12.88
1984,11.199,10.592,11.603,12.222,18.514,25.991,32.889,32.221,29.956,19.765,13.417,12.88
1985,10.899,11.501,11.744,12.395,17.372,27.646,32.889,32.573,29.998,19.691,14.009,13.679
1986,11.199,11.35,10.686,12.222,16.246,27.124,32.042,32.547,29.998,19.674,14.009,12.838
1987,11.099,12.035,10.686,12.237,17.003,30.48,34.861,34.256,30.057,19.9,13.74,12.947
1988,11.984,12.134,10.718,13.162,18.563,27.082,32.889,32.573,31.899,20.174,14.009,13.663
1989,10.658,11.766,10.786,12.254,17.372,25.991,32.889,30.863,30.099,19.765,14.009,12.905
1990,12.098,11.75,10.285,12.18,17.13,27.791,32.156,32.573,30.082,19.697,14.009,12.911
1991,10.999,12.134,11.212,12.154,18.298,27.424,34.313,32.573,30.04,19.765,13.623,12.88
1992,11.067,10.592,11.127,12.412,16.435,27.291,33.287,32.573,29.998,19.765,14.298,12.88
1993,11.84,12.228,10.194,11.609,17.372,27.636,34.029,32.573,29.998,19.79,14.2,12.905
1994,12.098,11.35,11.585,11.588,18.346,27.475,33.089,32.573,30.099,19.765,13.908,13.046
1995,10.658,11.593,10.754,12.321,19.405,28.574,33.131,32.447,29.973,20.061,13.84,13.679
1996,11.199,11.176,11.519,12.321,18.571,27.356,32.619,32.573,29.998,19.765,14.392,12.779
1997,11.199,10.992,10.802,11.962,16.973,27.312,36.616,32.573,29.998,18.196,13.993,13.069
1998,10.147,12.066,10.086,12.662,18.265,28.948,32.954,32.573,30.267,21.089,16.121,13.488
1999,11.167,12.802,11.806,14.188,17.398,27.408,33.883,32.573,30.083,20.074,15.801,13.644
2000,12.199,11.393,10.786,13.135,17.372,26.542,33.122,32.573,30.066,21.097,15.698,13.838
2001,11.467,12.092,10.853,12.321,17.44,25.499,33.218,32.965,30.434,21.122,14.939,13.23
2002,11.973,11.776,11.544,12.68,18.497,27.34,36.697,32.573,30.167,19.765,14.06,12.938
