Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1951,11.22,12.053,11.552,12.82,19.171,28.707,33.689,33.449,30.989,23.221,15.309,13.799
1952,12.543,12.976,11.452,13.613,20.043,28.83,33.5,33.335,30.895,21.793,14.653,13.728
1953,11.354,13.56,13.532,13.447,20.301,29.852,33.5,33.449,30.888,21.779,14.624,14.436
1954,11.369,13.067,11.845,14.499,21.123,28.63,33.5,33.449,30.989,20.841,14.251,13.785
1955,11.249,12.267,12.11,12.571,18.971,29.752,33.52,33.349,30.989,21.892,14.739,13.799
1956,11.748,12.039,11.352,13.964,19.994,27.572,32.049,33.349,30.789,21.735,14.653,13.799
1957,11.892,11.838,10.646,12.441,19.128,29.287,33.599,33.449,30.888,21.692,15.281,14.007
1958,12.648,12.667,11.751,13.97,19.951,31.483,33.599,33.563,30.895,21.906,14.98,13.799
1959,11.768,12.267,11.883,13.184,19.428,28.701,33.313,33.449,30.611,22.014,15.281,13.799
1960,11.491,13.218,11.452,13.098,19.228,30.081,33.599,33.548,30.989,21.892,14.581,13.799
1961,11.768,11.532,12.244,13.291,19.171,28.707,33.701,33.463,31.01,22.45,14.852,12.443
1962,11.22,12.461,11.452,13.241,19.171,31.603,35.229,33.449,31.01,20.999,15.109,13.799
1963,11.157,12.367,11.253,13.041,19.072,28.801,33.914,33.563,31.782,21.813,15.774,13.799
1964,11.677,12.289,12.082,13.893,18.3,29.159,32.414,33.449,30.989,21.999,14.702,13.799
1965,12.407,12.467,11.452,12.642,19.149,31.78,33.599,33.449,30.888,21.821,15.281,13.043
1966,11.392,13.46,11.745,13.821,20.186,28.624,34.851,33.42,30.888,21.664,15.61,13.799
1967,11.754,12.896,10.765,13.142,19.1,29.858,33.301,33.449,30.895,21.678,14.581,13.834
1968,11.255,11.567,11.273,13.071,19.428,29.559,33.198,33.449,31.474,22.151,15.081,13.728
1969,11.72,12.976,12.904,13.298,18.928,30.081,33.243,33.449,30.989,21.793,16.203,13.377
1970,11.768,11.895,11.253,13.742,18.751,27.407,33.313,33.435,30.895,21.793,14.653,13.728
1971,11.768,12.239,11.253,12.024,17.314,26.993,31.749,31.563,30.874,21.793,15.181,13.799
1972,11.72,11.524,10.723,13.113,18.643,28.122,34.193,33.307,29.861,20.465,15.138,13.799
1973,12.155,12.108,11.125,13.77,19.072,28.378,32.458,33.435,30.932,21.813,14.702,13.101
1974,11.62,11.866,12.133,13.942,18.942,28.335,32.901,31.147,30.888,23.087,14.753,13
1975,11.169,12.467,11.352,13.821,19.951,28.079,32.271,33.143,31.01,22.95,14.481,13.648
1976,12.149,12.267,11.375,12.441,18.648,28.079,32.986,31.754,30.712,21.721,16.638,13.785
1977,12.149,11.866,11.982,12.556,17.243,28.952,34.385,33.449,30.989,21.892,16.31,13.799
1978,11.62,11.773,10.166,12.563,20.143,28.729,33.65,34.229,30.718,21.821,15.823,14.157
1979,12.378,11.438,11.153,13.142,18.957,29.258,33.301,33.449,30.775,23.016,17.696,14.477
1980,11.775,12.667,11.429,14.041,19.8,26.922,30.868,33.449,30.754,22.45,15.281,13.799
1981,11.95,12.596,11.381,13.142,18.508,28.701,32.026,33.52,30.888,21.25,14.581,13.827
1982,12.421,11.595,10.273,12.556,18.335,27.577,35.331,33.349,31.147,21.793,15.281,13.799
1983,11.455,11.872,11.48,12.585,18.191,29.238,32.549,33.229,30.874,21.821,14.753,13.799
1984,11.768,11.524,11.903,13.142,19.951,27.443,33.5,33.178,30.868,21.892,14.581,13.799
1985,11.555,12.267,12.275,13.47,19.072,29.493,33.301,33.449,30.989,21.536,15.281,14.422
1986,11.768,12.267,11.352,13.241,18.114,28.509,32.265,33.229,30.888,21.558,15.281,13.827
1987,11.748,12.847,11.352,13.348,18.8,31.854,35.028,34.6,31.01,21.764,15.187,13.799
1988,12.344,12.868,11.452,13.913,20.151,28.323,33.386,33.449,32.42,21.864,15.281,14.57
1989,11.392,12.695,11.452,13.27,19.072,27.478,33.301,31.999,31.01,21.813,15.281,13.799
1990,12.634,12.667,11.052,13.27,19.008,29.102,32.472,33.449,30.989,21.799,15.281,13.9
1991,11.555,13.067,12.024,13.27,19.523,28.816,34.046,33.449,30.989,21.793,15.023,13.785
1992,11.521,11.418,12.173,13.513,18.222,28.729,34.057,33.449,30.909,21.793,15.482,13.785
1993,12.472,13.053,10.91,12.464,19.171,29.444,34.237,33.449,30.989,22.558,15.396,14.211
1994,12.648,12.113,12.339,12.526,20.209,28.749,33.5,33.449,30.989,21.793,15.166,13.872
1995,11.143,12.673,11.449,13.313,20.808,29.259,33.5,33.449,30.888,22.736,15.103,14.542
1996,11.754,11.879,12.353,13.241,20.349,28.835,33.3,33.449,30.989,21.793,15.469,14.021
1997,11.748,11.717,11.552,13.156,19.1,28.888,37.334,33.449,30.966,20.528,15.181,14.293
1998,10.711,12.973,11.084,13.762,19.515,31.061,33.5,33.449,31.204,23.857,17.446,14.174
1999,11.746,13.61,12.204,15.617,19.243,28.701,33.922,33.449,30.909,22.37,16.804,14.599
2000,12.749,12.467,11.472,14.261,19.157,28.342,33.5,33.449,30.989,23.295,17.33,14.303
2001,12.12,12.939,11.552,13.313,19.171,27.639,33.5,33.449,31.56,23.315,16.423,13.799
2002,12.336,12.973,12.353,13.441,19.568,28.729,36.227,33.449,30.989,21.793,15.309,13.785
