Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1951,9.9,10.567,10.285,10.266,16.189,25.869,33.701,31.218,28.438,19.379,12.641,11.286
1952,11.3,11.562,10.165,12.27,17.119,25.105,32.24,31.264,29.129,17.601,12.128,11.286
1953,9.645,11.609,12.557,11.601,17.249,27.481,32.022,31.218,28.583,17.601,11.65,11.943
1954,9.878,11.334,10.681,11.897,18.146,26.241,31.98,31.208,28.629,16.026,12.09,11.227
1955,10.175,10.886,11.486,10.792,16.018,27.177,32.176,31.208,28.637,17.248,12.027,11.071
1956,10.475,10.918,10.185,11.586,17.065,25.785,30.851,31.208,28.447,16.789,12.057,11.209
1957,10.377,10.507,9.585,10.757,16.097,26.242,31.98,31.516,28.534,17.601,12.914,11.286
1958,11.572,11.023,10.814,12.649,17.249,28.476,32.13,31.283,28.534,17.598,12.715,11.601
1959,10.514,10.49,10.855,11.484,16.156,26.159,32.009,31.218,28.559,17.601,12.425,11.621
1960,10.197,12.572,10.185,11.384,16.316,27.62,31.98,31.261,28.748,17.601,11.65,11.335
1961,10.499,9.674,11.09,11.556,16.189,25.859,32.275,31.208,28.552,17.829,12.149,9.883
1962,10.232,10.887,10.195,11.46,16.121,28.318,33.945,31.261,28.548,16.561,12.806,11.515
1963,9.975,11.161,10.063,11.203,16.097,25.869,32.827,31.208,29.359,17.62,13.592,11.286
1964,10.304,10.787,11.435,12.103,15.135,26.895,31.31,31.283,28.544,18.099,11.66,11.382
1965,11.723,10.863,10.151,10.892,16.285,29.319,32.24,32.08,28.577,17.601,12.425,10.699
1966,10.316,12.138,10.495,11.842,17.038,25.594,33.882,31.218,28.534,18.116,12.405,11.223
1967,10.391,11.421,9.783,11.442,16.121,25.869,31.98,30.111,28.027,17.601,11.998,11.286
1968,10.18,9.786,10.15,11.373,16.097,26.078,30.882,31.264,28.251,17.601,12.097,11.286
1969,10.489,11.301,11.753,11.48,15.927,27.039,31.753,31.261,28.577,17.601,12.831,10.871
1970,10.499,10.252,10.185,12.284,16.107,24.491,31.37,31.208,28.557,17.427,12.001,10.988
1971,10.499,10.543,10.086,11.288,14.918,22.838,30.424,29.415,28.231,17.601,12.422,11.418
1972,10.716,9.808,10.042,11.436,16.594,26.99,32.823,31.089,27.449,16.939,12.432,11.436
1973,10.801,10.211,10.185,12.197,16.489,25.581,31.788,31.261,28.644,17.601,12.14,10.505
1974,10.499,10.113,11.207,12.74,16.111,25.826,31.829,29.622,28.154,18.378,12.143,10.505
1975,9.558,10.569,10.185,12.281,17.245,24.677,31.472,31.283,28.055,18.018,11.846,11.275
1976,11.1,10.567,10.199,11.288,15.622,24.629,31.941,29.461,28.256,17.576,13.361,11.286
1977,10.7,10.19,10.504,11.188,14.444,26.516,31.452,31.261,28.247,17.601,13.339,11.293
1978,10.499,9.861,9.106,11.274,17.678,26.078,31.056,30.577,28.204,17.601,13.023,11.567
1979,11.132,9.861,9.886,11.47,15.79,25.973,31.98,31.045,29.112,18.858,14.412,11.655
1980,10.509,11.189,10.161,12.27,17.194,23.987,29.609,31.198,28.562,18.512,12.425,11.286
1981,10.38,10.747,9.964,11.484,16.078,25.863,30.905,31.261,28.577,17.518,12.032,11.286
1982,10.5,9.921,8.855,10.771,14.947,25.346,34.041,31.283,28.545,17.601,12.425,12.122
1983,10.222,9.899,9.886,10.131,15.132,26.812,31.9,31.264,28.647,17.601,12.146,11.286
1984,10.38,9.404,11.278,11.47,17.799,25.386,32.138,30.842,28.052,17.601,12.14,11.272
1985,10.298,10.669,11.724,11.53,16.583,26.241,31.966,31.283,28.534,17.12,12.425,11.753
1986,10.499,10.292,10.185,11.47,14.861,25.849,31.047,31.208,28.534,17.528,12.425,10.974
1987,10.311,11.286,10.238,11.48,15.503,29.135,35.362,33.452,29.239,18.349,12.092,11.538
1988,11.405,11.382,10.185,12.73,17.59,25.999,32.031,31.208,30.358,18.101,12.425,11.874
1989,9.932,10.925,10.185,11.539,16.097,24.616,31.98,30.527,28.647,17.601,12.706,11.286
1990,12.086,10.65,9.633,11.259,15.771,26.458,31.065,31.29,28.818,17.284,12.425,11.286
1991,10.25,11.344,10.342,11.249,17.049,26.058,35.223,31.208,28.666,17.601,12.089,11.286
1992,10.533,9.786,10.292,11.534,15.769,25.972,32.23,31.208,28.587,17.601,12.873,11.286
1993,10.836,11.407,9.585,11.002,16.078,26.095,33.127,32.136,27.78,17.601,12.661,11.32
1994,11.272,10.567,10.969,10.857,17.01,26.475,32.169,31.208,28.644,17.601,12.415,11.421
1995,10.218,10.583,10.199,11.55,17.959,28.061,32.24,30.58,28.698,17.651,12.162,11.883
1996,10.499,10.543,10.743,11.494,16.302,26.017,31.661,31.194,28.644,17.586,12.662,10.95
1997,10.543,10.404,10.256,10.853,15.217,25.977,34.773,31.283,28.462,15.849,12.425,11.19
1998,10.028,11.036,9.585,11.652,17.302,26.689,31.991,31.258,28.665,17.772,14.092,11.663
1999,10.585,12.377,11.134,12.665,16.087,26.092,32.889,31.348,28.647,17.626,13.943,11.97
2000,11.31,10.567,10.189,12.27,16.117,24.565,32.148,31.28,29.014,18.897,14.095,12.382
2001,10.559,11.276,10.306,11.47,16.088,23.398,32.226,32.291,29.173,18.815,13.134,11.977
2002,11.118,10.982,10.987,12.098,17.313,25.996,36.188,31.194,28.62,17.601,12.468,11.518
