Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1951,10.959,11.846,10.751,11.15,16.851,27.844,33.655,33.212,30.598,22.625,14.686,13.903
1952,12.355,12.646,10.654,12.175,17.879,27.911,33.497,33.201,30.505,21.222,13.996,13.861
1953,11.125,13.184,12.884,12.165,18.408,29.183,33.497,33.211,30.502,21.227,13.836,14.597
1954,11.133,12.637,10.963,12.924,18.618,27.84,33.497,33.212,30.562,20.034,13.742,13.903
1955,11.192,11.847,11.345,11.226,16.848,28.695,33.497,33.148,30.554,21.261,14.079,13.903
1956,11.653,11.637,10.553,12.677,18.028,26.359,32.193,33.212,30.483,21.22,13.899,13.869
1957,12.057,11.377,9.886,11.072,17.072,28.835,33.505,33.212,30.492,21.222,14.689,14.16
1958,12.572,12.331,10.954,12.728,17.879,31.002,33.598,33.224,30.492,21.261,14.426,13.903
1959,11.653,11.846,11.436,11.861,17.216,27.806,33.366,33.212,30.422,21.431,14.686,13.869
1960,11.352,12.871,10.654,12.061,17.11,29.274,33.5,33.224,30.596,21.227,13.89,13.903
1961,11.653,10.948,11.608,12.067,16.848,27.844,33.611,33.212,30.561,21.922,14.131,12.471
1962,10.905,11.883,10.654,11.871,16.848,30.624,35.223,33.212,30.562,20.379,14.384,13.852
1963,10.903,11.842,10.367,11.571,16.62,27.849,33.758,33.224,31.301,21.222,15.129,13.903
1964,11.553,12.028,11.449,12.376,16.282,28.194,32.007,33.212,30.59,21.373,14.047,13.903
1965,12.254,12.134,10.654,11.178,16.848,31.078,33.506,33.76,30.588,21.261,14.686,13.11
1966,11.218,12.966,10.767,12.432,18.142,27.755,35.073,33.339,30.588,21.19,15.083,13.903
1967,11.619,12.637,9.889,11.766,16.999,29.149,33.467,33.212,30.554,21.213,14.203,14.12
1968,11.116,11.229,10.404,11.515,16.993,28.713,33.398,33.212,31.593,21.227,14.487,13.895
1969,11.471,12.737,12.352,12.155,16.766,29.191,33.253,33.212,30.596,21.223,15.773,13.403
1970,11.653,11.592,10.541,12.468,16.685,26.413,33.312,33.212,30.504,21.227,13.93,13.884
1971,11.653,11.846,10.364,11.003,14.831,25.632,31.431,31.453,30.502,21.222,14.496,13.903
1972,11.406,11.029,9.797,11.671,16.341,28.006,34.265,33.031,29.2,19.834,14.483,13.993
1973,12.051,11.695,10.257,12.302,16.966,27.696,32.388,33.212,30.337,20.993,13.93,13.159
1974,11.266,11.316,11.347,12.725,16.305,27.481,32.785,30.575,30.492,22.33,13.992,13.003
1975,10.965,12.139,10.552,12.543,17.871,27.408,32.087,32.956,30.596,22.514,13.796,13.371
1976,11.996,11.846,10.654,11.112,16.511,27.342,33.188,31.51,30.48,21.089,16.109,13.909
1977,11.971,11.541,11.211,11.287,14.794,27.988,34.398,33.212,30.554,21.383,16.012,13.903
1978,11.355,11.405,9.252,11.173,17.885,27.94,33.893,33.644,30.304,21.31,15.293,14.295
1979,12.357,10.934,10.353,11.68,16.786,28.734,33.272,33.212,30.48,22.522,17.38,15.001
1980,11.741,12.335,10.552,12.675,17.408,25.816,30.782,33.212,30.14,21.826,14.686,13.903
1981,11.758,12.429,10.648,11.771,16.026,27.84,31.65,33.212,30.536,20.656,13.936,13.994
1982,12.448,11.051,9.417,11.079,16.278,26.809,36.086,33.201,31.047,21.257,14.686,14.035
1983,11.268,11.592,10.756,11.226,15.919,28.772,32.583,33.145,30.492,21.373,13.996,13.869
1984,11.653,11.051,11.218,11.766,17.791,26.507,33.366,33.151,30.536,21.261,13.881,13.903
1985,11.418,11.768,11.681,12.266,16.848,28.998,33.264,33.212,30.596,20.705,14.686,14.601
1986,11.653,11.846,10.558,11.871,15.938,27.746,32.094,33.146,30.585,20.861,14.686,14.008
1987,11.562,12.531,10.552,12.067,16.801,31.336,34.303,34.425,30.598,21.116,14.642,13.869
1988,12.196,12.57,10.654,12.465,17.952,27.637,33.467,33.211,32.159,21.222,14.686,14.717
1989,11.218,12.439,10.654,12.067,16.926,26.808,33.263,31.811,30.598,21.222,14.686,13.903
1990,12.562,12.393,10.252,11.977,16.699,28.15,32.203,33.212,30.598,21.227,14.686,14.004
1991,11.452,12.637,10.925,11.871,17.325,27.905,34.403,33.217,30.598,21.222,14.429,13.903
1992,11.298,11.039,11.229,12.322,16.372,27.914,34.484,33.215,30.505,21.261,15.213,13.903
1993,12.138,12.699,10.022,11.217,16.851,29.186,34.821,33.259,30.598,21.785,14.681,13.882
1994,12.463,11.846,11.551,11.071,18.217,27.91,33.497,33.215,30.598,21.222,14.585,13.869
1995,10.956,12.336,10.274,11.867,18.678,29.801,33.497,33.212,30.588,22.468,14.585,14.616
1996,11.836,11.428,11.455,11.833,18.007,28.084,33.497,33.212,30.598,21.222,14.872,13.915
1997,11.653,11.329,10.751,11.543,16.677,28.578,36.631,33.212,30.501,20.12,14.585,14.645
1998,10.689,12.546,9.96,12.239,17.198,30.08,33.497,33.212,30.659,22.826,16.9,14.339
1999,11.236,12.953,11.258,13.379,16.851,27.854,33.741,33.212,30.588,21.247,15.991,15.112
2000,12.479,12.089,10.742,12.738,16.907,26.98,33.497,33.375,30.596,22.725,16.601,14.639
2001,11.675,12.528,10.708,11.649,16.848,26.065,33.025,33.212,30.681,22.625,15.843,13.903
2002,12.254,12.496,11.509,12.114,18.006,27.892,37.06,33.212,30.596,21.296,14.686,13.977
