Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1951,9.744,10.403,10.008,9.591,15.359,25.685,33.645,30.991,28.148,19.318,12.556,11.092
1952,11.133,11.728,9.905,11.686,16.459,24.522,32.018,30.992,29.398,17.308,12.009,11.092
1953,9.598,11.354,12.196,10.972,16.5,27.875,31.869,30.991,28.211,17.308,11.34,11.715
1954,9.674,11.202,10.309,11.143,17.41,27.12,31.792,31.007,28.148,15.518,11.951,11.092
1955,10.109,10.772,11.143,10.286,15.316,27.156,32.168,30.991,28.29,16.72,11.57,10.954
1956,10.351,10.82,9.908,10.955,16.316,25.822,30.474,30.991,28.159,16.307,11.639,11.029
1957,10.25,10.301,9.307,10.185,15.412,26.006,31.88,32.349,28.2,17.308,12.423,11.092
1958,11.562,10.917,10.601,12.259,16.5,28.069,31.96,31.085,28.206,17.201,12.502,11.52
1959,10.351,10.403,10.607,10.886,15.401,26.585,31.916,30.991,28.211,17.308,12.135,11.445
1960,10.214,12.074,9.956,10.786,15.507,27.44,31.792,30.991,28.47,17.308,11.334,11.092
1961,10.351,9.626,10.643,10.939,15.37,25.685,32.018,30.991,28.047,17.148,11.845,9.892
1962,10.166,10.762,9.908,10.886,15.412,27.71,33.708,30.991,28.04,16.228,12.486,11.344
1963,9.914,11.064,9.707,10.692,15.37,25.675,32.636,30.991,29.053,17.429,13.722,11.092
1964,10.198,10.66,11.307,11.017,14.475,26.294,30.792,31.085,28.247,17.67,11.392,11.192
1965,11.702,10.762,9.908,10.244,15.47,29.065,32.008,32.233,28.3,17.308,12.135,10.649
1966,10.261,12.002,10.044,11.017,15.956,24.924,33.94,30.991,28.258,18.102,12.135,11.092
1967,10.25,11.261,9.655,10.769,15.401,25.329,31.792,29.33,27.363,17.308,11.888,11.098
1968,10.297,9.72,9.89,10.885,15.359,25.871,30.615,30.992,27.903,17.308,11.735,11.092
1969,10.351,11.202,11.39,10.886,15.254,26.961,31.933,30.991,28.3,17.382,12.449,10.734
1970,10.351,10.208,9.908,11.734,15.376,24.276,31.356,30.991,28,17.255,11.939,10.751
1971,10.351,10.403,9.825,10.801,14.433,21.852,29.892,29.313,27.996,17.308,12.092,11.145
1972,10.519,9.744,9.859,10.876,15.896,26.983,33.082,30.826,27.072,16.84,12.086,11.416
1973,10.651,10.003,9.908,11.554,16.013,25.44,31.75,30.991,28.3,17.308,11.904,10.392
1974,10.351,9.81,10.843,12.238,15.418,25.78,31.808,29.412,28.06,17.57,11.951,10.392
1975,9.758,10.345,9.908,11.628,16.459,24.499,31.487,31.034,27.364,17.474,11.429,10.949
1976,10.955,10.403,9.908,10.727,15.275,24.416,31.751,29.197,28.049,17.308,13.017,11.092
1977,10.444,10.119,10.255,10.703,14.086,26.064,30.93,30.991,27.667,17.308,12.934,11.187
1978,10.351,9.762,9.064,10.801,17.18,25.834,30.364,29.884,27.553,17.314,12.956,11.292
1979,11.039,9.762,9.608,10.886,14.271,25.685,31.874,30.88,29.203,18.549,14.148,11.524
1980,10.368,11.16,9.908,11.686,16.15,23.691,29.5,30.985,28.111,18.354,12.135,11.092
1981,10.298,10.529,9.755,10.844,15.3,25.739,30.474,30.991,28.259,17.307,11.644,11.092
1982,10.351,9.762,8.666,10.185,14.324,25.467,33.8,31.075,28.2,17.308,12.135,11.871
1983,10.224,9.857,9.762,9.517,14.463,26.636,31.809,30.992,28.301,17.308,11.82,11.092
1984,10.288,9.208,10.86,10.886,17.332,25.832,31.96,30.786,27.733,17.274,11.898,11.098
1985,10.297,10.66,11.47,10.927,16.264,25.992,31.751,31.034,28.2,16.733,12.135,11.483
1986,10.351,10.056,9.908,10.903,14.281,25.686,30.427,30.991,28.206,17.308,12.162,10.812
1987,10.133,11.196,9.966,10.95,14.536,28.862,35.334,33.656,29.439,18.371,11.862,11.197
1988,11.213,11.243,9.967,12.091,17.081,25.876,32.017,30.991,30.001,17.391,12.135,11.587
1989,9.851,10.661,9.908,11.027,15.481,24.369,31.792,30.718,28.301,17.308,12.307,11.092
1990,11.688,10.403,9.348,10.733,15.112,26.197,30.755,31.185,28.422,17.044,12.135,11.092
1991,10.098,11.243,9.991,10.733,15.962,26.008,35.32,30.991,28.405,17.308,11.882,11.092
1992,10.456,9.679,9.914,10.923,15.254,26.404,32.061,30.991,28.259,17.308,12.459,11.092
1993,10.597,11.255,9.307,10.695,15.382,25.877,33.313,32.352,26.921,17.308,12.188,11.092
1994,11.05,10.403,10.607,10.244,16.369,26.149,31.966,30.991,28.253,17.308,12.135,11.192
1995,10.16,10.403,9.908,10.886,16.799,27.801,32.002,30.713,28.369,17.445,11.938,11.669
1996,10.357,10.403,10.259,10.886,15.465,25.781,31.716,30.991,28.248,17.308,12.177,10.639
1997,10.403,10.361,9.908,10.17,14.458,25.915,34.124,31.075,28.159,15.765,12.135,10.785
1998,10.067,10.728,9.307,10.98,16.568,26.238,31.875,31.086,28.311,17.308,13.568,11.327
1999,10.461,12.186,10.549,11.704,15.327,25.917,32.465,31.215,28.301,17.308,13.353,11.577
2000,10.971,10.403,9.908,11.686,15.434,24.35,32.008,31.033,28.564,18.693,13.801,12.145
2001,10.351,11.192,9.96,10.886,15.317,23.017,31.734,32.293,29.167,18.508,12.616,11.82
2002,10.787,10.798,10.69,11.585,16.52,25.834,35.92,31.041,28.369,17.308,12.135,11.457
