Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1951,10.025,10.682,10.053,9.776,15.437,25.984,33.777,31.117,28.855,19.937,13.12,11.543
1952,11.487,11.972,10.024,11.707,16.453,25.179,32.493,31.144,29.516,18.004,12.452,11.543
1953,10.054,11.581,12.336,10.985,16.526,28.031,32.458,31.117,28.787,18.004,11.933,12.172
1954,9.991,11.48,10.344,11.14,17.221,27.285,32.116,31.117,28.922,16.198,12.442,11.543
1955,10.467,10.918,11.017,10.315,15.391,27.57,32.505,31.12,28.887,17.432,12.156,11.543
1956,10.686,10.913,10.012,11.108,16.353,25.896,30.742,31.117,28.822,17.185,12.002,11.543
1957,10.657,10.414,9.348,10.276,15.45,26.628,32.317,32.519,28.851,18.004,12.894,11.543
1958,11.979,11.343,10.561,12.243,16.464,29.145,32.493,31.223,28.852,17.829,12.791,11.758
1959,10.689,10.679,10.734,10.913,15.451,26.899,32.317,31.117,28.846,18.004,12.734,11.688
1960,10.565,12.009,10.024,10.904,15.599,28.073,32.116,31.117,28.96,17.934,11.931,11.548
1961,10.686,9.943,10.67,10.918,15.437,26.046,32.493,31.117,28.441,17.817,12.368,10.335
1962,10.482,10.981,9.954,10.913,15.451,28.536,34.356,31.117,28.349,16.584,12.876,11.738
1963,10.257,11.039,9.744,10.775,15.308,26.041,32.685,31.117,29.457,18.016,14.282,11.543
1964,10.591,10.881,11.306,10.996,14.683,26.488,30.93,31.214,28.924,18.172,11.943,11.554
1965,11.74,10.984,9.945,10.214,15.453,29.55,32.493,32.534,28.924,18.004,12.734,10.954
1966,10.405,12.257,9.987,11.302,16.096,25.414,34.387,31.117,29.188,18.691,12.893,11.538
1967,10.652,11.416,9.721,10.901,15.451,26.456,32.116,30.351,28.065,18.004,12.513,11.611
1968,10.501,9.954,9.874,10.889,15.437,26.434,31.089,31.144,28.9,18.004,12.423,11.543
1969,10.686,11.481,11.449,10.984,15.133,27.716,32.41,31.12,28.924,18.153,13.29,11.144
1970,10.686,10.461,9.951,11.936,15.441,24.671,31.864,31.117,28.51,18.004,12.268,11.171
1971,10.686,10.679,9.845,10.658,14.186,22.875,30.025,29.586,28.816,17.94,12.631,11.538
1972,10.695,9.978,9.604,10.913,15.503,27.013,34.029,30.681,27.873,17.477,12.632,11.819
1973,11.052,10.267,9.884,11.397,16.007,25.849,31.922,31.117,28.796,17.934,12.212,10.757
1974,10.62,10.074,10.783,12.144,15.324,25.699,32.072,29.131,28.825,18.27,12.444,10.758
1975,10.228,10.734,9.949,11.641,16.453,25.116,31.53,31.203,28.467,18.387,11.956,11.174
1976,11.28,10.679,10.036,10.646,15.273,25.005,32.143,29.445,28.789,18.004,13.987,11.543
1977,10.762,10.388,10.573,10.69,14.116,26.328,32.085,31.117,28.345,18.006,13.629,11.742
1978,10.618,9.981,9.109,10.633,17.136,26.169,30.994,29.742,27.949,18.133,13.581,11.773
1979,11.448,9.981,9.648,10.911,14.947,25.992,32.317,31.12,29.643,19.304,15.157,12.108
1980,10.689,11.392,10.01,11.713,15.859,24.212,29.189,31.117,28.518,19.161,12.734,11.543
1981,10.687,10.961,9.914,10.838,15.437,26.144,30.606,31.117,28.785,17.911,12.027,11.543
1982,10.825,9.981,8.749,10.217,14.364,25.588,34.435,31.214,28.761,18.071,12.734,12.364
1983,10.307,10.161,9.98,9.837,14.468,27.132,32.188,31.144,28.887,18.004,12.274,11.543
1984,10.686,9.615,10.869,10.913,17.082,25.576,32.493,31.082,28.775,18.004,12.273,11.611
1985,10.662,10.872,11.296,11.108,16.165,26.504,32.143,31.144,28.848,17.622,12.734,12.101
1986,10.688,10.37,9.952,10.913,14.331,26.069,31.033,31.117,28.852,18.006,12.734,11.401
1987,10.489,11.327,9.952,10.929,14.578,29.482,34.776,34.025,30.145,18.83,12.502,11.543
1988,11.575,11.491,10.024,11.795,17.037,26.24,32.174,31.117,30.65,18.004,12.734,12.046
1989,10.446,10.997,9.945,11.175,15.532,24.774,32.116,30.687,28.944,18.004,13.09,11.543
1990,11.579,10.771,9.447,10.88,15.223,26.494,30.738,31.552,28.866,17.958,12.734,11.543
1991,10.578,11.491,10.137,10.878,16.223,26.195,34.554,31.12,29.105,18.004,12.514,11.543
1992,10.765,9.889,9.982,11.167,15.358,26.282,32.896,31.117,28.851,18.006,13.288,11.543
1993,10.913,11.395,9.409,10.883,15.457,26.435,34.139,32.264,28.009,18.006,12.758,11.543
1994,11.476,10.682,10.734,10.218,16.27,26.242,32.493,31.117,28.846,18.006,12.734,11.578
1995,10.393,10.775,9.905,10.937,16.633,27.997,32.493,31.118,28.867,18.443,12.636,12.208
1996,10.754,10.674,10.588,10.913,15.536,26.253,32.386,31.117,28.787,18.004,12.758,11.038
1997,10.686,10.426,10.037,10.303,14.453,26.605,34.337,31.217,28.855,16.798,12.734,11.516
1998,10.479,11.22,9.412,11.099,16.461,26.859,32.458,31.457,28.867,18.112,14.531,11.766
1999,10.616,11.815,10.5,12.05,15.271,26.191,32.763,31.117,28.95,18.004,14.047,12.13
2000,11.587,10.679,10.037,11.716,15.445,24.686,32.493,31.196,28.959,19.714,14.339,12.476
2001,10.686,11.392,10.012,10.846,15.439,23.359,32.165,31.983,29.48,19.292,13.021,11.998
2002,11.205,10.979,10.747,11.525,16.367,26.274,36.236,31.117,28.857,18.079,12.734,11.919
