Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1951,11.409,12.291,12.027,13.635,20.524,29.201,33.632,33.514,31.251,23.835,15.96,13.78
1952,12.636,13.136,11.946,14.42,21.373,29.354,33.445,33.315,31.169,22.455,15.179,13.714
1953,11.523,13.87,13.911,14.214,21.568,30.265,33.445,33.514,31.15,22.355,15.141,14.426
1954,11.571,13.385,12.345,15.194,22.32,29.1,33.445,33.514,31.25,21.535,14.78,13.714
1955,11.424,12.625,12.565,13.314,20.288,30.226,33.526,33.415,31.25,22.59,15.179,13.761
1956,11.889,12.39,11.846,14.681,21.234,28.14,32.007,33.361,31.03,22.435,15.179,13.78
1957,12.083,12.191,11.166,13.233,20.328,29.661,33.581,33.461,31.15,22.301,15.76,13.959
1958,12.736,13.045,12.246,14.715,21.135,31.697,33.545,33.714,31.185,22.655,15.459,13.78
1959,11.97,12.605,12.191,14.015,20.649,29.201,33.314,33.514,30.815,22.737,15.76,13.78
1960,11.669,13.53,11.946,13.794,20.502,30.486,33.545,33.668,31.285,22.556,15.06,13.78
1961,11.97,11.906,12.646,14.114,20.489,29.201,33.7,33.616,31.35,23.075,15.379,12.516
1962,11.389,12.843,11.946,14.035,20.542,32.026,35.132,33.569,31.35,21.69,15.598,13.8
1963,11.355,12.743,11.766,13.835,20.389,29.321,33.966,33.714,32.05,22.556,16.26,13.78
1964,11.823,12.625,12.546,14.655,19.603,29.586,32.486,33.514,31.285,22.729,15.259,13.78
1965,12.49,12.824,11.927,13.414,20.488,32.15,33.545,33.514,31.15,22.455,15.76,13.115
1966,11.57,13.789,12.211,14.554,21.369,29.1,34.752,33.536,31.15,22.321,16.074,13.78
1967,11.923,13.223,11.346,13.934,20.388,30.28,33.247,33.514,31.184,22.253,15.061,13.814
1968,11.423,11.904,11.847,13.854,20.668,30.068,33.316,33.514,31.756,23.03,15.559,13.714
1969,11.889,13.205,13.325,14.048,20.209,30.506,33.228,33.513,31.25,22.454,16.639,13.38
1970,11.97,12.258,11.746,14.5,19.953,27.954,33.314,33.415,31.204,22.455,15.179,13.714
1971,11.97,12.424,11.746,12.894,18.762,27.675,31.806,31.716,31.05,22.455,15.679,13.78
1972,11.855,11.845,11.265,13.934,20.007,28.594,34.112,33.315,30.17,21.175,15.579,13.78
1973,12.29,12.605,11.612,14.494,20.389,28.881,32.385,33.415,31.23,22.556,15.24,13.115
1974,11.774,12.245,12.565,14.735,20.309,28.836,32.901,31.344,31.13,23.775,15.278,13.035
1975,11.37,12.805,11.846,14.554,21.154,28.615,32.285,33.18,31.35,23.569,14.98,13.647
1976,12.29,12.605,11.846,13.288,20.003,28.615,32.827,31.869,30.895,22.355,17.02,13.714
1977,12.29,12.205,12.479,13.468,18.662,29.406,34.246,33.514,31.25,22.556,16.76,13.78
1978,11.808,12.14,10.748,13.433,21.507,29.221,33.525,34.179,30.989,22.51,16.341,14.098
1979,12.47,11.824,11.645,13.934,20.189,29.627,33.193,33.514,30.95,23.601,18.039,14.495
1980,11.97,13.026,11.946,14.781,21.129,27.555,30.978,33.514,31.07,23.075,15.76,13.781
1981,12.052,12.905,11.88,13.988,19.893,29.202,32.14,33.615,31.096,21.875,15.08,13.814
1982,12.565,11.945,10.881,13.433,19.584,28.08,35.112,33.361,31.31,22.455,15.76,13.78
1983,11.623,12.239,11.926,13.414,19.588,29.545,32.526,33.214,31.069,22.489,15.244,13.761
1984,11.97,11.879,12.331,13.934,21.209,28.054,33.445,33.141,31.05,22.556,15.08,13.761
1985,11.723,12.625,12.725,14.214,20.389,29.895,33.247,33.514,31.25,22.26,15.76,14.399
1986,11.97,12.605,11.826,14.035,19.469,28.901,32.231,33.18,31.15,22.241,15.76,13.78
1987,11.889,13.125,11.9,14.114,20.048,32.105,34.878,34.6,31.331,22.455,15.638,13.78
1988,12.456,13.189,11.946,14.701,21.354,28.766,33.406,33.516,32.535,22.541,15.76,14.56
1989,11.571,13.006,11.946,14.015,20.389,28.014,33.247,32.129,31.35,22.556,15.76,13.78
1990,12.69,13.006,11.545,14.049,20.369,29.62,32.52,33.461,31.285,22.489,15.76,13.86
1991,11.723,13.425,12.602,14.016,20.774,29.201,33.731,33.514,31.25,22.455,15.54,13.714
1992,11.709,11.744,12.781,14.295,19.415,29.201,33.886,33.514,31.25,22.455,15.76,13.714
1993,12.569,13.308,11.364,13.235,20.488,29.774,33.97,33.514,31.25,23.594,15.868,14.468
1994,12.803,12.424,12.759,13.422,21.293,29.281,33.446,33.514,31.25,22.455,15.559,13.88
1995,11.308,13.059,12.046,14.134,21.932,29.514,33.445,33.514,31.15,23.485,15.559,14.58
1996,11.889,12.424,12.845,14.036,21.689,29.12,33.208,33.516,31.231,22.455,15.979,14.114
1997,11.889,11.992,12.046,14.088,20.349,29.208,37.417,33.514,31.25,21.176,15.658,14.241
1998,11.025,13.27,12.004,14.615,20.654,30.891,33.445,33.514,31.57,24.779,17.664,14.01
1999,12.079,14.046,12.667,16.564,20.607,29.201,33.906,33.516,31.25,23.294,17.171,14.505
2000,12.889,12.804,12.047,15.061,20.388,29.055,33.408,33.514,31.27,23.694,17.851,14.11
2001,12.29,13.344,12.046,14.134,20.489,28.482,33.486,33.535,31.815,23.955,16.886,13.8
2002,12.355,13.305,12.811,14.234,20.5,29.255,35.622,33.514,31.27,22.455,15.96,13.714
