Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1951,10.413,10.992,10.533,10.639,16.549,26.723,34.035,31.918,29.677,20.261,13.411,12.21
1952,11.835,11.896,10.412,12.375,17.733,26.638,32.966,31.955,29.78,18.739,12.899,12.21
1953,10.31,12.342,12.837,11.843,17.775,28.206,32.91,31.898,29.665,18.739,12.61,12.915
1954,10.412,11.791,10.889,12.326,18.567,26.711,32.67,31.918,29.684,17.238,12.855,12.209
1955,10.671,11.168,11.494,11.018,16.536,28.259,32.801,31.955,29.665,18.654,12.92,12.142
1956,11.012,11.116,10.408,12.188,17.601,26.031,31.311,31.955,29.552,18.251,12.841,12.209
1957,11.006,10.781,9.81,11.018,16.536,27.333,32.67,31.956,29.626,18.739,13.793,12.211
1958,11.999,11.579,10.956,12.846,17.763,30.136,32.979,31.955,29.645,18.74,13.27,12.27
1959,11.012,10.979,11.156,11.717,16.587,26.822,32.67,31.894,29.634,18.743,13.411,12.346
1960,10.672,12.538,10.459,11.666,16.736,28.543,32.678,31.955,29.696,18.739,12.61,12.23
1961,11.012,10.115,11.32,11.741,16.549,26.711,33.003,31.898,29.473,18.966,13.058,10.693
1962,10.655,11.355,10.508,11.717,16.595,29.897,34.818,31.955,29.504,17.522,13.413,12.318
1963,10.472,11.328,10.29,11.482,16.486,26.724,33.271,31.918,30.492,18.739,14.122,12.21
1964,10.898,11.192,11.365,12.454,15.818,27.543,31.78,31.955,29.689,19.018,12.642,12.223
1965,11.936,11.316,10.408,11.034,16.672,30.285,32.991,32.852,29.689,18.739,13.411,11.454
1966,10.571,12.584,10.643,12.48,17.788,26.674,34.855,31.958,29.708,19.044,13.463,12.209
1967,10.999,11.804,9.989,11.717,16.632,27.596,32.67,31.871,29.389,18.739,12.97,12.21
1968,10.607,10.195,10.364,11.669,16.535,27.254,31.7,31.955,30.087,18.739,13.11,12.21
1969,11.012,11.791,12.012,11.765,16.374,28.439,32.342,31.955,29.684,18.739,14.205,11.711
1970,11.012,10.652,10.407,12.629,16.6,25.343,32.353,31.955,29.61,18.664,12.82,12.041
1971,11.012,10.992,10.286,11.338,15.107,24.485,30.913,30.226,29.585,18.739,13.321,12.299
1972,11.036,10.191,9.87,11.717,16.467,27.254,34.06,31.762,28.61,17.892,13.349,12.259
1973,11.363,10.695,10.355,12.144,16.958,26.444,32.063,31.955,29.611,18.693,12.693,11.323
1974,10.988,10.514,11.402,12.838,16.51,26.074,32.269,29.63,29.481,20.027,12.956,11.379
1975,10.223,11.143,10.408,12.582,17.737,25.811,31.866,31.93,29.482,19.54,12.698,11.987
1976,11.561,10.992,10.508,11.362,16.017,25.775,32.646,30.091,29.502,18.739,14.62,12.21
1977,11.279,10.616,11.048,11.313,14.865,27.291,33.111,31.955,29.59,18.767,14.363,12.246
1978,10.96,10.251,9.25,11.262,18.035,26.918,32.935,31.427,29.193,18.763,13.912,12.516
1979,11.699,10.227,10.198,11.717,16.594,27.165,32.67,31.943,29.893,20.039,15.783,12.678
1980,11.012,11.592,10.408,12.519,17.453,24.616,29.41,31.856,29.49,19.697,13.411,12.21
1981,11,11.309,10.321,11.717,16.481,26.711,31.282,31.955,29.59,18.485,12.747,12.21
1982,11.287,10.3,9.097,11.018,15.572,25.817,34.995,31.955,29.668,18.739,13.411,12.798
1983,10.523,10.504,10.329,10.773,15.597,27.665,32.382,31.955,29.685,18.739,12.998,12.21
1984,11,10.063,11.398,11.717,17.972,25.457,32.742,31.753,29.604,18.739,12.844,12.233
1985,10.771,10.786,11.666,11.933,16.632,27.269,32.69,31.955,29.59,18.585,13.411,12.862
1986,11.012,10.849,10.408,11.717,15.533,26.706,31.79,31.898,29.684,18.712,13.411,12.153
1987,10.911,11.779,10.408,11.741,16.175,30.238,34.951,34.002,29.936,19.092,13.163,12.235
1988,11.904,11.791,10.432,12.643,18.066,26.658,32.67,31.867,31.49,19.005,13.411,12.878
1989,10.519,11.502,10.432,11.831,16.62,25.422,32.67,30.821,29.639,18.739,13.584,12.21
1990,12.016,11.244,9.961,11.729,16.395,27.198,31.782,32.027,29.616,18.678,13.411,12.211
1991,10.871,11.791,10.743,11.681,17.666,26.898,34.751,31.955,29.609,18.739,13.117,12.21
1992,10.967,10.191,10.666,11.98,16.059,26.71,33.287,31.907,29.684,18.739,13.918,12.21
1993,11.443,11.792,9.81,11.424,16.583,27.347,34.308,32.265,29.458,18.767,13.437,12.206
1994,11.815,10.992,11.222,11.018,17.512,26.96,32.954,31.918,29.666,18.739,13.346,12.299
1995,10.588,11.166,10.462,11.818,18.504,28.712,32.966,31.824,29.638,19.142,13.309,12.875
1996,11.012,10.936,11.221,11.757,17.498,26.984,32.72,31.898,29.602,18.739,13.611,11.917
1997,11.012,10.642,10.512,11.274,15.679,27.169,35.523,31.955,29.59,17.324,13.411,12.437
1998,10.435,11.72,9.833,12.01,17.579,27.965,32.888,32.011,29.703,19.361,15.673,12.642
1999,10.936,12.236,11.263,13.225,16.536,26.886,33.52,31.955,29.689,18.781,14.97,12.912
2000,11.991,11.016,10.495,12.569,16.632,25.522,32.979,32.006,29.722,20.129,15.127,13.196
2001,11.036,11.716,10.508,11.697,16.595,24.402,32.725,32.326,29.819,20.043,14.083,12.553
2002,11.803,11.308,11.213,12.267,17.648,26.928,36.903,31.918,29.68,18.787,13.411,12.378
