Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1951,11.389,12.194,11.802,13.344,19.845,28.729,33.701,33.364,30.971,23.152,15.649,13.628
1952,12.512,13.006,11.791,14.316,20.833,28.876,33.369,33.169,31.042,21.882,14.948,13.569
1953,11.358,13.7,13.837,13.937,20.856,29.829,33.369,33.364,30.87,21.788,14.765,14.234
1954,11.406,13.154,12.19,14.806,21.791,28.631,33.286,33.364,30.971,20.847,14.549,13.575
1955,11.3,12.448,12.526,12.997,19.644,30.043,33.375,33.263,30.929,21.982,14.953,13.581
1956,11.801,12.289,11.69,14.438,20.598,27.807,31.787,33.216,30.723,21.747,14.948,13.628
1957,11.813,12.089,11.036,12.986,19.515,29.051,33.469,33.317,30.87,21.694,15.543,13.738
1958,12.611,12.895,12.09,14.438,20.503,31.423,33.469,33.558,30.87,22.036,15.16,13.628
1959,11.807,12.359,12.048,13.691,19.868,28.729,33.169,33.364,30.611,22.089,15.46,13.628
1960,11.506,13.573,11.791,13.406,19.714,30.166,33.427,33.511,30.971,21.982,14.759,13.628
1961,11.807,11.66,12.537,13.749,19.845,28.729,33.659,33.459,31.024,22.577,15.148,12.323
1962,11.3,12.737,11.791,13.743,19.892,31.889,35.164,33.411,31.024,21.041,15.442,13.716
1963,11.295,12.636,11.679,13.585,19.745,28.876,33.953,33.558,31.812,21.935,15.96,13.628
1964,11.701,12.448,12.431,14.521,18.855,29.264,32.547,33.364,30.971,22.26,14.954,13.628
1965,12.448,12.648,11.702,13.096,19.845,31.865,33.469,33.364,30.87,21.882,15.46,12.922
1966,11.364,13.688,12.09,14.421,20.703,28.631,34.893,33.453,30.87,21.783,15.67,13.628
1967,11.801,13.049,11.185,13.685,19.745,29.741,33.169,33.364,30.87,21.688,14.759,13.628
1968,11.3,11.66,11.685,13.679,19.956,29.529,33.117,33.364,31.163,22.471,15.259,13.569
1969,11.801,13.006,13.144,13.696,19.638,30.213,33.075,33.364,30.971,21.882,16.312,13.228
1970,11.807,12.048,11.59,14.327,19.35,27.476,33.127,33.269,30.959,21.882,14.948,13.569
1971,11.807,12.259,11.59,12.851,18.18,27.261,31.936,31.56,30.776,21.882,15.448,13.628
1972,11.801,11.743,11.137,13.685,19.475,28.342,34.111,33.169,29.959,20.672,15.353,13.628
1973,12.2,12.307,11.532,14.148,19.745,28.294,32.452,33.269,30.876,21.935,14.865,12.928
1974,11.789,12.136,12.484,14.569,19.734,28.288,32.858,30.935,30.782,23.23,15.048,12.916
1975,11.206,12.56,11.69,14.421,20.592,27.994,32.348,33.107,31.024,22.852,14.79,13.569
1976,12.2,12.359,11.69,13.033,19.209,27.994,32.728,31.754,30.581,21.783,16.582,13.575
1977,12.2,11.959,12.29,13.138,18.08,29.153,34.175,33.364,30.971,21.982,16.459,13.628
1978,11.789,11.819,10.585,13.18,20.933,28.818,33.38,34.111,30.853,21.929,15.966,14.022
1979,12.311,11.649,11.491,13.685,19.55,29.051,33.08,33.364,30.717,23.035,17.675,14.234
1980,11.807,12.848,11.791,14.538,20.669,27.072,30.639,33.364,30.859,22.577,15.46,13.628
1981,11.823,12.659,11.69,13.774,19.422,28.729,32.194,33.464,30.782,21.377,14.848,13.628
1982,12.186,11.842,10.642,13.18,18.767,27.494,35.117,33.216,30.852,21.882,15.46,13.669
1983,11.459,11.959,11.66,13.05,18.939,29.087,32.334,33.07,30.864,21.882,15.048,13.581
1984,11.807,11.701,12.325,13.685,20.639,27.571,33.286,32.887,30.776,21.982,14.848,13.581
1985,11.601,12.49,12.501,13.937,19.745,29.21,33.169,33.364,30.929,21.859,15.46,14.316
1986,11.807,12.359,11.601,13.743,18.75,28.476,32.259,33.112,30.87,21.771,15.46,13.628
1987,11.76,12.953,11.737,13.796,19.309,31.51,34.958,34.642,30.977,21.924,15.27,13.628
1988,12.442,13.049,11.791,14.527,20.75,28.33,33.181,33.364,32.495,22.113,15.46,14.334
1989,11.406,12.759,11.791,13.696,19.745,27.435,33.169,31.828,31.107,21.977,15.46,13.628
1990,12.605,12.759,11.39,13.696,19.609,29.217,32.547,33.275,30.971,21.882,15.46,13.639
1991,11.601,13.248,12.478,13.696,20.281,28.776,33.816,33.364,30.971,21.882,15.166,13.575
1992,11.69,11.643,12.543,13.943,18.667,28.729,33.602,33.364,30.965,21.882,15.47,13.575
1993,12.412,13.284,11.325,12.944,19.845,29.063,33.839,33.364,30.971,22.743,15.689,14.223
1994,12.611,12.248,12.506,13.132,20.567,28.735,33.369,33.364,30.971,21.882,15.264,13.769
1995,11.289,12.806,11.885,13.926,21.35,28.982,33.369,33.364,30.87,22.653,15.259,14.423
1996,11.801,12.196,12.689,13.785,21.044,28.74,32.945,33.364,30.882,21.882,15.749,13.881
1997,11.801,11.896,11.89,13.785,19.567,28.48,37.222,33.364,30.971,20.588,15.359,13.946
1998,10.806,13.06,11.597,14.374,20.098,30.42,33.286,33.364,31.354,24.037,17.241,14.017
1999,11.901,13.937,12.625,16.102,20.034,28.771,34.041,33.364,30.965,22.547,16.959,14.246
2000,12.8,12.56,11.885,14.785,19.75,28.567,33.275,33.364,31.101,23.063,17.376,14.075
2001,12.241,13.196,11.89,13.926,19.845,27.784,33.593,33.494,31.654,23.382,16.477,13.716
2002,12.347,13.06,12.648,14.026,19.914,28.818,35.774,33.364,31.101,21.882,15.649,13.575
