Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1951,11.339,12.356,11.635,12.85,19.42,28.942,33.561,33.528,31.181,23.732,15.461,13.864
1952,12.639,13.271,11.534,13.575,20.199,29.062,33.52,33.428,31.16,22.258,14.76,13.864
1953,11.637,13.706,13.582,13.595,20.665,30.134,33.52,33.528,31.101,22.258,14.834,14.466
1954,11.637,13.305,11.855,14.761,21.176,28.888,33.52,33.528,31.181,21.432,14.315,13.864
1955,11.464,12.465,12.114,12.716,19.245,29.699,33.574,33.428,31.181,22.333,14.815,13.864
1956,11.983,12.159,11.435,14.061,20.265,27.553,32.244,33.453,31.026,22.258,14.76,13.864
1957,12.448,11.96,10.655,12.497,19.869,29.779,33.639,33.508,31.081,22.203,15.461,14.144
1958,12.885,12.886,11.814,14.142,20.165,31.602,33.62,33.629,31.135,22.333,15.16,13.864
1959,12.017,12.505,12.091,13.296,19.884,28.888,33.479,33.528,30.872,22.511,15.461,13.864
1960,11.738,13.307,11.534,13.386,19.684,30.144,33.62,33.629,31.181,22.333,14.76,13.864
1961,12.017,11.581,12.479,13.495,19.395,28.922,33.719,33.528,31.215,22.858,14.914,12.584
1962,11.339,12.627,11.534,13.296,19.395,31.446,35.075,33.528,31.235,21.538,15.115,13.864
1963,11.214,12.561,11.335,13.071,19.32,28.962,33.875,33.629,31.901,22.312,15.88,13.864
1964,11.939,12.551,12.279,13.797,18.664,29.223,32.174,33.528,31.181,22.511,14.894,13.864
1965,12.538,12.706,11.534,12.716,19.354,31.89,33.575,33.579,31.126,22.333,15.461,13.185
1966,11.658,13.652,11.755,13.841,20.565,28.809,34.727,33.358,31.126,22.059,15.905,13.864
1967,12.017,13.25,10.809,13.196,19.465,30.234,33.411,33.528,31.16,22.183,14.76,14.109
1968,11.538,11.826,11.369,12.931,19.859,29.888,33.479,33.528,32.031,22.367,15.26,13.825
1969,11.838,13.297,13.146,13.541,19.125,30.144,33.321,33.528,31.181,22.258,16.426,13.4
1970,12.017,12.205,11.335,13.821,19.011,27.623,33.499,33.528,31.16,22.278,14.715,13.754
1971,12.017,12.505,11.29,11.946,17.348,27.006,31.628,31.628,31.081,22.278,15.314,13.864
1972,11.793,11.661,10.689,13.096,18.82,28.513,34.14,33.329,29.936,20.812,15.24,13.91
1973,12.417,12.413,11.116,13.941,19.32,28.787,32.418,33.528,31.181,22.286,14.94,13.185
1974,11.673,12.08,12.135,14.021,19.048,28.667,32.875,31.456,31.081,23.433,14.815,13.02
1975,11.418,12.726,11.435,13.816,20.12,28.513,32.129,33.175,31.235,23.538,14.614,13.573
1976,12.337,12.505,11.5,12.497,19.118,28.487,33.066,31.927,30.947,22.258,17.05,13.864
1977,12.337,12.125,12.179,12.57,17.374,28.943,34.419,33.528,31.181,22.333,16.585,13.864
1978,11.693,12.104,10.208,12.675,20.299,28.988,33.811,34.248,30.715,22.352,16.106,14.164
1979,12.682,11.58,11.255,13.151,19.219,29.679,33.321,33.528,30.981,23.479,18.031,14.9
1980,12.097,12.906,11.469,14.122,19.919,27.096,31.117,33.528,30.756,22.858,15.461,13.864
1981,12.158,12.951,11.554,13.196,18.449,28.888,31.972,33.528,31.081,21.658,14.76,13.965
1982,12.738,11.725,10.388,12.616,18.89,27.988,35.484,33.428,31.571,22.297,15.461,13.864
1983,11.718,12.185,11.68,12.716,18.518,29.58,32.718,33.295,31.081,22.403,14.815,13.864
1984,12.017,11.705,11.835,13.196,20.165,27.663,33.52,33.355,31.046,22.333,14.735,13.864
1985,11.817,12.505,12.4,13.641,19.32,30.038,33.321,33.528,31.181,21.767,15.461,14.486
1986,12.017,12.505,11.435,13.296,18.419,28.735,32.121,33.275,31.081,21.834,15.461,13.965
1987,11.939,13.027,11.435,13.495,19.145,32.037,34.824,34.53,31.235,22.157,15.44,13.864
1988,12.484,13.106,11.534,13.87,20.41,28.534,33.52,33.528,32.447,22.258,15.461,14.829
1989,11.658,13.006,11.534,13.441,19.32,27.913,33.321,32.227,31.235,22.312,15.461,13.864
1990,12.865,12.906,11.155,13.441,19.195,29.243,32.348,33.528,31.181,22.312,15.461,13.965
1991,11.817,13.305,11.99,13.371,19.62,29.043,33.992,33.528,31.181,22.258,15.26,13.864
1992,11.594,11.572,12.333,13.741,18.656,29.053,34.356,33.574,31.16,22.278,15.805,13.864
1993,12.678,13.305,10.915,12.543,19.42,30.125,34.501,33.574,31.181,23.199,15.461,14.227
1994,12.839,12.437,12.479,12.604,20.722,29.041,33.52,33.574,31.181,22.258,15.36,13.864
1995,11.26,13.005,11.517,13.296,20.965,30.451,33.52,33.548,31.126,23.568,15.326,14.665
1996,12.109,12.047,12.434,13.296,20.554,28.512,33.52,33.548,31.181,22.258,15.502,14.073
1997,11.983,11.851,11.635,13.131,19.42,29.445,36.94,33.528,31.135,21.158,15.36,14.531
1998,11.038,13.24,11.151,13.83,19.654,31.719,33.52,33.528,31.355,24.361,17.735,14.131
1999,11.926,13.66,12.135,15.522,19.42,28.908,33.675,33.528,31.16,22.551,16.715,14.955
2000,12.94,12.726,11.614,14.33,19.42,28.505,33.52,33.528,31.181,23.725,17.529,14.376
2001,12.213,13.061,11.635,13.27,19.395,27.838,33.23,33.528,31.61,23.753,16.679,13.864
2002,12.538,13.259,12.434,13.496,19.994,28.988,36.171,33.548,31.181,22.258,15.461,13.864
