Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1951,10.804,11.435,10.394,10.377,15.89,27.315,33.807,32.768,30.168,21.585,14.182,13.513
1952,12.24,12.314,10.294,11.638,17.002,27.31,33.383,32.768,30.077,20.255,13.507,13.44
1953,10.893,12.901,12.595,11.478,17.359,28.772,33.393,32.71,30.077,20.255,13.382,14.23
1954,10.883,12.235,10.61,12.084,17.628,27.386,33.33,32.768,30.125,19.045,13.455,13.513
1955,11.119,11.511,11.064,10.494,15.89,28.331,33.217,32.768,30.077,20.271,13.581,13.493
1956,11.441,11.331,10.252,12.033,17.022,25.893,32.008,32.768,30.077,20.091,13.398,13.487
1957,11.808,11.047,9.595,10.473,15.926,28.282,33.186,32.768,30.077,20.255,14.31,13.564
1958,12.404,11.961,10.663,12.094,17.002,30.705,33.483,32.846,30.077,20.281,13.987,13.513
1959,11.441,11.435,11.068,11.19,16.052,27.388,33.094,32.698,30.061,20.385,14.182,13.487
1960,11.151,12.564,10.294,11.431,15.999,28.921,33.352,32.768,30.151,20.255,13.382,13.523
1961,11.441,10.61,11.11,11.378,15.89,27.315,33.489,32.758,29.929,20.774,13.693,12.022
1962,10.883,11.631,10.294,11.253,15.9,30.556,35.269,32.758,30.046,19.275,13.919,13.487
1963,10.815,11.474,10.01,10.964,15.489,27.315,33.6,32.758,30.806,20.255,14.753,13.513
1964,11.341,11.636,11.078,11.748,15.437,27.801,31.906,32.768,30.168,20.292,13.47,13.513
1965,12.182,11.756,10.272,10.563,15.911,30.652,33.409,33.661,30.163,20.329,14.182,12.712
1966,10.993,12.689,10.331,11.789,17.144,27.221,35.184,32.935,30.123,20.498,14.565,13.513
1967,11.416,12.235,9.605,11.164,15.974,28.578,33.171,32.768,30.056,20.255,13.845,13.596
1968,10.83,10.751,10.137,11.001,15.89,28.045,32.976,32.768,31.077,20.255,13.961,13.513
1969,11.331,12.265,11.909,11.473,15.558,28.838,33.019,32.768,30.151,20.392,15.246,13.024
1970,11.441,11.136,10.193,11.89,15.806,25.82,33.098,32.768,30.067,20.255,13.48,13.435
1971,11.441,11.435,9.999,10.542,14.137,24.964,31.068,31.251,30.125,20.255,13.999,13.456
1972,11.326,10.636,9.564,11.074,15.353,27.854,34.495,32.409,28.805,19.261,13.999,13.538
1973,11.84,11.178,9.921,11.569,16.316,27.098,32.305,32.768,29.803,19.971,13.218,12.644
1974,11.2,10.857,11.07,12.073,15.507,26.583,32.673,29.654,30.019,21.444,13.565,12.624
1975,10.745,11.714,10.193,12.058,17.087,26.729,32.011,32.646,30.103,21.385,13.356,12.946
1976,11.914,11.435,10.294,10.643,15.503,26.718,33.131,31.056,30.077,20.198,15.361,13.513
1977,11.751,11.156,10.729,10.8,14.11,27.606,34.254,32.758,30.077,20.534,15.544,13.513
1978,11.226,10.84,8.951,10.51,17.091,27.415,33.816,32.519,29.844,20.444,14.765,13.904
1979,12.197,10.615,9.984,11.08,15.895,28.036,33.125,32.768,30.107,21.554,16.877,14.334
1980,11.467,12.009,10.193,11.994,16.524,25.162,30.436,32.698,29.735,20.885,14.182,13.513
1981,11.467,11.96,10.278,11.164,15.358,27.267,31.426,32.758,30.103,19.833,13.454,13.538
1982,12.261,10.651,8.935,10.463,14.969,26.472,36.141,32.768,30.526,20.349,14.182,13.797
1983,11.029,11.114,10.367,10.542,14.901,28.356,32.631,32.763,30.077,20.281,13.567,13.43
1984,11.441,10.609,11.006,11.164,16.991,25.91,33.125,32.751,30.163,20.339,13.382,13.534
1985,11.225,11.198,11.437,11.638,15.9,28.36,33.099,32.768,30.103,19.939,14.182,14.214
1986,11.441,11.367,10.252,11.195,14.927,27.224,32.07,32.758,30.151,20.033,14.182,13.602
1987,11.394,12.194,10.193,11.378,15.644,30.778,34.085,34.315,30.208,20.224,14.083,13.487
1988,12.181,12.235,10.294,11.949,17.092,27.183,33.171,32.698,31.952,20.277,14.182,14.255
1989,11.071,12.034,10.294,11.447,16.059,26.166,33.094,31.45,30.108,20.255,14.212,13.513
1990,12.365,11.802,9.82,11.348,15.659,27.631,32.089,32.768,30.108,20.255,14.182,13.543
1991,11.31,12.235,10.5,11.264,16.595,27.331,34.732,32.768,30.244,20.255,13.976,13.513
1992,11.338,10.636,10.693,11.638,15.478,27.305,34.326,32.768,30.077,20.339,14.771,13.513
1993,11.909,12.235,9.6,10.749,15.9,28.497,34.91,32.939,30.156,20.638,14.124,13.414
1994,12.314,11.435,11.109,10.473,17.106,27.326,33.383,32.768,30.156,20.265,14.083,13.43
1995,10.825,11.84,9.927,11.206,17.617,29.434,33.383,32.758,30.103,21.326,14.083,14.219
1996,11.666,11.131,11.094,11.169,16.966,28.088,33.441,32.758,30.108,20.255,14.271,13.435
1997,11.441,10.946,10.394,10.801,15.357,28.087,36.096,32.768,30.125,19.142,14.152,14.172
1998,10.746,12.13,9.664,11.558,16.401,28.976,33.452,32.788,30.125,21.411,16.482,13.945
1999,11.053,12.489,10.911,12.415,15.89,27.331,33.715,32.768,30.163,20.255,15.572,14.301
2000,12.331,11.615,10.378,12.063,15.9,26.188,33.394,33.13,30.151,21.681,15.919,14.33
2001,11.452,12.209,10.294,10.986,15.9,25.12,33.032,32.778,30.261,21.644,15.261,13.513
2002,12.134,11.934,11.094,11.585,16.943,27.441,37.123,32.758,30.103,20.523,14.182,13.759
