Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1951,10.66,11.202,10.543,10.423,16.066,27.021,34.127,32.282,29.934,20.751,13.811,12.734
1952,12.153,12.163,10.385,11.963,17.217,26.886,33.26,32.302,29.847,19.39,13.19,12.733
1953,10.675,12.544,12.743,11.6,17.269,28.513,33.332,32.209,29.847,19.39,12.95,13.441
1954,10.661,12.002,10.749,12.113,17.916,27.321,32.951,32.282,29.946,17.978,13.203,12.734
1955,11.008,11.323,11.321,10.707,16.066,28.302,33.243,32.302,29.867,19.315,13.248,12.591
1956,11.274,11.221,10.377,11.948,17.125,26.133,31.746,32.282,29.847,18.966,13.015,12.734
1957,11.367,10.887,9.743,10.701,16.079,27.85,32.948,32.444,29.867,19.39,14.001,12.72
1958,12.223,11.822,10.863,12.497,17.231,30.598,33.34,32.344,29.925,19.39,13.605,12.734
1959,11.294,11.202,11.142,11.386,16.145,27.327,32.948,32.201,29.84,19.413,13.771,12.754
1960,11.008,12.551,10.443,11.494,16.4,28.873,32.965,32.282,29.926,19.37,12.95,12.825
1961,11.274,10.402,11.208,11.499,16.066,27.021,33.34,32.21,29.529,19.566,13.356,11.315
1962,10.872,11.501,10.443,11.401,16.137,30.255,35.166,32.268,29.552,18.237,13.675,12.811
1963,10.746,11.407,10.15,11.186,15.828,27.021,33.446,32.268,30.657,19.39,14.624,12.734
1964,11.174,11.403,11.234,11.89,15.546,27.663,31.876,32.302,29.934,19.476,12.958,12.734
1965,12.095,11.601,10.343,10.708,16.151,30.506,33.339,33.357,29.934,19.391,13.771,11.98
1966,10.795,12.786,10.436,12.105,17.304,26.932,35.166,32.29,30.034,19.751,14.007,12.734
1967,11.274,11.982,9.874,11.386,16.138,28.088,32.948,32.302,29.602,19.39,13.419,12.769
1968,10.758,10.41,10.321,11.37,16.066,27.622,32.359,32.302,30.538,19.39,13.471,12.734
1969,11.259,12.002,11.949,11.58,15.717,28.834,32.816,32.302,29.926,19.467,14.638,12.268
1970,11.274,10.923,10.342,12.205,16.128,25.599,32.834,32.282,29.734,19.39,13.148,12.522
1971,11.274,11.202,10.143,10.898,14.562,24.645,30.969,30.717,29.926,19.39,13.655,12.719
1972,11.259,10.402,9.763,11.371,15.754,27.546,34.605,31.927,28.745,18.609,13.655,12.775
1973,11.674,10.889,10.221,11.786,16.636,26.755,32.278,32.282,29.745,19.196,12.889,11.874
1974,11.159,10.61,11.235,12.397,15.921,26.02,32.545,29.595,29.91,20.615,13.283,11.945
1975,10.574,11.383,10.342,12.266,17.225,26.257,32.009,32.235,29.847,20.247,12.95,12.306
1976,11.795,11.202,10.443,10.998,15.845,26.223,33.018,30.53,29.847,19.39,15.082,12.734
1977,11.547,10.95,11.09,11.014,14.563,27.4,33.705,32.268,29.827,19.48,14.888,12.754
1978,11.159,10.503,9.134,10.885,17.541,27.198,33.424,31.596,29.323,19.519,14.304,13.042
1979,11.988,10.436,10.109,11.371,16.137,27.455,32.989,32.302,30.183,20.691,16.378,13.266
1980,11.274,11.823,10.342,12.186,16.691,24.889,30.007,32.201,29.597,20.28,13.771,12.734
1981,11.294,11.624,10.357,11.386,15.939,27.04,31.424,32.268,29.847,19.102,12.951,12.734
1982,11.857,10.494,9.075,10.687,15.137,26.289,35.6,32.302,30.03,19.418,13.771,13.258
1983,10.84,10.783,10.45,10.589,15.137,28.048,32.671,32.302,29.925,19.39,13.255,12.719
1984,11.274,10.389,11.227,11.386,17.441,25.668,33.07,32.216,29.934,19.405,13.069,12.833
1985,11.108,10.984,11.569,11.708,16.198,27.831,33.025,32.302,29.847,19.175,13.771,13.434
1986,11.274,11.077,10.357,11.386,15.117,27.012,32.024,32.21,29.926,19.302,13.771,12.743
1987,11.175,11.968,10.342,11.499,15.606,30.514,34.622,34.093,30.208,19.606,13.593,12.734
1988,12.159,12.002,10.443,12.251,17.535,26.941,32.948,32.201,31.746,19.405,13.771,13.421
1989,10.936,11.782,10.423,11.6,16.173,25.724,32.948,31.253,29.847,19.39,14.009,12.734
1990,12.338,11.482,9.921,11.479,15.986,27.427,31.97,32.383,29.867,19.39,13.771,12.734
1991,11.174,12.002,10.636,11.465,17.034,27.105,34.963,32.302,30.043,19.39,13.577,12.734
1992,11.287,10.402,10.63,11.766,15.698,27.008,33.949,32.282,29.925,19.405,14.376,12.734
1993,11.662,12.002,9.743,11.097,16.137,27.937,34.808,32.61,29.807,19.508,13.756,12.712
1994,12.096,11.202,11.156,10.701,17.139,27.125,33.26,32.282,29.848,19.404,13.691,12.719
1995,10.78,11.483,10.214,11.45,17.756,29.312,33.26,32.21,29.847,20.122,13.67,13.434
1996,11.338,11.08,11.242,11.386,16.942,27.593,33.333,32.21,29.847,19.39,13.786,12.522
1997,11.274,10.788,10.465,10.959,15.247,27.684,35.483,32.302,29.868,18.218,13.771,13.153
1998,10.798,11.869,9.841,11.673,16.876,28.304,33.34,32.469,29.933,20.12,16.167,13.108
1999,11.059,12.262,11.106,12.776,16.066,27.105,33.69,32.282,29.954,19.39,15.293,13.357
2000,12.182,11.283,10.458,12.286,16.137,25.767,33.325,32.532,29.926,20.753,15.516,13.62
2001,11.274,11.982,10.443,11.271,16.137,24.589,33.058,32.455,30.108,20.7,14.669,12.91
2002,12.053,11.512,11.164,11.904,17.145,27.298,36.965,32.268,29.847,19.632,13.771,12.976
