Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1951,10.274,10.889,10.67,11.065,17.12,26.432,33.767,31.709,29.137,19.839,13.084,11.799
1952,11.611,11.676,10.571,12.857,17.887,26.344,32.556,31.697,29.763,18.301,12.663,11.799
1953,9.923,12.214,12.986,12.227,18.119,27.804,32.445,31.709,29.295,18.301,12.347,12.474
1954,10.257,11.651,11.117,12.762,19.106,26.392,32.311,31.709,29.238,16.931,12.563,11.675
1955,10.398,11.13,11.834,11.373,16.964,27.644,32.346,31.709,29.238,18.242,12.715,11.711
1956,10.804,11.154,10.571,12.632,18.025,25.859,31.209,31.709,29.102,17.783,12.769,11.675
1957,10.676,10.827,9.969,11.319,16.966,26.683,32.327,31.712,29.191,18.301,13.569,11.799
1958,11.752,11.328,11.154,12.946,18.057,29.275,32.45,31.758,29.191,18.301,13.075,11.915
1959,10.82,10.79,11.112,12.127,17.027,26.357,32.311,31.709,29.227,18.301,13.076,12.111
1960,10.385,12.784,10.571,11.957,17.283,28.089,32.357,31.728,29.267,18.301,12.331,11.905
1961,10.812,9.95,11.552,12.129,17.12,26.404,32.67,31.709,29.227,18.906,12.831,10.36
1962,10.45,11.19,10.63,12.074,17.002,29.09,34.257,31.712,29.227,17.263,13.373,11.965
1963,10.213,11.463,10.47,11.862,16.966,26.448,33.217,31.725,30.089,18.301,13.636,11.799
1964,10.612,11.09,11.663,13.091,16.001,27.435,31.815,31.712,29.219,18.856,12.347,11.898
1965,11.8,11.137,10.517,11.464,17.174,29.894,32.572,32.221,29.227,18.301,13.076,11.023
1966,10.458,12.452,11.014,12.929,17.998,26.329,34.226,31.709,29.191,18.476,13.069,11.667
1967,10.713,11.771,10.055,12.074,17.002,27.123,32.311,31.545,28.924,18.285,12.464,11.799
1968,10.255,10.105,10.41,11.965,16.949,26.703,31.5,31.712,28.93,18.301,12.777,11.799
1969,10.812,11.633,12.154,12.074,16.802,27.533,31.79,31.712,29.227,18.301,13.654,11.271
1970,10.812,10.492,10.539,12.885,16.961,24.936,31.772,31.709,29.327,18.146,12.56,11.558
1971,10.812,10.836,10.47,11.752,15.271,24.36,31.138,29.865,28.937,18.301,13.076,11.978
1972,11.066,10.105,10.196,12.02,17.357,27.06,33.004,31.345,28.262,17.374,13.076,11.898
1973,11.113,10.619,10.571,12.79,17.128,25.96,31.871,31.712,29.238,18.301,12.578,11.015
1974,10.812,10.572,11.667,13.144,16.974,26.068,31.976,29.785,28.836,19.499,12.733,10.999
1975,9.92,10.979,10.571,12.918,18.049,25.243,31.748,31.651,29.254,18.855,12.577,11.782
1976,11.396,10.844,10.659,11.69,16.135,25.256,32.151,29.927,28.937,18.215,13.981,11.799
1977,11.171,10.489,10.947,11.65,14.993,27.192,32.292,31.712,29.176,18.301,13.981,11.799
1978,10.812,10.091,9.311,11.661,18.345,26.579,32.425,31.711,29.174,18.301,13.579,12.131
1979,11.412,10.075,10.286,12.074,16.934,26.673,32.266,31.548,29.371,19.578,15.016,12.191
1980,10.812,11.488,10.563,12.89,18.27,24.557,29.757,31.681,29.227,19.117,13.076,11.814
1981,10.692,11.069,10.317,12.127,16.977,26.404,31.317,31.712,29.199,18.079,12.617,11.799
1982,10.812,10.331,9.173,11.373,15.712,25.508,34.358,31.712,29.199,18.301,13.076,12.446
1983,10.26,10.278,10.248,10.859,16.046,27.16,31.923,31.697,29.238,18.301,12.831,11.799
1984,10.676,10.001,11.724,12.074,18.428,25.446,32.332,31.206,28.912,18.301,12.671,11.761
1985,10.452,10.888,11.956,12.12,17.023,26.756,32.311,31.712,29.191,17.979,13.076,12.412
1986,10.812,10.765,10.571,12.074,15.666,26.334,31.62,31.709,29.219,18.218,13.076,11.522
1987,10.673,11.59,10.623,12.074,16.544,29.464,35.311,33.716,29.358,18.793,12.759,12.088
1988,11.755,11.742,10.571,13.258,18.288,26.315,32.311,31.709,31.089,18.991,13.076,12.503
1989,10.211,11.236,10.571,12.03,16.966,25.133,32.311,30.493,29.238,18.301,13.157,11.799
1990,12.326,11.113,10.032,11.91,16.583,26.988,31.642,31.712,29.506,18.007,13.076,11.799
1991,10.574,11.635,10.839,11.852,18.117,26.502,34.516,31.709,29.21,18.285,12.634,11.799
1992,10.776,10.073,10.801,12.189,16.351,26.35,32.556,31.681,29.227,18.301,13.396,11.799
1993,11.288,11.774,9.985,11.339,16.966,26.581,33.17,32.113,29.079,18.255,13.333,11.852
1994,11.627,10.889,11.459,11.428,17.789,26.965,32.466,31.709,29.33,18.301,12.987,11.995
1995,10.406,10.949,10.659,12.173,19.147,28.373,32.556,30.926,29.305,18.452,12.876,12.512
1996,10.812,10.836,11.178,12.171,17.99,26.489,31.808,31.701,29.298,18.247,13.456,11.476
1997,10.82,10.63,10.67,11.596,16.287,26.193,35.568,31.712,29.189,16.441,13.076,11.74
1998,10.115,11.532,9.985,12.306,18.156,27.567,32.327,31.712,29.406,18.795,15.038,12.307
1999,10.919,12.529,11.769,14.179,16.996,26.575,33.441,31.717,29.33,18.522,14.755,12.641
2000,11.786,10.889,10.586,12.873,16.994,25.384,32.45,31.712,29.657,19.576,14.634,12.882
2001,11.023,11.59,10.785,12.091,16.994,24.337,32.722,32.46,29.73,19.513,13.9,12.467
2002,11.615,11.289,11.369,12.641,18.21,26.465,36.367,31.701,29.29,18.301,13.11,11.965
