Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1951,10.754,11.413,10.52,10.756,16.48,27.457,34.182,32.99,30.396,21.647,14.162,13.529
1952,12.237,12.213,10.42,12.102,17.581,27.512,33.486,32.985,30.302,20.305,13.569,13.524
1953,10.792,12.954,12.723,11.842,17.914,28.851,33.486,32.99,30.297,20.305,13.362,14.319
1954,10.803,12.208,10.826,12.568,18.441,27.457,33.385,32.99,30.302,19.102,13.348,13.529
1955,10.989,11.508,11.184,10.948,16.48,28.668,33.385,32.985,30.297,20.305,13.57,13.529
1956,11.348,11.365,10.326,12.498,17.624,26.263,32.025,32.99,30.286,20.159,13.474,13.529
1957,11.541,11.06,9.721,10.896,16.485,28.245,33.385,32.99,30.297,20.305,14.358,13.634
1958,12.341,12.003,10.777,12.542,17.62,30.853,33.587,32.995,30.297,20.311,13.907,13.529
1959,11.348,11.413,11.121,11.597,16.684,27.457,33.238,32.946,30.199,20.448,14.162,13.529
1960,11.049,12.661,10.426,11.685,16.584,29.107,33.474,32.995,30.302,20.305,13.362,13.529
1961,11.348,10.615,11.227,11.741,16.48,27.457,33.642,32.99,30.258,20.857,13.713,11.989
1962,10.798,11.665,10.426,11.646,16.48,30.758,35.421,32.99,30.302,19.352,14.02,13.524
1963,10.792,11.564,10.227,11.398,16.246,27.468,33.792,32.995,31.196,20.305,14.662,13.529
1964,11.248,11.608,11.133,12.304,15.817,28.019,32.193,32.99,30.391,20.367,13.468,13.529
1965,12.098,11.754,10.375,10.992,16.486,30.909,33.587,33.62,30.347,20.305,14.162,12.68
1966,10.898,12.682,10.594,12.304,17.768,27.457,35.328,33.076,30.297,20.384,14.457,13.529
1967,11.348,12.208,9.721,11.597,16.48,28.656,33.238,32.99,30.297,20.3,13.692,13.535
1968,10.754,10.703,10.176,11.548,16.496,28.21,32.879,32.99,31.285,20.305,13.912,13.524
1969,11.348,12.258,12.025,11.787,16.279,29.107,33.086,32.99,30.302,20.305,15.162,13.029
1970,11.348,11.104,10.315,12.392,16.33,26.012,33.136,32.99,30.302,20.305,13.468,13.478
1971,11.348,11.413,10.182,10.948,14.618,25.377,31.453,31.363,30.297,20.305,14.063,13.535
1972,11.297,10.609,9.676,11.548,15.991,27.388,34.369,32.846,29.102,19.1,14.058,13.529
1973,11.749,11.213,10.132,12.058,16.663,27.15,32.437,32.99,30.113,20.121,13.276,12.685
1974,11.204,10.97,11.272,12.504,16.19,26.91,32.786,30.085,30.291,21.599,13.569,12.631
1975,10.697,11.658,10.326,12.443,17.625,26.804,32.238,32.842,30.302,21.397,13.367,13.141
1976,11.843,11.413,10.426,11.044,15.929,26.799,33.182,31.135,30.286,20.259,15.333,13.529
1977,11.798,11.104,10.843,11.045,14.478,27.913,34.374,32.99,30.297,20.395,15.395,13.529
1978,11.198,10.763,9.027,10.953,17.631,27.563,33.831,33.175,30.096,20.35,14.667,13.929
1979,12.041,10.554,10.126,11.597,16.425,28.195,33.243,32.99,30.292,21.604,16.75,14.267
1980,11.349,12.003,10.326,12.453,17.141,25.416,30.43,32.946,30.102,20.959,14.162,13.529
1981,11.359,11.902,10.32,11.597,15.886,27.457,31.704,32.99,30.297,19.849,13.373,13.529
1982,12.028,10.665,9.082,10.896,15.628,26.339,36.041,32.985,30.59,20.305,14.162,13.719
1983,10.948,11.053,10.369,10.942,15.485,28.344,32.671,32.936,30.302,20.305,13.618,13.529
1984,11.348,10.57,11.173,11.597,17.529,26.112,33.238,32.886,30.342,20.305,13.368,13.574
1985,11.143,11.324,11.422,11.986,16.48,28.299,33.287,32.99,30.302,20.055,14.162,14.236
1986,11.348,11.413,10.326,11.646,15.474,27.357,32.238,32.985,30.297,20.054,14.162,13.623
1987,11.298,12.153,10.326,11.741,16.323,31.094,34.528,34.487,30.396,20.254,14.057,13.529
1988,12.048,12.203,10.426,12.443,17.686,27.307,33.238,32.946,32.181,20.412,14.162,14.329
1989,10.898,12.002,10.426,11.792,16.48,26.212,33.243,31.529,30.351,20.305,14.162,13.529
1990,12.297,11.857,9.932,11.696,16.379,27.863,32.298,32.99,30.346,20.305,14.162,13.584
1991,11.193,12.208,10.737,11.691,17.225,27.568,34.771,32.99,30.346,20.305,13.856,13.529
1992,11.143,10.615,10.831,11.991,15.862,27.457,34.169,32.99,30.297,20.305,14.607,13.529
1993,11.908,12.214,9.781,11.198,16.48,28.433,34.816,32.99,30.346,20.503,14.162,13.445
1994,12.248,11.413,11.182,10.896,17.628,27.519,33.486,32.99,30.351,20.305,14.063,13.535
1995,10.798,11.763,10.233,11.697,18.43,29.115,33.486,32.99,30.297,21.141,14.063,14.285
1996,11.349,11.154,11.227,11.652,17.635,28.073,33.474,32.99,30.346,20.305,14.413,13.483
1997,11.348,10.961,10.52,11.353,15.939,27.995,36.601,32.99,30.297,19.041,14.113,14.024
1998,10.527,12.163,9.77,12.046,17.085,29.232,33.531,32.99,30.452,21.618,16.555,14.028
1999,11.109,12.67,11.138,13.185,16.48,27.563,33.992,32.99,30.347,20.332,15.675,14.528
2000,12.346,11.558,10.426,12.503,16.485,26.57,33.537,33.213,30.302,21.709,16.061,14.43
2001,11.458,12.203,10.426,11.559,16.48,25.532,33.197,33.008,30.468,21.704,15.211,13.547
2002,12.098,11.912,11.227,12.047,17.585,27.651,37.35,32.99,30.307,20.395,14.162,13.58
