Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1951,10.284,10.885,10.379,10.275,16.131,26.374,34.054,31.51,29.332,20.12,13.286,11.846
1952,11.687,11.995,10.282,12.117,17.193,25.753,32.847,31.606,29.495,18.341,12.682,11.846
1953,10.22,11.942,12.65,11.506,17.226,27.995,32.781,31.51,29.299,18.341,12.275,12.543
1954,10.248,11.685,10.679,11.772,18.026,27.141,32.477,31.51,29.401,16.667,12.712,11.846
1955,10.619,11.121,11.351,10.777,16.06,28.008,32.816,31.57,29.367,17.995,12.603,11.844
1956,10.885,11.09,10.282,11.674,17.062,26.024,31.145,31.54,29.237,17.667,12.408,11.846
1957,10.881,10.652,9.65,10.712,16.131,27.038,32.485,32.147,29.332,18.341,13.401,11.846
1958,12.061,11.518,10.848,12.714,17.223,29.659,32.847,31.609,29.332,18.299,13.081,11.954
1959,10.916,10.885,11.049,11.409,16.131,26.895,32.485,31.51,29.302,18.341,13.106,12.012
1960,10.657,12.413,10.283,11.379,16.23,28.341,32.477,31.541,29.371,18.308,12.275,11.878
1961,10.885,10.057,11.077,11.44,16.131,26.377,32.847,31.51,29.033,18.332,12.772,10.516
1962,10.622,11.216,10.31,11.409,16.131,29.22,34.71,31.541,28.995,16.978,13.18,11.985
1963,10.389,11.252,10.08,11.181,16.062,26.377,33.079,31.51,30.094,18.341,14.293,11.846
1964,10.786,11.087,11.335,11.797,15.329,27.132,31.505,31.609,29.335,18.575,12.275,11.846
1965,11.89,11.217,10.248,10.71,16.163,29.941,32.847,32.715,29.335,18.341,13.106,11.215
1966,10.524,12.451,10.377,12.057,17.11,26.092,34.74,31.54,29.499,18.85,13.21,11.846
1967,10.85,11.651,9.95,11.409,16.161,26.988,32.477,31.202,28.755,18.341,12.776,11.88
1968,10.59,10.088,10.246,11.344,16.131,26.837,31.376,31.606,29.553,18.341,12.805,11.846
1969,10.885,11.685,11.811,11.443,15.894,28.075,32.431,31.571,29.335,18.377,13.733,11.414
1970,10.885,10.618,10.248,12.345,16.161,25.042,32.144,31.54,29.127,18.31,12.544,11.575
1971,10.885,10.885,10.118,11.114,14.798,23.677,30.605,29.943,29.266,18.338,13.007,11.876
1972,10.887,10.123,9.824,11.409,16.103,27.187,34.15,31.236,28.338,17.652,13.007,12.017
1973,11.22,10.516,10.216,11.814,16.567,26.175,32.092,31.541,29.298,18.307,12.545,11.044
1974,10.851,10.317,11.176,12.614,16.062,25.984,32.226,29.484,29.236,19.201,12.744,11.075
1975,10.095,10.95,10.248,12.208,17.193,25.47,31.722,31.609,29.024,18.897,12.341,11.544
1976,11.485,10.885,10.348,11.144,15.928,25.371,32.543,29.746,29.17,18.341,14.301,11.846
1977,11.014,10.586,10.878,11.08,14.605,26.868,32.631,31.541,29.118,18.342,14.037,11.984
1978,10.851,10.185,9.226,11.048,17.7,26.575,31.937,30.557,28.628,18.378,13.718,12.144
1979,11.588,10.184,9.979,11.409,15.907,26.529,32.485,31.57,29.88,19.642,15.475,12.348
1980,10.885,11.554,10.251,12.209,16.754,24.347,29.354,31.51,29.067,19.382,13.106,11.846
1981,10.916,11.217,10.181,11.407,16.13,26.446,31.078,31.541,29.269,18.179,12.375,11.846
1982,11.078,10.185,9.02,10.71,15.09,25.751,34.807,31.609,29.235,18.343,13.106,12.62
1983,10.426,10.35,10.216,10.37,15.129,27.445,32.422,31.606,29.367,18.341,12.672,11.846
1984,10.885,9.847,11.215,11.409,17.637,25.537,32.814,31.442,29.229,18.341,12.61,11.881
1985,10.758,10.9,11.584,11.642,16.521,26.903,32.543,31.606,29.272,18.101,13.106,12.44
1986,10.885,10.648,10.248,11.409,15.024,26.412,31.572,31.51,29.332,18.341,13.106,11.81
1987,10.747,11.614,10.248,11.439,15.451,29.908,35.024,34.048,30.154,18.954,12.839,11.846
1988,11.787,11.685,10.283,12.313,17.662,26.452,32.512,31.51,31.134,18.405,13.106,12.408
1989,10.489,11.346,10.249,11.582,16.193,25.11,32.477,30.791,29.34,18.341,13.439,11.846
1990,11.785,11.049,9.75,11.374,15.894,26.908,31.363,31.874,29.303,18.274,13.106,11.846
1991,10.786,11.685,10.512,11.344,17.114,26.544,34.856,31.57,29.438,18.341,12.84,11.846
1992,10.918,10.085,10.407,11.645,15.806,26.417,33.148,31.51,29.332,18.341,13.64,11.846
1993,11.214,11.647,9.652,11.249,16.131,26.962,34.38,32.261,28.813,18.342,13.142,11.846
1994,11.686,10.885,11.05,10.71,16.993,26.675,32.847,31.51,29.302,18.341,13.105,11.912
1995,10.523,11.017,10.281,11.477,17.648,28.406,32.847,31.509,29.302,18.74,13.006,12.479
1996,10.918,10.853,11.006,11.409,16.382,26.639,32.613,31.51,29.269,18.341,13.203,11.44
1997,10.885,10.589,10.348,10.871,15.161,26.94,35.033,31.609,29.302,17.011,13.106,12
1998,10.526,11.481,9.683,11.641,17.19,27.397,32.78,31.807,29.332,18.628,15.129,12.174
1999,10.82,12.055,10.975,12.759,16.054,26.543,33.241,31.54,29.401,18.341,14.535,12.475
2000,11.853,10.885,10.348,12.241,16.161,25.043,32.847,31.607,29.371,19.883,14.836,12.811
2001,10.886,11.586,10.313,11.375,16.131,23.799,32.677,32.189,29.717,19.642,13.566,12.25
2002,11.545,11.187,11.05,12.009,17.124,26.641,36.614,31.51,29.302,18.406,13.106,12.116
