Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1951,10.824,11.852,10.694,11.421,16.99,27.475,32.58,32.275,29.942,22.659,14.594,13.404
1952,12.196,12.652,10.594,12.129,17.934,27.6,32.57,32.247,29.932,21.198,13.918,13.404
1953,11.225,13.013,12.815,12.302,18.718,28.837,32.57,32.25,29.928,21.26,13.725,13.99
1954,11.2,12.652,10.894,13.018,18.527,27.388,32.57,32.25,29.942,19.996,13.538,13.404
1955,11.172,11.802,11.204,11.34,16.987,28.073,32.595,32.15,29.942,21.26,13.903,13.404
1956,11.611,11.509,10.494,12.803,18.068,25.715,31.447,32.25,29.78,21.198,13.822,13.404
1957,12.274,11.299,9.766,11.116,17.458,28.649,32.66,32.25,29.804,21.198,14.594,13.729
1958,12.635,12.238,10.894,12.841,17.959,30.43,32.67,32.254,29.804,21.26,14.38,13.404
1959,11.611,11.852,11.279,11.915,17.443,27.413,32.57,32.25,29.743,21.547,14.594,13.404
1960,11.311,12.709,10.594,12.289,17.402,28.67,32.598,32.254,29.942,21.26,13.822,13.404
1961,11.611,10.838,11.791,12.202,16.987,27.475,32.674,32.25,29.942,21.932,13.969,12.033
1962,10.728,11.731,10.594,11.915,16.987,29.859,34.177,32.25,29.942,20.426,14.117,13.231
1963,10.758,11.74,10.297,11.616,16.732,27.413,32.784,32.254,30.555,21.198,14.993,13.404
1964,11.511,11.937,11.481,12.328,16.535,27.664,31.013,32.25,29.942,21.485,13.932,13.404
1965,12.12,12.124,10.594,11.305,17.012,30.557,32.57,32.777,29.942,21.26,14.594,12.695
1966,11.235,12.78,10.635,12.429,18.373,27.375,34.014,32.401,29.942,21.218,15.109,13.404
1967,11.611,12.652,9.794,11.729,17.274,28.864,32.57,32.25,29.942,21.198,14.148,13.816
1968,11.135,11.311,10.383,11.342,17.271,28.403,32.57,32.275,31.029,21.26,14.394,13.404
1969,11.41,12.753,12.444,12.327,16.958,28.66,32.371,32.25,29.942,21.198,15.69,12.904
1970,11.611,11.625,10.49,12.429,16.849,26.078,32.576,32.25,29.932,21.26,13.77,13.114
1971,11.611,11.852,10.294,10.988,14.899,25.129,30.571,30.35,29.928,21.198,14.394,13.404
1972,11.286,10.962,9.694,11.715,16.401,27.921,33.267,31.998,28.396,19.674,14.308,13.505
1973,12.01,11.661,10.107,12.409,17.173,27.486,31.471,32.25,29.737,20.939,13.925,12.705
1974,11.123,11.266,11.204,12.813,16.27,27.265,31.809,29.773,29.804,22.273,13.831,12.505
1975,10.915,12.211,10.519,12.55,18.044,27.19,30.994,31.925,29.942,22.535,13.67,12.759
1976,11.91,11.852,10.594,11.178,16.802,27.091,32.267,30.814,29.777,20.977,16.333,13.466
1977,11.91,11.611,11.221,11.371,14.865,27.398,33.496,32.25,29.942,21.508,15.953,13.404
1978,11.22,11.539,9.194,11.243,17.9,27.489,33.058,32.667,29.403,21.495,15.284,13.715
1979,12.398,10.925,10.318,11.715,16.948,28.548,32.495,32.25,29.752,22.555,17.381,14.765
1980,11.736,12.325,10.494,12.744,17.499,25.416,30.176,32.25,29.293,21.86,14.594,13.404
1981,11.736,12.511,10.68,11.816,15.947,27.413,31.038,32.25,29.928,20.622,13.859,13.505
1982,12.383,11.138,9.395,11.206,16.603,26.589,35.184,32.247,30.554,21.247,14.594,13.625
1983,11.301,11.649,10.871,11.34,16.176,28.434,31.699,32.146,29.804,21.485,13.893,13.404
1984,11.611,10.937,11.037,11.729,17.862,26.113,32.57,32.237,29.904,21.26,13.732,13.404
1985,11.41,11.728,11.652,12.403,16.987,28.74,32.371,32.25,29.942,20.486,14.594,14.077
1986,11.611,11.852,10.581,11.915,16.087,27.375,31.084,32.122,29.938,20.77,14.594,13.592
1987,11.511,12.496,10.494,12.202,16.958,30.717,33.292,33.298,29.942,21.011,14.594,13.404
1988,12.085,12.525,10.594,12.425,18.028,27.185,32.57,32.25,31.298,21.198,14.594,14.237
1989,11.235,12.511,10.594,12.202,17.111,26.589,32.371,30.966,29.942,21.198,14.594,13.404
1990,12.511,12.483,10.194,12.106,16.561,27.689,31.184,32.25,29.942,21.26,14.594,13.53
1991,11.41,12.652,10.836,11.915,17.359,27.291,33.228,32.337,29.942,21.198,14.384,13.404
1992,11.269,11.086,11.312,12.502,16.661,27.776,33.856,32.279,29.932,21.26,15.177,13.404
1993,12.139,12.724,9.908,11.191,17.015,29.134,34.042,32.403,29.942,22.065,14.507,13.436
1994,12.412,11.852,11.608,11.141,18.616,27.6,32.57,32.279,29.942,21.198,14.494,13.404
1995,10.821,12.353,10.164,11.853,18.758,30.193,32.57,32.25,29.942,22.624,14.494,14.108
1996,11.897,11.309,11.422,11.829,18.124,27.026,32.57,32.25,29.942,21.198,14.614,13.408
1997,11.611,11.237,10.694,11.533,17.005,28.62,35.378,32.25,29.928,20.271,14.494,14.201
1998,10.784,12.528,9.985,12.344,17.176,29.989,32.57,32.25,29.955,23.041,16.707,13.69
1999,11.18,12.842,11.107,13.142,17.015,27.499,32.593,32.25,29.942,21.198,15.717,14.726
2000,12.502,12.149,10.694,12.844,17.025,26.385,32.57,32.384,29.942,22.761,16.334,13.99
2001,11.615,12.434,10.694,11.744,16.987,25.776,31.987,32.25,29.987,22.659,15.819,13.404
2002,12.12,12.466,11.494,12.116,18.204,27.503,35.827,32.25,29.942,21.26,14.594,13.466
