Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1951,1.7671,2.1584,2.833,1.5118,0.8396,7.061,11.5081,14.3544,8.9272,2.0577,0.2371,0
1952,1.0224,2.3084,2.9909,0.5226,1.0041,7.5745,11.5724,13.2868,7.8657,1.0645,0.2,0.5701
1953,2.6391,2.0027,0.0146,1.1717,0.1646,5.8309,15.3741,14.3911,8.461,1.0006,0,1.084
1954,1.8589,2.1395,1.1931,0.0847,0.7296,5.4292,13.3777,13.4783,9.5223,2.0167,0,0.1136
1955,2.8851,1.9963,1.1365,0.3726,1.0041,5.3248,16.8712,12.6499,8.6822,3.941,0.1111,0.9631
1956,2.6025,1.915,1.4469,0.2015,1.4009,8.2372,13.7659,14.068,11.0737,3.7396,2.6129,1.2816
1957,1.5617,1.036,2.9435,1.4437,0.9092,5.7979,14.6424,13.966,7.6241,0.3758,0.1139,1.0324
1958,2.1696,1.321,3.0142,1.1577,0.0146,4.7001,13.7497,13.8667,8.2645,2.9008,0.6627,1.084
1959,3.5598,1.0385,0.0326,0.3724,2.0179,3.8523,12.5375,14.7463,7.6463,4.2697,0.2152,0
1960,1.9584,0.1527,1.9601,1.1036,0.8761,4.6871,15.2725,16.6758,7.038,2.8351,0,0.0019
1961,2.3331,1.9959,0.156,0.0414,1.0041,5.5399,13.7223,16.3035,10.4807,3.202,1.1262,1.3074
1962,2.1368,1.7893,1.4368,1.5007,1.0041,4.5707,13.4799,14.7716,11.4325,0.8625,0.691,1.6177
1963,1.9615,1.6868,2.2786,1.5545,1.669,6.4239,15.7217,15.4914,9.2515,1.825,1.1262,1.084
1964,0.231,1.7756,1.1365,1.157,1.2313,4.7306,14.7691,14.7344,9.0046,1.8906,0.8917,0.0498
1965,1.067,0.9573,2.2893,1.7995,1.0041,3.4804,12.1106,10.2074,7.0503,2.1124,0.2176,1.084
1966,2.1236,1.4537,0.3324,0.1385,0.5538,8.5004,9.3938,10.3878,4.5143,1.0016,2.35,1.6816
1967,1.0246,0.1527,3.0911,1.1036,0.9203,4.837,13.6782,18.8202,9.5097,1.0011,0.1512,2.6923
1968,2.6483,1.476,1.2352,0.4325,0.0993,5.1041,12.7594,11.5928,6.38,1.7897,0,1.084
1969,1.2138,1.0386,0.3126,0.7745,2.0609,3.8739,17.0424,12.6898,8.6113,0.3971,1.5204,0
1970,2.7492,3.4242,1.1855,0.0467,2.1597,7.1346,13.8289,13.5434,13.8104,1.8721,0.0321,0
1971,1.747,1.604,1.1515,1.8205,2.2091,9.357,12.6129,16.9496,8.5206,3.9585,0.0999,0
1972,2.2502,3.121,0.3151,1.2902,0.1536,3.1224,10.3869,14.3689,7.0553,3.7041,1.8862,0.3343
1973,1.3624,0.5283,0.2641,0.1591,0.2966,4.0097,14.6047,16.6818,8.7827,3.514,0.551,0.0018
1974,0.6548,0.8112,0.115,0.0777,1.1637,4.0823,15.7181,12.0664,5.1703,2.1865,1.1177,0.1165
1975,1.4711,1.658,2.3008,1.1036,0.7699,6.8455,14.1245,11.676,9.0448,2.4519,0.8708,0
1976,2.5026,0.894,0.3302,1.4948,1.0041,3.6151,12.6425,12.0429,11.6702,0.3073,1.1262,0
1977,2.2282,1.6322,0.3134,1.5897,1.5891,6.6985,15.2192,12.5647,7.8162,2.9728,2.0667,1.5613
1978,2.4941,4.134,2.4557,1.5283,0.5448,8.1666,10.3582,13.2445,10.4732,2.1084,0.3834,1.8417
1979,2.2986,1.6271,0.1184,1.1036,0.2571,6.2311,12.6428,11.0246,5.5205,1.0683,2.5508,1.084
1980,0.8431,1.0385,1.143,0.0914,0.698,8.5915,15.8937,17.9637,6.9345,1.1746,0.0013,1.4824
1981,2.0581,1.0382,1.8272,0.701,1.2387,6.4789,16.1901,14.8221,9.4434,0.3549,1.7609,1.084
1982,3.9585,1.7422,3.1803,1.112,1.9594,5.6511,12.112,16.556,12.125,1.0016,2.3288,1.1715
1983,1.2267,1.0002,1.0997,1.9555,2.0225,5.9647,12.6031,11.1204,8.4726,2.7523,0.0199,1.084
1984,2.8298,2.9477,0.1661,1.5465,0.8992,7.0143,11.6803,11.9566,8.275,1.9236,0,0.1022
1985,2.1586,0.5826,0.0157,1.3354,0.778,4.9615,13.662,13.36,8.8752,3.8126,0,1.0159
1986,1.9757,2.954,0.4347,0.7745,2.3748,5.4121,13.1123,14.7143,8.2596,1.0459,0.9702,2.3012
1987,1.9849,1.7379,1.7975,0.2015,1.128,2.0945,10.5182,12.3985,6.3381,3.1348,1.0777,1.0856
1988,1.4079,1.189,2.2946,0.7896,1.0727,7.2357,11.8824,13.4446,6.9356,1.3281,0.6475,1.8384
1989,1.3489,0.3885,1.7443,0.6921,1.1165,6.5496,13.8938,10.7924,7.2643,1.7339,1.1301,2.0438
1990,0.2269,2.4086,1.3055,1.2331,1.776,8.4946,16.0351,14.0913,9.5879,1.6107,0.0672,1.084
1991,1.9315,1.6591,1.8371,1.4218,1.0042,4.5998,9.0278,9.8663,7.1614,0.6343,0.6755,2.3845
1992,2.5238,1.3196,0.0805,1.1036,1.0733,3.2008,8.8008,10.462,8.2965,3.1358,1.2566,0
1993,1.2246,0.8747,1.4127,0.9571,1.6252,4.0693,9.6452,10.1766,10.0673,2.052,0.0689,0
1994,3.5651,2.5543,2.7965,1.3395,0.6651,8.6843,15.5315,13.7762,7.9017,2.2665,0.1183,0
1995,2.5921,2.2495,2.4732,1.1275,1.0024,4.1681,12.1272,13.2578,8.9252,0.8856,1.5209,1.6813
1996,2.9152,2.0702,0.3773,0.9187,0.9166,7.7341,12.3187,14.3785,7.6658,3.6209,0.4171,0
1997,1.9877,0.2681,1.1365,1.1583,1.5497,5.9523,7.2518,12.4987,6.6751,1.7826,2.1568,2.4123
1998,0.8461,1.6041,2.3592,1.1036,1.943,4.8095,12.3983,14.9721,8.3934,2.2053,1.8804,0
1999,2.8019,2.3998,0,0,1.5861,4.0346,13.5182,12.2843,9.1848,2.4461,0,0.9758
2000,1.0246,1.8054,0.1089,0.8806,1.3614,5.9048,12.3521,9.5802,9.2777,0.3547,0,0
2001,1.0246,1.0385,2.122,1.2644,1.2324,6.1617,11.6451,12.3408,5.803,2.9072,1.1262,0.0467
2002,3.1173,1.9834,0.8992,0.6706,0.8957,4.5796,8.0033,13.0518,8.5753,3.1359,1.4656,1.084
