Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1951,1.3583,1.3319,1.8592,1,1,4.3849,10.7445,11.9906,8.3538,2.15,1,0
1952,1.0216,1.581,1.8979,1,1,5.8219,9.8584,11.3985,7.4659,1.0176,1,0
1953,2.5002,1.2451,0.3847,1,1,4.4381,13.2686,12.954,7.6488,1,0,1.0232
1954,1.6271,1.5762,1,0.9659,1,3.7315,11.9534,11.9379,8.6376,2.0016,0,0.044
1955,2.3195,1.616,1,1,1,4.411,15.1419,10.5973,7.1957,3.553,0,1.0232
1956,2.0961,1.1032,1.0053,1,0.8384,5.5568,10.0851,12.0901,9.8901,3.7912,1,1.4198
1957,1.6035,1,1.9145,1,1,4.0721,11.7177,12.0625,6.2869,0.6344,0.9929,1.1066
1958,1.9765,1,2.0114,1,0.6009,4.2192,10.395,12.3787,6.8165,2.8095,0.6612,1.0232
1959,3.1824,1,0.2004,0.1961,1.5033,2.5859,9.8809,13.061,6.7623,4.2505,1,0
1960,1.3693,0,1.2474,1,0.8782,3.2372,12.0385,14.5575,6.7776,2.5112,0,0.0724
1961,1.8277,1.649,0,0.1739,1,4.0496,11.2327,13.6529,8.9097,2.9283,1,1.1434
1962,1.8874,1.2411,1.0071,1,1,3.3214,11.0664,12.5095,10.453,0.4352,1,1.3183
1963,1.477,1.0653,1.77,1,1.2334,4.3769,13.3379,12.817,8.1176,1.8662,1,1.0232
1964,0.7081,1,1,1,1,3.0516,12.92,12.4948,7.9721,1.5451,0,0.7048
1965,1.0216,1,1.5327,1,1,2.1324,10.4182,9.0281,5.8734,1.9813,1,1.0232
1966,1.5058,1.3172,0.0126,0,0.5354,5.8081,8.0954,9.5104,4.2838,1,1,1.5031
1967,1.0195,0.2737,1.8684,1,1,3.1229,11.3033,15.9327,7.9884,1,1,2.2291
1968,2.2093,1,1,1,1,3.8739,10.5894,9.8124,5.1048,2.1446,0.1873,1.0232
1969,1.2621,1,0.9461,1,1.4457,2.9893,14.3828,11.1218,7.8248,1,1,0
1970,1.9782,2.4568,1,0.5285,1.442,4.7557,11.4991,11.1727,11.3411,2.0482,0.3702,0
1971,1.2623,1.2653,1,1,1.7305,6.1726,10.283,14.2342,7.7795,3.8517,0.5736,0
1972,1.8487,2.2133,1,1,1,2.0279,8.7136,12.2705,7.5458,3.8289,1,0
1973,1.5339,1,1,0.8286,1,3.3011,11.4224,14.3659,7.7632,3.6812,0.9874,0
1974,1.0681,1,0.7385,0.8349,1,3.4041,13.3614,9.9957,5.3786,1.467,0.8972,0.9867
1975,1.8575,1.1695,1.4953,1,1,4.8693,11.7885,10.5542,8.7105,2.1847,0,0
1976,2.1126,1,0.7839,1,1,3.2518,9.3667,9.8255,10.3592,0.9461,0.9496,0
1977,1.6841,1.0034,0.6322,1,1.2703,4.1245,12.4714,9.7995,6.3725,2.9279,1,1.4884
1978,1.8787,2.7692,1.7844,1,1,5.361,8.6738,11.4976,9.2716,2.3144,0.9291,1.3596
1979,1.9052,1.3468,0.9461,1,1,4.0663,10.9398,10.0351,5.0447,1.0474,1,1.0682
1980,0.5709,1,1,0.8271,1,5.7993,14.6688,15.6684,7.5351,1.1529,0.0986,1.2218
1981,1.9085,1,1.1755,1,1.0204,4.1905,13.7249,13.5312,8.5668,0.9759,1,1.0232
1982,3.0545,1.3185,2.1142,1,1.4847,3.7688,9.7807,13.6731,10.5672,1.0155,1,1.075
1983,1.5933,1,1,1,1.5458,4.1164,11.1831,9.6518,7.7266,2.8293,0,1.0232
1984,2.3208,2.0822,0.6808,1,1,4.549,9.776,10.5755,7.4139,1.852,0.1603,0.9949
1985,1.6088,0.983,0.3923,1,1,3.4372,11.1924,11.1048,8.5414,3.6536,0.2937,1.051
1986,1.129,1.8988,1,1,1.7123,3.3546,11.6844,12.3747,8.4157,1.2778,0.6174,2.228
1987,1.5037,1.337,1.1246,1,1.0896,2.0585,9.14,11.2115,5.954,3.3715,0,1.0232
1988,1.3217,1.0138,1.4775,1,1.0251,4.8182,10.9161,11.5988,5.9536,1.4187,1,1.8337
1989,1.3882,1.0675,1,1,1.1003,4.5797,11.6036,9.5668,7.2365,1.7427,1,1.9437
1990,0.0314,1.5822,1,1,1.2552,3.5414,12.7613,11.341,8.45,1.5474,0.324,1.0264
1991,1.6019,1.202,1.1282,1,1.0393,2.3535,6.8673,7.9965,6.2801,0.6259,0.981,1.9883
1992,2.0493,1.0006,0.684,1,1.033,2.7323,8.7474,9.1787,6.9807,2.8614,1,0
1993,1.2451,0,1.0169,1,1.2378,2.7716,7.6109,9.4731,10.148,1.8517,0.0141,0
1994,3.0937,1.7121,1.5921,1,1,4.5003,11.3717,11.6566,6.2106,1.5786,0.981,0
1995,2.2302,1.7191,1.5467,1,1,2.1095,9.6479,12.1309,8.1081,0.9659,1,1.5507
1996,2.4036,1.4493,1,1,1,5.1393,9.5807,12.4075,6.8716,3.52,0,0
1997,1.6286,1,1,1,1.3583,4.6946,6.4836,11.0312,6.1847,1.8445,1,1.7932
1998,0.626,1.1215,1.3196,1,1.5301,2.4719,10.4259,12.9324,6.9216,1.424,0.9937,0
1999,2.5364,1.3085,0.0683,0,1.1908,3.3012,10.5972,10.2416,7.9799,2.0189,0.0526,1.002
2000,1.0216,1.5432,1,1,1.0031,3.7064,9.6734,9.1722,8.2158,0.3999,0,0.0314
2001,1.0216,1,1.4471,1,1.05,4.16,9.767,10.9359,4.1414,2.2562,0.1705,0.5125
2002,2.1052,1.477,1,1,1,2.6641,7.3243,11.0244,8.253,2.9786,1,0.2176
