Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1951,1.3979,1.2988,1.9143,1.0746,1,4.4336,11.6554,12.4069,9.1079,2.4066,1,0
1952,0.8769,1.6655,1.8789,0.9662,1,5.9281,10.5194,11.7902,8.4524,1.1726,0.6047,0.0679
1953,2.762,1.1687,0.3722,1,0.9831,4.5352,14.3118,13.8414,8.7295,1,0,1.039
1954,1.6493,1.6655,1,0.8701,1,3.9699,12.7087,12.4761,9.5134,1.9273,0,0
1955,2.3155,1.6955,1,1,1,4.4946,16.3271,11.0546,8.0504,3.5957,0,1.039
1956,2.1014,1.1249,1,1,0.9422,5.757,11.0119,12.7633,11.0031,3.7681,1,1.3277
1957,1.6786,1.0119,1.7757,0.9605,0.9605,4.3278,13.3173,12.3714,6.522,0.3831,0.5686,1.0718
1958,2.1287,1.0119,1.9022,1,0.4932,4.4886,11.7778,12.6637,7.5129,2.9009,0.3628,1.039
1959,3.3417,1.0119,0,0,1.3254,2.8091,10.7122,13.7378,7.5281,4.338,0.6047,0
1960,1.318,0,1.3331,1,0.7153,3.4097,12.9011,15.2541,7.4596,2.426,0,0
1961,1.8134,1.8244,0,0,1,4.5287,12.1099,14.2825,9.9498,2.9579,1,1.1622
1962,1.9996,1.3232,1,1.1018,1,3.5768,11.8619,12.8445,11.3073,0.8357,0.6046,1.2283
1963,1.4463,1.0901,1.809,1.0565,1.2207,4.6575,14.1212,13.5926,8.7507,2.1996,1,1.039
1964,0.3697,1.0643,1,1.0113,1,3.3517,13.9742,13.9623,8.5456,1.7692,0.3953,0.2547
1965,1.0261,0.8193,1.44,1.1742,1,2.2714,11.6661,9.3585,6.4579,1.9922,1,1.039
1966,1.8054,1.2546,0,0,0.0732,5.9091,8.3731,9.7568,4.6811,1,1,1.483
1967,1.0152,0.1209,1.8743,1,1,3.3932,12.4346,16.4861,8.7342,1,0.6046,1.8613
1968,2.321,1.022,1,0.8701,0.9831,4.0655,11.9399,11.0869,5.8246,2.2891,0.1209,1.039
1969,1.2844,1.0119,0.9024,1,1.3894,3.2775,15.3548,11.804,8.3825,1,1,0
1970,1.9498,2.4365,1,0.4989,1.3187,5.0764,12.5058,11.7835,12.2524,2.047,0.2418,0
1971,1.4374,1.3479,1,1.1493,1.6299,6.6509,11.1998,15.2607,7.8722,3.8902,0.1814,0
1972,1.8531,2.4858,1,1.0384,1,2.1544,9.1707,13.0296,7.6401,4.0035,1,0
1973,1.8643,1.0141,1,0.6576,1,3.5481,11.8575,14.8784,8.7151,3.8979,1,0
1974,1.1602,0.9561,0.6797,0.7593,1,3.4226,14.9201,10.613,6.12,1.7842,0.9639,1.0316
1975,2.0771,1.2591,1.5207,1,1,4.8546,13.0027,10.5313,9.3465,2.3128,0.0452,0
1976,2.1666,1.0119,0.7193,1.1018,1,3.4772,10.384,10.1619,11.7654,0.8006,1,0
1977,1.5822,1.0119,0.6192,1.1312,1.4963,4.3145,13.4606,10.4196,7.3298,2.9092,1,1.3862
1978,1.9273,3.0434,1.6936,1.1402,1,5.8369,9.6837,12.2617,9.9359,2.499,0.8232,1.412
1979,2.0097,1.4674,0.9024,1.0181,0.9831,4.175,12.3617,10.6643,5.7202,1.0966,1,1.1441
1980,0.8784,1.0119,1,0.4838,1,6.0659,15.04,16.1752,7.6099,1.1032,0.1173,1.1202
1981,2.0191,1.0119,1.2056,1,1,4.2093,14.8237,13.0072,9.3502,0.7098,1,1.039
1982,3.1483,1.4292,2.1516,1,1.3961,3.9447,10.7522,14.1238,11.6787,1.1132,1,1.059
1983,1.5634,0.7064,0.9436,1.1334,1.4817,4.292,12.3785,10.2512,8.1434,2.9562,0,1.039
1984,2.4825,2.1852,0.9269,1.0633,1,4.7425,11.0069,11.2745,8.1113,1.9649,0.2587,0.4678
1985,1.7263,1.0119,0.3831,1.0136,1,3.5897,12.4937,11.7723,9.1762,3.7639,0.1814,1.039
1986,1.2338,1.9064,1,1,1.5501,3.6976,12.9137,13.1805,9.2375,1.1302,0.5356,1.8373
1987,1.5136,1.4154,1.0926,1,1.0278,2.404,10.617,12.3292,7.2636,3.5498,0.3953,1.039
1988,1.373,1.1384,1.4967,0.9831,1,5.0825,11.7457,11.6467,6.7003,1.5175,0.6047,1.4267
1989,1.3404,1.2612,1,0.9831,1.0943,4.9109,12.363,10.3744,7.6684,1.9278,1,1.797
1990,0.079,1.7963,1,1.009,1.2246,4.0432,13.7002,11.7909,9.0956,1.9156,0,1.039
1991,1.7746,1.2544,1.2628,1.0407,1,2.8361,8.0332,9.56,7.0953,0.91,0.6951,1.7778
1992,2.1119,1.0136,0.6192,1,1,2.7216,9.5902,9.3278,7.5104,2.9771,1,0
1993,1.2915,0,1,1,1.1796,2.82,8.1117,9.9904,10.9186,1.993,0.1511,0
