Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1951,1.2526,1.3299,1.6869,1.0534,1.1852,5.512,10.7712,11.7319,8.1003,1.6652,1,0
1952,1.0004,1.7516,1.8274,1,1.8372,6.8175,9.7023,12.9119,6.1856,1.0006,1,0
1953,2.126,1.6106,0.8675,1,1.0012,6.1887,13.9139,10.9754,6.1008,0.9912,0,1
1954,1.6091,2.0081,1.0192,0.9736,1.0016,4.4958,12.5706,11.3455,7.8536,2.3882,0,0.672
1955,1.8612,1.2453,1,1,1.0227,5.9642,14.4618,10.776,7.0667,3.6162,0,1
1956,1.7333,1.3466,1.0801,1,1.6141,6.1947,11.1348,10.1896,7.9661,4.0261,1,1.2556
1957,1.7722,0.9731,1.9656,1.1177,1.0738,5.0545,11.589,11.0846,7.2028,1.2926,1,1.2847
1958,1.5271,1,1.3755,1,1,4.6603,11.1799,12.7068,7.2097,3.297,0.9819,1.0919
1959,2.154,1.0045,1,1,2.7387,3.2998,11.3262,11.284,6.867,3.5029,1,0
1960,1.3069,0.0469,1.2427,1,1,4.1029,12.9269,13.3732,7.0787,3.0761,0,0.9462
1961,1.9271,1.8489,0.0469,1,1.0359,5.1002,11.9808,12.6559,7.6874,3.3238,1,1.1812
1962,1.8523,1.1502,1.1478,1.1698,1.0692,3.9869,11.6744,11.8255,10.089,0.9731,1,1.3715
1963,1.304,1.1059,1.8315,1.0674,2.2308,5.4134,13.6295,12.1561,9.558,1.5779,1,1
1964,1,1,1,1,2.0716,3.579,13.8453,10.1178,8.2306,1.0163,0,1
1965,1,1.146,1.1818,1.247,1.0842,2.6883,10.4762,9.3318,4.9789,1.9943,0.9643,0.9708
1966,1.0015,1.6872,0.6985,0.1932,1.6403,7.448,10.829,11.0531,4.6261,1.1785,1,1.0376
1967,1,1,1.9265,1,1.0081,4.0431,11.3221,15.2001,7.2777,1,1,2.1822
1968,2.1023,1.264,1.0089,1,1,5.142,10.7468,8.3043,5.1849,2.0969,0,1
1969,1.3331,1,1,1.1444,2.4743,3.458,13.7777,11.3158,9.581,1,1,0
1970,1.7305,2.2128,1,0.8181,2.7696,6.1827,11.1449,11.7637,7.9371,2.2215,0.0517,0
1971,1.1852,1.4014,1.0376,1.1132,3.4729,7.2861,11.7405,12.8579,8.307,3.8604,1,0.0023
1972,1.3581,2.0755,1.0238,1.088,1.0023,2.8559,8.9768,11.2661,8.8433,3.1617,1,0.5549
1973,1.3749,1.3342,1,0.9311,1.2607,5.4878,11.3854,13.8415,7.091,3.4264,0.4983,0
1974,1.0001,1,1,0.9824,1.1142,4.412,12.3134,9.1571,4.6314,1.4031,0.2788,1.0035
1975,1.6546,1.4008,1.3087,1,1.0542,6.593,11.6598,10.6981,8.5519,1.8129,0,0
1976,1.6332,1.1518,1,1.1791,1.3517,4.2631,9.6059,11.6833,7.4788,1,0.3459,0.2966
1977,1.5237,1.1281,0.8519,1.3457,1.8597,5.7524,13.1449,8.963,6.7514,2.3972,1,1.3247
1978,1.4673,2.512,1.7788,1.0081,1.0008,6.0859,8.6745,11.2915,8.7117,1.8345,1,1
1979,1.4722,1.4836,1,1,1.7998,4.6829,10.7795,9.0979,3.916,1,1,1
1980,1,1.182,1.2159,1,1.0043,7.7272,15.1591,14.348,8.8696,1.4093,0.5913,1.4072
1981,1.6303,1,1.222,1,1.6898,5.6488,14.4291,11.177,7.0905,0.9311,1,1
1982,2.3788,1.3187,2.0701,1.1572,2.7568,4.4264,9.6496,13.621,7.4793,1.0622,1,1.1392
1983,1.6834,1.0006,1.066,1.8583,2.885,5.8782,10.6168,9.3716,9.2248,2.596,0,1.0005
1984,1.7669,2.3821,1,1.3135,1,6.0664,9.5015,10.562,6.5533,1.3168,0,1
1985,1.4024,0.9824,0.6088,1.0775,1.3936,4.7839,11.369,11.0722,8.7313,3.4234,0.0023,1.6136
1986,1,1.9264,1.0385,1.0117,3.5159,4.5137,12.2411,10.4216,8.3276,1.5654,1,2.3154
1987,1.6671,1.5917,1,1,2.3811,1.6052,7.4516,10.0571,4.1672,2.5392,0,1.0087
1988,1.0252,1.2326,1.5036,1.0082,1.7572,6.5476,12.1454,12.5626,5.8862,1.0581,0.9731,1.9835
1989,1.632,1.1462,1.1057,1,1.9504,5.6961,11.7213,9.4233,7.1147,1.1086,1,1.4396
1990,0.1824,1.8544,1.0787,1,2.353,4.7217,13.3514,11.0253,8.7588,1.0726,1,1.2642
1991,1.0617,1.5043,1.0682,1.1108,2.2234,3.3134,5.0873,6.7933,5.5869,0.5147,0.133,1.6523
1992,1.7732,1.3933,1,1,2.0605,3.9643,8.7179,9.7199,6.2949,2.094,1,0.0023
1993,1.2819,0.8567,1.2764,1,2.3559,4.9416,9.9502,8.8056,9.7382,1.342,0,0
1994,1.7378,1.5239,1.7522,1.0098,1.3976,5.6524,11.6604,11.3795,6.0142,1,0.1342,0.3977
1995,2.0539,1.9247,1.6208,1,1.0654,3.6867,9.8894,11.9953,8.6359,0.9062,1,1.5925
1996,1.901,1.6724,1,1,1.1935,6.5505,10.3072,11.6377,8.0756,2.9343,0,0
1997,1.1493,1,1.0257,1.057,2.5127,6.9885,6.6282,9.9409,5.9764,1.948,1,1.6149
1998,1,1.3756,1.5342,1.1204,2.5041,2.9764,11.3059,13.2647,6.2119,1.0891,1,0
1999,1.7913,1.3817,0.2219,0,1.9145,4.8871,10.5908,8.8936,7.5694,2.0844,0.0023,1
2000,1.0049,1.7234,1,1,1.8098,4.0969,10.821,9.9363,7.1247,0.4955,0,0.1492
2001,1,1,1.1411,1.1286,2.3251,5.368,9.9271,9.1828,4.3534,1.6379,0.088,1
2002,1.5857,1.877,1.0441,1,1.0013,2.9762,7.691,9.7424,8.8195,2.002,1,0.2865
