Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1951,1.0873,1.0023,1.908,1.2863,1.0114,4.2675,12.2103,11.6238,8.6434,2.885,1,0
1952,0.4556,1.3704,1.7187,1,1.0125,6.336,9.6356,10.9395,8.6263,1.8306,0.1605,0.4539
1953,2.7376,1,0.8503,1,1,5.0042,13.7766,13.1325,8.4212,1.0857,0,1.0328
1954,1.3617,1.3695,1,0.9769,1.0149,4.3902,11.4619,11.6334,8.9188,1.8903,0,0.1146
1955,1.6439,1.2313,1,1,1,4.8115,15.2232,10.0057,6.8864,3.5652,0.1667,1.0643
1956,1.7547,1,1,1.0011,1.4757,6.1648,10.6115,12.1527,10.7176,3.7416,1,1.5056
1957,2.0306,1,1.5699,0.7769,1,4.6852,13.5936,10.7193,6.2194,0.4684,0.0726,1.18
1958,2.0689,1,1.4914,1.0232,0.7014,4.7843,12.3517,11.4364,7.2429,3.117,0.0435,0.7095
1959,3.0589,1,0,0,1.5781,3.4049,10.8263,12.4386,7.82,4.405,0.1656,0
1960,1.0242,0.1608,1.3859,1,0.5384,3.7508,12.3922,13.8784,7.2899,2.3469,0,0
1961,1.6775,1.8354,0,0,1,5.2468,11.4255,12.8876,8.9076,2.9801,1,1.2264
1962,1.7685,1.1449,1,1.1296,1,4.1396,11.1827,12.2603,10.4137,1.1137,0.1118,1.2011
1963,1.0761,1,1.9085,1.0418,1.8338,4.6336,13.027,12.4467,7.9552,2.9069,1,0.7044
1964,0.1898,1,1,1.042,1.0238,3.9958,13.6685,13.9434,7.6668,2.0003,0.8038,0.029
1965,1.0125,0.429,1.0917,1.7943,1.0024,2.6104,12.1747,8.6363,5.9194,1.9769,1,1.049
1966,1.842,1.0504,0,0,0.1538,5.1665,7.6708,8.7633,4.4356,1,1,1.5243
1967,0.9464,0.1608,1.7187,1,1.0101,3.2133,12.0786,14.7433,7.9541,1.009,0.1263,1.595
1968,2.0326,1,0.9822,1,1,4.4159,11.6608,11.362,5.408,2.8976,0,1.0643
1969,1.0576,1,1,1,1.7256,4.0099,14.3082,11.5482,7.9461,1,1,0
1970,1.4749,1.811,1,0.5586,1.3647,5.6683,12.4086,11.1083,10.5525,2.2623,0.029,0
