Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1951,1.2069,1.3654,1.6433,1.069,1.1615,5.5431,11.493,12.1291,8.2493,2.2361,1,0
1952,1,1.6257,1.7548,1,1.4822,7.7446,10.2597,12.0559,6.9466,1.1141,1,0
1953,2.119,1.3206,0.883,1,1.0025,6.336,13.9987,12.1964,6.6905,1.0764,0,1.0025
1954,1.5717,1.713,1,1,1.026,4.9539,12.8505,11.9783,8.2379,2.5042,0,0.4722
1955,1.7108,1.4355,1,1,1.0095,5.8926,15.7068,10.9602,6.9823,3.9584,0,1.0038
1956,1.9321,1.0834,1.0012,1,1.2369,6.919,10.4429,11.1193,8.9164,4.4697,1,1.4661
1957,1.7261,1,1.8815,1,1,5.3491,11.8196,12.1794,6.6753,1.2121,1,1.3806
1958,1.661,1,1.4833,1,0.9959,5.0861,10.6828,12.9671,7.198,3.5929,0.8823,1.076
1959,2.6705,1,0.9796,0.9878,2.6514,4.1979,11.0925,12.1417,6.8493,4.3151,1,0
1960,1.2699,0.0254,1.0871,1,1,4.3489,13.0206,13.8599,7.3718,3.2215,0,0.7757
1961,1.8131,1.7122,0,0.9827,1.0102,5.082,12.0951,13.0461,8.1102,3.7178,1,1.2175
1962,1.7068,1.319,1.0216,1.3092,1.0079,4.4896,11.7743,12.5604,10.3051,0.8526,1,1.3599
1963,1.3001,1.1638,1.8057,1.0089,1.9787,5.7,14.6506,12.5121,8.5258,1.7101,1,1.0038
1964,1,1,1,1,1.4764,4.0162,13.917,11.2366,7.9674,1.15,0,1.0038
1965,1,1.0373,1.2058,1.3427,1.0148,2.953,10.8119,9.4718,5.0898,2.2398,1,0.8852
1966,1.0696,1.6416,0.4292,0.0951,1.125,7.8402,9.9463,10.2763,4.4444,1.0518,1,1.1815
1967,0.9873,0.924,1.6887,1,1.014,3.9774,11.452,15.9149,7.383,1.0114,1,2.2219
1968,2.0095,1.0142,1,1,1,5.5485,10.5946,8.7096,5.2866,2.7121,0.1034,1.0038
1969,1.3808,1,1,1.1185,2.1409,3.9638,14.9775,11.6485,8.6504,1,1,0
1970,1.7355,2.4231,1,0.9766,2.1904,6.5085,12.0137,11.2868,8.8228,2.4672,0.2654,0
1971,1.1542,1.267,1,1.1562,2.739,7.8697,11.0918,13.0149,8.3087,4.4333,1,0
1972,1.5996,2.0235,1,1.0833,1.0453,2.8088,9.639,11.9579,8.66,4.2033,1,0.3038
