Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1951,1.2111,1.331,1.7722,1.1791,1,4.9154,10.1174,12.4797,7.8419,1.4543,1,0
1952,1,1.7954,1.9614,1,1.1366,5.6977,9.5263,12.9808,6.0549,0.994,1,0
1953,1.9772,1.6226,0.4268,1,1,4.9951,13.3719,11.935,6.4336,0.9645,0,1
1954,1.4427,1.8145,1,0.5411,0.9564,3.7355,11.7904,12.0409,8.0706,2.0955,0,0.4077
1955,2.1516,1.2835,1,1,1,4.7056,14.3167,10.954,6.5313,3.3154,0,1
1956,1.6401,1.4259,1.0766,0.9145,1.0222,5.5799,11.2227,11.6298,8.4895,3.683,1,1.2334
1957,1.3476,0.7915,2.1515,1.2821,1,4.2043,11.1212,11.8084,6.8612,1.0716,1,1.0338
1958,1.4142,1,1.7037,1.0228,0.6924,3.7238,10.9268,13.0131,6.7181,2.8372,0.9324,1
1959,2.3496,1.0002,1,1,2.2665,2.5413,10.3222,12.4728,5.9063,3.3993,1,0
1960,1.1843,0,1.1794,1,1,3.3604,12.785,14.7638,6.4216,2.6534,0,0.6399
1961,1.8177,1.5381,0,1,1,4.2171,11.1597,13.8224,7.9788,2.7938,0.9955,1.0384
1962,1.5223,1.2503,1.0884,1.2208,1,3.0675,11.4902,12.4935,9.9421,0.6751,1,1.4673
1963,1.4191,1.0023,1.6197,1.2372,1.6145,4.4851,13.4873,13.0414,9.0619,1.1103,1,1
1964,1,1,1,1,1.4874,2.8622,13.5115,10.9025,7.9383,1.0638,0,1
1965,1,1.0017,1.3012,1.403,1,2.1065,10.4438,9.4214,5.5126,2.0409,0.7037,1
1966,1,1.5453,0.3389,0,1.1226,6.4233,9.2592,10.3744,4.0456,1.0013,1,1.1891
1967,1,0.8399,1.9405,1,0.9579,3.1401,11.1319,16.5305,7.6176,1,1,2.4891
1968,1.9617,1.187,1,1,0.8783,3.8472,10.3935,9.0363,4.8551,1.8375,0,1
1969,1.05,1.0456,1,1.0539,1.9694,2.7112,14.3626,11.4151,8.0754,1,1,0
1970,1.7852,2.6593,0.9219,0.3222,2.1506,4.9241,10.8296,12.2445,9.6458,1.9778,0,0
1971,1.1014,1.3536,1,1.3205,2.428,6.2375,10.5093,13.9519,8.0567,3.4569,1,0
1972,1.4066,2.1523,1,1.14,0.9579,2.1488,7.827,12.0971,8.1485,3.1269,1,0.3389
1973,1.2119,1.1205,1,0.3808,1,3.0378,12.1708,14.7806,7.2134,3.0952,0.3444,0
1974,1,1,0.7603,0.6141,1,3.5021,12.3041,9.8476,4.2439,1.1587,0.3259,1
1975,1.2338,1.1904,1.3039,1,1,5.5944,11.3813,10.9821,7.7019,1.857,0,0
1976,1.6397,1.0003,1,1.2644,1.019,3.0187,9.3125,11.2085,8.504,1,0.6628,0.1469
1977,1.5399,1.2264,0.4211,1.4108,1.1353,4.6187,13.0011,9.7714,6.6415,2.5726,0.9896,1.3166
1978,1.6002,2.6875,1.8536,1.0952,0.9609,5.6506,8.1082,11.243,8.9489,1.6696,1,1.0687
1979,1.5486,1.4287,1,1,1.1523,4.3146,10.1248,9.3468,3.8865,0.9926,1,1
1980,1,1.0297,1.0627,0.8554,1,6.258,14.5704,16.2048,8.1851,1.2244,0.4637,1.5491
1981,1.3658,1,1.1317,0.8364,1.1537,4.98,13.7686,12.1679,7.0885,0.5195,1,1
1982,2.6233,1.3406,2.0268,1.1499,2.0751,3.6948,9.503,14.6044,8.3875,1,1,1.268
1983,1.3796,1,1,1.9252,2.1522,4.51,9.8483,10.1187,8.0525,2.3729,0,1
1984,1.8152,2.1912,0.733,1.4344,0.997,5.0974,9.0497,11.021,6.4582,1.4156,0,1
1985,1.2329,0.6126,0.2605,1.1785,1,3.6854,11.3043,11.4915,8.278,3.3332,0,1.2972
1986,1,2.0374,1,1.0005,2.676,3.956,10.9956,11.329,7.4312,1.3389,1,2.2651
1987,1.423,1.4655,1.0175,0.9609,1.5534,1.01,7.4251,9.9441,3.9837,2.4554,0,1.0193
1988,1.0565,1.01,1.4851,1.0464,1.2445,5.3836,11.0559,12.5086,5.5137,1.062,0.8013,1.8516
1989,1.3472,1.0009,1.1546,0.9579,1.2642,4.6225,11.5868,9.3623,7.0149,1.2163,1,1.6263
1990,0.0022,1.7324,1,1,1.7171,4.3437,12.7459,11.8667,9.1056,1,1,1.0775
1991,1.0736,1.469,1,1.184,1.4882,2.4762,5.5605,6.7772,5.6884,0.4012,0.2173,1.9319
1992,1.7824,1.1874,1,1,1.3721,2.6398,8.1029,9.8953,6.5235,2.435,1,0
1993,1.0869,0.1327,1.2109,1,1.7418,3.5054,9.3423,9.2236,9.6584,1.5198,0,0
1994,2.0746,1.7775,1.7705,1.0926,1,5.1303,11.6963,11.9864,6.3328,1,0.0852,0.2321
1995,1.8834,1.8572,1.4506,1.0204,1,2.6998,9.7496,12.0451,7.9803,0.5195,1,1.8411
1996,1.9328,1.5596,1,1,1.0023,5.6455,9.7404,12.1806,7.3415,2.9486,0,0
1997,1.0692,1,1,1.1239,1.6882,5.5725,5.8024,10.4151,5.828,1.701,1,1.8829
1998,1,1.2491,1.5741,1.0889,2.0223,2.5777,10.7129,13.9319,6.3672,1.0016,1,0
1999,1.7965,1.5364,0,0,1.3828,4.1798,10.5995,9.9888,7.444,1.9224,0,1
2000,1,1.4381,1,1,1.2614,3.6625,10.5971,9.483,7.2468,0.4001,0,0
2001,1,1,1.2355,1.1684,1.5132,4.5173,9.6266,9.8677,4.3421,1.7504,0.9891,0.8281
2002,1.5961,1.721,1,1,0.9564,2.7272,6.5975,10.523,8.1622,2.1377,1,0.9891
