Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1951,1.1555,1.2663,1.7982,1.0003,1.0001,4.1881,10.3717,11.5967,7.6649,1.989,1,0
1952,1,1.4839,1.8484,1,1.0013,5.7476,9.1431,11.1621,6.7496,1.0006,1,0
1953,2.125,1.212,0.544,1,1,4.4981,12.5088,12.2893,6.7261,1.0006,0,1.0171
1954,1.4344,1.4853,1,1,1,3.5666,11.1987,11.6075,7.7988,1.9999,0,0.2007
1955,1.9261,1.4445,1,1,1,4.2219,14.3509,10.2414,6.3362,3.3843,0,1.0171
1956,1.8156,1.046,1.0086,1,1.0004,5.362,9.2591,11.5532,8.8936,3.7575,1,1.4857
1957,1.4573,1,2.0028,1,1,3.9182,10.6558,11.78,5.7885,1,1,1.2246
1958,1.6894,1,1.8677,1,0.9712,3.8427,9.4217,12.1419,6.427,2.849,0.8,1.0173
1959,2.8248,1,0.6015,0.6591,1.8324,2.7199,9.0768,12.4514,6.0769,4.0004,1,0
1960,1.1714,0,1.1626,1,1,3.1188,11.2366,14.0038,6.3214,2.4406,0,0.3296
1961,1.6187,1.5351,0,0.5595,1,3.784,10.4957,12.9499,7.9252,2.8679,1,1.1588
1962,1.6211,1.1879,1.0244,1.0015,1,3.1931,10.3183,12.2903,9.6107,0.4011,1,1.353
1963,1.2899,1.0234,1.7928,1,1.4011,4.1529,12.6737,12.2447,7.5603,1.6438,1,1.0171
1964,1,1,1,1,1.0011,2.9055,12.2189,11.5616,7.3366,1.2667,0,1.0171
1965,1,1,1.4337,1.0016,1,2.0817,9.6272,8.8477,5.2133,1.9067,1,1.0171
1966,1.1278,1.4352,0.0586,0,1,5.607,7.8605,9.3065,3.9322,1,1,1.4137
1967,1,0.4594,1.7854,1,1,2.9138,10.4383,15.4352,7.1756,1,1,2.2773
1968,1.8926,1,1,1,1,3.8004,9.6549,9.1403,4.7578,2.1698,0.1425,1.0171
1969,1.1461,1,1,1.0003,1.6384,2.8786,13.5611,10.9185,7.2532,1,1,0
1970,1.7354,2.3985,1,0.6437,1.6067,4.5385,10.9416,10.7334,9.7619,2.0153,0.342,0
1971,1.0828,1.1506,1,1.0008,1.9487,5.8492,9.5412,13.3298,7.2908,3.7246,1,0
1972,1.5984,1.9821,1,1.0003,1,1.9243,8.2182,11.7758,7.3627,3.6885,1,0.0008
1973,1.2706,1.0002,1,0.9425,1.0001,3.2437,11.1683,13.9447,7.0018,3.5025,0.9421,0
1974,1,1,0.8429,0.9712,1.0001,3.3892,12.1752,9.5294,4.9873,1.227,0.6414,1.0171
1975,1.649,1.1237,1.4229,1,1,4.7989,10.8504,10.5702,7.9733,2.0274,0,0
1976,1.8327,1,0.9712,1.0006,1.0008,3.257,8.6473,9.9174,9.2348,1,0.7697,0
1977,1.4411,1,0.7145,1.0014,1.3001,3.9665,11.6244,9.3064,5.7472,2.8459,1,1.5314
1978,1.5662,2.5179,1.757,1.0004,1,4.9087,8.0366,10.9929,8.5139,2.2179,1,1.2292
1979,1.6123,1.2621,1,1,1,3.8586,10.4485,9.677,4.442,1,1,1.0742
1980,0.7587,1,1,1,1,5.5992,14.2439,15.0199,7.4065,1.1568,0.2288,1.2304
1981,1.6999,1,1.1427,1,1.094,4.0292,12.8705,12.8761,7.6547,1,1,1.0171
1982,2.6168,1.2277,2.0583,1,1.7127,3.6484,8.938,13.2459,9.1403,1.0003,1,1.0759
1983,1.4943,1,1,1.0023,1.7887,4.011,10.4164,9.4619,7.2183,2.7353,0,1.0171
1984,1.9336,1.9684,0.6724,1.0004,1,4.307,8.9411,10.2028,6.8406,1.742,0.1417,1.0171
1985,1.3985,1,0.4432,1.0001,1.0005,3.3598,10.23,10.7006,8.0602,3.4583,0.2709,1.1436
1986,1,1.7221,1,1,2.0035,3.1371,10.8893,11.6919,7.8283,1.321,1,2.3244
1987,1.2913,1.2838,1.0926,1,1.2871,1.9512,8.2295,11.014,5.1482,3.2338,0,1.0171
1988,1.1239,1.0001,1.4585,1,1.1157,4.6623,10.376,11.5415,5.5522,1.3258,1,2.0243
1989,1.2975,1.0004,1,1,1.3142,4.3634,10.9282,9.2491,6.8275,1.5669,1,1.9272
1990,0.1425,1.4452,1,1,1.4171,3.1916,11.8371,10.7743,7.832,1.3382,0.9292,1.032
1991,1.3352,1.118,1.0384,1.0002,1.1799,2.0395,5.9165,7.2732,5.6614,0.5008,0.9129,2.0181
1992,1.7712,1.0029,0.8717,1,1.1515,2.7503,8.369,9.0077,6.3027,2.6833,1,0
1993,1.1257,0.0034,1.0533,1,1.4197,2.7205,7.4004,9.2588,9.2391,1.6524,0,0
1994,2.6544,1.6091,1.5442,1.0001,1.0001,4.2737,10.239,11.3167,5.8649,1.196,0.9133,0.0008
1995,1.9371,1.6081,1.5026,1,1.0006,2.1758,8.8475,11.8498,7.4777,1,1,1.6119
1996,2.0666,1.3652,1,1,1.0001,4.8106,8.7519,11.9275,6.3771,3.3248,0,0
1997,1.341,1,1,1.0005,1.5743,4.6762,6.2625,10.5825,5.9014,1.8009,1,1.7139
1998,1,1.0378,1.396,1.0002,1.7166,2.1644,9.9166,12.8365,6.2543,1.2959,0.9708,0
1999,2.1321,1.1649,0.2152,0,1.3652,3.2851,9.7573,9.7534,7.1498,1.9523,0.1425,1.0171
2000,1,1.4508,1,1,1.016,3.4041,9.3534,9.1643,7.3783,0.4004,0,0.1436
2001,1,1,1.3724,1.0002,1.2287,4.0249,9.1522,10.3499,3.8824,2.0529,0,0.9425
2002,1.714,1.4567,1,1,1,2.3579,6.8975,10.4935,7.7055,2.667,1,0.2149
