Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1951,1.8163,2.6554,2.615,1.6021,1.2771,7.6966,12.9993,15.7375,9.1703,1.9623,0.4611,0
1952,1.0249,2.5168,2.7171,0.769,1.0414,8.9492,13.3063,15.646,6.5828,0.3707,0.0089,0.7944
1953,2.8168,1.9196,0,1.263,0.0682,6.7754,16.4752,14.6151,8.2161,1.1335,0,1.0381
1954,2.0731,2.1461,1.1743,0.011,0.0754,5.1014,13.6055,14.381,9.9995,2.4507,0,0
1955,3.1652,1.8415,1.0763,0.2585,1.0414,6.4285,17.4789,14.1658,9.3854,4.3822,0,1.0365
1956,2.4966,1.7818,1.3795,0,1.3773,9.5093,16.176,15.2597,10.8519,4.034,3.327,1.1806
1957,1.7725,0.9447,2.8506,1.8343,1.0394,6.35,14.4999,15.3367,8.3147,0.9463,0.2507,1.0381
1958,1.9344,1.5552,2.6561,1.0186,0,4.3072,15.075,14.9666,8.0552,3.1778,0.9608,1.0381
1959,3.5008,1.0673,0.0016,1.1463,2.4283,4.326,13.4382,16.0567,7.8749,4.4074,0.313,0
1960,2.5029,0.138,1.6534,1.1631,1.0382,5.1832,16.3321,18.0694,6.4282,3.5109,0,0.311
1961,2.5978,1.5219,0.5724,0.6581,1.0414,6.39,14.7001,17.8057,10.8006,4.1902,1.3309,1.1491
1962,2.1026,2.1177,1.4415,1.4463,1.0472,4.6898,14.9302,17.0005,11.9266,0.3548,0.874,1.6978
1963,2.2285,1.5592,1.876,1.7536,1.7116,6.8966,16.9189,16.1715,10.2561,1.4493,1.3309,1.0381
1964,0.2102,1.5956,1.1179,1.2097,1.716,5.263,15.2084,14.8696,9.383,1.9328,0.083,0.1863
1965,1.2392,1.0579,1.8031,1.8301,1.0414,4.1929,12.5875,11.0904,7.7214,2.3697,0,1.0524
1966,1.7097,1.5119,0.4533,0.2607,1.0414,9.7248,10.9569,11.0857,3.9933,1.0211,3.3175,1.2786
1967,1.0317,0.138,2.9598,1.1631,0.4584,5.0984,14.4202,19.9721,9.925,0.6941,0.0024,2.7851
1968,2.8296,1.4115,1.2631,0.575,0,5.6718,13.8783,12.1551,6.3858,2.1558,0,1.0381
1969,1.0867,1.2057,0.5428,0.0278,2.4296,3.7183,18.0804,14.4797,8.5129,0.2906,1.9865,0
1970,2.8523,3.5174,1.5059,0,2.388,7.7344,14.1971,15.4293,13.8883,1.8603,0,0
1971,1.7247,1.4517,1.0768,1.8577,2.4906,10.9487,13.5537,17.1921,8.9284,4.6298,0.1316,0
1972,2.2184,2.819,0,0.8994,0.3202,3.4092,10.301,15.576,7.5545,4.2191,2.4271,0.5658
1973,1.3307,1.1892,0.0024,0.022,0.5737,3.4326,17.2397,17.8901,9.0432,3.7407,0.0163,0.9628
1974,0.211,0.3041,0.2323,0.2932,1.1434,4.6872,16.0885,13.5717,4.491,2.5509,1.0948,0.0032
1975,1.0604,1.853,1.8886,1.1631,0.0327,8.0529,14.5859,13.0492,8.8479,2.8204,0.0196,0
1976,2.4661,0.2312,0.9331,1.5841,1.0414,4.4554,13.5641,13.6997,11.3652,0.2906,1.3328,0
1977,2.2801,1.7456,0.8737,1.6304,1.6602,8.2628,16.9176,13.783,8.1293,3.3407,2.5015,1.4809
1978,2.6493,4.2396,2.3242,1.523,0.3355,9.4744,11.6545,13.9521,10.7814,2.0254,0.5739,1.7556
1979,2.6292,2.4885,0.4626,1.1631,1.0536,6.9528,13.9347,11.0328,5.0219,1.0136,3.2229,1.0381
1980,0.2807,1.0662,1.197,0.011,0.027,9.6706,16.4062,19.4686,6.8112,1.4547,0.1249,1.7558
1981,1.6065,1.0652,1.5892,0.3334,1.3909,7.3895,17.1292,15.0054,9.0333,0.4232,2.2695,1.0381
1982,4.6489,1.7416,2.6164,1.2307,2.2097,5.7703,12.4639,19.3359,11.784,1.0301,3.1431,1.2324
1983,1.3171,0.3695,0.1224,2.1257,2.307,6.7116,12.0798,12.619,8.8323,3.1662,0,1.0381
1984,2.6365,2.7975,0.011,1.7692,0.8676,8.0454,11.3452,13.4255,7.6472,1.8855,0,0
1985,2.3473,0.1988,0.1543,1.5626,1.1913,5.6271,15.6241,14.5805,9.4242,4.6292,0,1.0381
1986,2.3218,3.2131,1.0106,0.0223,2.6075,6.7486,13.1266,14.7165,7.6191,1.5224,0.4252,2.1669
1987,2.2341,2.0843,1.5331,0,1.4722,2.7514,10.5856,13.0913,6.1426,2.9626,0.9213,1.1447
1988,1.364,1.0881,2.094,1.214,1.1445,8.2586,12.5493,14.0941,6.4389,1.3597,0.6457,1.511
1989,1.2601,0.1396,1.9196,0.7484,0.1489,6.9836,14.2564,11.7856,7.1212,1.678,1.3309,1.8737
1990,0.2149,2.5963,1.0799,1.3021,2.0928,9.7021,17.6431,15.5634,10.8592,1.3995,0.0089,1.0472
1991,1.8661,1.7112,1.5804,1.4717,1.0942,5.1317,8.3568,12.7922,6.6484,0.3163,0.4315,2.22
1992,2.6535,1.4745,0.3177,1.1268,1.196,3.3627,8.4456,11.5286,9.0481,3.3072,1.4238,0
1993,1.2233,1.0757,1.4274,1.1191,1.8416,5.2079,10.927,10.5267,9.8811,2.2556,0,0.0869
1994,3.425,2.7553,2.5134,1.4216,1.0042,9.9444,18.1103,15.0404,7.8956,1.9804,0,0
1995,2.7814,2.31,2.2248,1.3013,0.6646,4.9132,13.0737,14.0655,9.163,1.0964,1.8325,1.7527
1996,3.0787,2.1198,0.9219,1.1554,0.9867,8.1382,12.9547,15.4135,7.6411,3.8748,0.5861,0
1997,1.7623,0.138,1.0763,1.3119,1.6291,7.2462,8.4474,13.3254,7.6853,2.2381,3.0874,2.3815
1998,0.7772,1.2264,2.2722,1.1631,2.0256,6.7463,13.5903,16.7159,8.9304,2.1222,2.53,0
1999,2.5946,2.6242,0,0,1.6961,5.6817,14.8868,13.7567,10.1952,2.8879,0,1.0365
2000,1.0317,1.5445,0.0931,0.0838,1.5744,6.5137,14.0736,10.2974,9.7153,0.35,0,0
2001,1.0317,1.0662,1.7722,1.3856,1.7285,7.8631,12.4461,12.3967,6.2762,2.8325,1.3309,0
2002,3.1169,2.1281,0.5459,0.5984,1.1084,5.4737,7.4145,14.0057,8.7226,3.3755,1.7147,1.0381
