Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1951,1.1298,1.0006,1.8246,1.1888,1.011,3.6662,12.2734,11.4997,8.4069,2.5281,1,0
1952,0.7405,1.3107,1.6955,1,1.0738,5.8182,9.8986,11.0072,8.1745,1.475,0.9021,0
1953,2.6458,1.0002,0.8905,1,1,4.5057,13.415,12.8288,7.9016,1.0185,0,0.9981
1954,1.4251,1.3055,1,1,1.0017,3.6899,12.1116,11.7658,8.541,1.7417,0,0
1955,1.5749,1.245,1,1,1,4.3889,15.5009,10.2127,7.0895,3.2141,0,1
1956,1.7418,1,1,1.002,1.3578,5.2851,9.6926,11.7356,10.1884,3.5626,1,1
1957,1.8019,1,1.7035,0.986,1,4.058,12.4533,11.0798,5.5902,0.4466,0.5574,1
1958,1.9755,1,1.7337,1,0.8911,4.6051,10.6644,11.6312,6.7703,2.438,0.3533,0.9441
1959,3.1553,1,0,0.0616,2.0224,3.2463,9.8228,12.9097,7.7811,4.0902,0.9161,0
1960,1.0319,0,1.2615,1,0.8095,3.1766,11.3798,14.0605,7.0838,2.0865,0,0.0616
1961,1.4347,1.554,0,0.0616,1,4.304,10.9876,12.9194,8.8788,2.7254,1,1
1962,1.8013,1.1412,1,1.2822,1,3.4558,10.711,12.3291,10.3454,0.8457,0.7263,1
1963,1.1136,1,1.9208,1.0513,1.8145,4.1266,13.0329,12.2985,7.7323,2.4274,1,0.9282
1964,0.3929,1,1,1,1.0099,3.172,13.421,13.477,7.6048,1.4429,0,0.4234
1965,0.9993,0.9301,1.2948,1.6828,1,2.2299,11.4091,8.7948,5.5946,1.8462,1,0.9216
1966,1.5831,1.2645,0,0,0.3234,4.3506,7.7953,8.9929,4.3489,1,1,1
1967,0.7028,0.0959,1.6612,1,1.0024,2.6286,11.5241,14.9231,7.6368,1,0.7803,1
1968,2.0166,1,1,1,1,3.9575,11.3228,11.131,5.3338,2.6962,0.0642,1
1969,1.1448,1,1,1.0095,1.9293,3.3276,13.868,11.222,7.602,1,1,0
1970,1.5472,1.8892,1,0.8771,1.5965,4.8027,12.216,11.0669,10.2675,1.9814,0.2351,0
1971,1.1527,1.1351,1,1.4863,2.3032,5.8952,10.4158,13.8821,6.7069,3.607,0.2041,0
1972,1.5185,1.9761,1,1.115,1.0027,1.9555,8.4379,12.2383,7.3465,4.0166,1,0
