Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1951,1.4333,0.8625,1.8508,1.1479,1.0121,3.9687,7.8024,11.0616,6.9385,1.097,1.0001,0
1952,0.8139,1.3866,1.4917,1.1098,1.0129,3.8151,8.7695,14.7888,2.2395,0.2,0.7486,1.8631
1953,2.6126,0.8491,0.1675,0.7812,0.3687,2.727,12.1355,10.735,3.8643,0.3059,0,0.5016
1954,1.8359,1.9302,1.0571,0,0.0475,1.7653,10.8695,10.3133,6.3049,2.446,0.0203,0.0469
1955,2.0408,0.8607,0.9452,0.9477,0.9616,4.6497,11.3462,12.9614,6.3501,3.4652,0,0.0878
1956,1.2398,1.0102,1.6143,0.1486,1.2955,3.9278,12.4808,9.7589,4.5667,3.6362,0.9343,1.6362
1957,2.0311,0.0313,2.1039,1.22,1.1975,2.8847,11.8446,9.2835,6.4074,1.239,1.0001,1.184
1958,1.1772,1.0102,1.0576,0.7083,0.3409,1.7414,12.6458,11.285,6.974,2.9492,0.6161,1.1462
1959,2.0678,0.7988,0.6166,0.7249,2.502,2.5019,10.5825,10.597,4.7037,1.9301,1.0001,0
1960,1.1473,0,1.6208,0.7,1.045,2.6161,11.2162,12.4016,4.3349,3.0852,0,1.1001
1961,2.1599,1.5616,0,1.1053,1.0202,3.7359,9.1612,15.4212,4.702,2.878,1.0001,0.938
1962,2.0355,0.8885,1.2184,1.0375,0.8808,2.2548,10.2759,10.6591,7.0601,0.2319,0.8578,1.0021
1963,1.3006,0.9799,1.2483,1.4213,1.4107,3.593,8.8909,11.2191,8.1876,0.8903,1.0001,1.2958
1964,0.6022,0.5902,0.8599,0.5743,1.8268,1.7159,13.7587,10.5579,7.5457,0.5404,0,1.1004
1965,0.8938,1.0136,0.9263,1.4089,1.0127,1.5348,10.8362,8.2279,4.3965,1.8504,0.0313,0.2568
1966,0.5815,1.0112,0.1837,0.011,2.2313,4.7788,8.3076,11.4008,3.3246,0.8732,1.0001,0.7752
1967,0.0826,0.4208,2.0473,0.5648,1.0121,3.0068,10.54,15.8118,5.587,0.7224,0.5244,2.8387
1968,2.0672,1.0116,1.049,0.632,0.2188,2.6514,10.7337,8.849,2.7992,1.7603,0,0.5466
1969,1.0588,1.0102,0.6567,0.8633,1.7833,1.98,12.4502,10.2738,7.8621,0.4957,1.0001,0
1970,2.2289,1.8066,1.0991,0.1329,2.3037,4.4371,8.0782,11.9689,6.1198,1.348,0,0
1971,1.4936,1.0413,0.7688,1.297,1.9726,5.0437,10.9065,11.4462,5.7876,2.6828,1.0001,0
1972,1.0652,1.4739,0.3792,0.9362,0.1524,2.4435,8.401,11.5269,5.797,1.4515,1.0001,1.1001
1973,1.5891,1.011,0.7203,0,0.9798,3.0352,9.3969,13.5465,5.9204,2.7398,0,0.0767
1974,0.7414,0.7556,0.3062,0.2847,1.1736,2.5942,8.925,8.1455,1.7738,2.3885,0,0.8649
1975,1.3517,0.8581,0.9221,1.0356,0.5075,4.4771,12.0287,9.3727,6.4357,1.7962,0,0
1976,0.7861,1.0126,1.0161,1.4259,1.6954,4.6098,9.3004,13.0603,4.921,0.6663,1.0001,0.0414
1977,1.8359,0.9677,0.1334,1.5941,1.5667,3.5068,13.2072,8.4665,6.7515,1.8184,0.152,0.9217
1978,1.0003,1.4112,2.2797,1.106,0.2812,5.2679,9.0648,11.4408,6.1603,0.9358,0.7524,1.5647
1979,1.3663,1.6258,1.0415,0.9909,1.723,2.9998,8.6812,6.9072,1.9155,0.8843,1.0001,1.1001
1980,0.5033,1.0102,1.5636,0.8658,1.0121,4.5369,11.2368,12.2819,4.8706,1.4543,1.0001,1.5324
1981,1.5711,0.7622,1.7029,0.0319,1.8469,6.2295,12.4606,8.2483,4.3921,0.271,1.0001,0.4453
1982,1.9419,1.0102,2.1042,2.0735,2.1567,3.197,8.3449,13.7475,3.6155,1.0797,1.0001,1.4965
1983,1.6043,1.0112,0.7681,2.424,2.6045,3.945,8.0416,11.502,6.7683,2.249,0,1.1001
1984,1.05,1.1429,0.4025,1.9847,1.0121,4.2401,8.3495,11.4136,3.7819,0.9201,0,0.4978
1985,1.0644,0.0319,1.0413,1.5571,1.0144,3.1199,13.0351,11.4767,6.14,3.5263,0,2.0602
1986,1.422,1.5417,1.0654,1.0109,2.5532,3.7235,9.4619,8.5129,4.2658,1.9885,0.7415,2.4291
1987,1.4901,1.0774,1.0476,0.3532,2.6734,1.6789,6.1411,8.493,3.05,1.1083,0,1.5027
1988,1.0588,1.0102,1.6664,1.1053,1.0123,4.3451,10.6179,11.8134,4.0097,1.0233,0.0313,1.0959
1989,1.7371,0.6291,1.6321,0.6627,0.747,2.8234,9.5189,10.5739,5.046,1.0243,1.0001,1.3108
1990,0,1.6488,0.7942,1.0333,2.016,4.1412,11.4957,12.006,6.8705,0.8041,0.7828,1.7913
