Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1951,1.197,1.3722,1.8184,1.062,1.0001,4.5157,10.0344,12.0848,7.7017,1.7443,1.0001,0
1952,1.0017,1.6623,1.9442,1.0001,1.0001,5.6547,9.2517,11.7472,6.5166,1.0001,1.0001,0
1953,1.9787,1.5038,0.3999,1.0001,0.9999,4.5154,12.8057,12.3597,6.6517,1.0001,0,1.0074
1954,1.4427,1.6381,1.0001,0.8798,1.0001,3.6418,11.414,11.8163,7.8973,2.0252,0,0.2175
1955,2.1207,1.4454,1.0001,1.0001,1.0001,4.3085,14.3256,10.5373,6.4299,3.3998,0,1.0074
1956,1.8395,1.2107,1.0394,1.0001,1.0001,5.4387,10.0801,11.7407,8.8424,3.6966,1.0001,1.3613
1957,1.396,0.9313,2.1145,1.0723,1.0001,3.9744,10.7314,12.0374,6.2714,1.0001,1.0001,1.0645
1958,1.5875,1.0001,1.8924,1.0036,0.7544,3.7364,9.9319,12.5513,6.4793,2.8244,0.826,1.0074
1959,2.6666,1.0001,0.7207,0.8266,1.7547,2.4481,9.6593,12.5173,6.0057,3.7657,1.0001,0
1960,1.3011,0,1.1725,1.0001,1.0001,3.1796,11.9717,14.4448,6.3752,2.5451,0,0.4005
1961,1.7074,1.5623,0,0.7694,1.0001,3.8266,10.9021,13.4138,7.9739,2.8151,1.0001,1.1448
1962,1.5665,1.2981,1.0626,1.093,1.0001,3.1302,10.7855,12.3892,9.731,0.4344,1.0001,1.4013
1963,1.386,1.0542,1.7131,1.0654,1.2618,4.2192,13.2325,12.645,7.8706,1.3658,1.0001,1.0074
1964,0.9832,1.0001,1.0001,1.0001,1.0826,2.8613,12.6175,11.2784,7.5593,1.238,0,0.9889
1965,1.0017,1.0001,1.4758,1.1411,1.0001,2.0566,9.6996,9.0654,5.4104,1.9456,0.9657,1.0074
1966,1.0423,1.4868,0.1831,0,0.9916,5.9645,8.2443,9.6469,3.9349,1.0001,1.0001,1.3825
1967,1.0017,0.609,1.8887,1.0001,1,2.9222,10.6776,15.9713,7.3992,1.0001,1.0001,2.4122
1968,1.9207,1.0311,1.0001,1.0001,0.9998,3.733,9.7633,8.8704,4.756,1.8539,0.0168,1.0074
1969,1.094,1.0001,1,1.0139,1.534,2.7622,13.9942,11.0914,7.4833,1.0001,1.0001,0
1970,1.8044,2.6417,0.9999,0.4571,1.6203,4.5969,10.9028,11.1912,10.02,1.9903,0.1396,0
1971,1.1016,1.2638,1.0001,1.1136,1.8257,5.9713,9.8655,13.6305,7.8479,3.6495,1.0001,0
1972,1.577,2.1202,1.0001,1.0414,1.0001,1.9944,8.197,11.9639,7.5933,3.4633,1.0001,0.0688
1973,1.1634,1.0001,1.0001,0.6882,1.0001,3.0589,11.5427,14.4038,6.9359,3.2745,0.7136,0
1974,1.0017,1.0001,0.6999,0.8141,1.0001,3.3731,12.2297,9.7239,4.6086,1.0696,0.4994,0.9973
1975,1.3857,1.1593,1.4567,1.0001,1.0001,5.095,11.0598,10.9305,7.7532,1.9593,0,0
1976,1.8177,1.0001,0.9257,1.0826,1.0001,3.0591,8.9121,10.3344,8.9661,1.0001,0.7256,0
1977,1.5303,1.0534,0.5083,1.1342,1.0001,4.1721,12.0966,9.5886,5.9122,2.776,1.0001,1.4239
1978,1.6152,2.7151,1.8105,1.0379,0.9999,5.1613,7.9646,11.0247,8.7645,1.9883,0.9916,1.1772
1979,1.6037,1.3253,1.0001,1.0001,1.0001,4.0545,9.8503,9.5426,4.3084,1.0017,1.0001,1.0074
1980,0.9006,1.0001,1.0001,0.9402,0.9999,5.8078,14.6904,15.739,7.6157,1.1742,0.3259,1.3757
1981,1.5701,1.0001,1.1449,1,1.0242,4.4186,13.2231,12.8099,7.4455,0.8881,1.0001,1.0074
1982,2.7302,1.3132,2.0757,1.0276,1.5914,3.7227,9.1881,13.9087,9.0668,1.0001,1.0001,1.1694
1983,1.4201,1.0001,1.0001,1.2821,1.6304,4.1238,10.193,9.4296,7.487,2.5656,0,1.0074
1984,1.9233,2.1807,0.5915,1.1273,1.0001,4.6386,8.8801,10.392,6.8352,1.6387,0,1.0074
1985,1.3237,0.8881,0.2998,1.0517,1.0001,3.4248,10.4163,10.9811,7.9908,3.3633,0.1395,1.1562
