Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1951,1.1723,1.4201,1.7153,1.0949,1.0001,5.0633,10.5572,12.2994,8.0199,1.8269,1.0001,0
1952,1.0001,1.783,1.8664,1.0001,1.1778,6.4112,9.6281,12.1693,6.6553,1.0001,1.0001,0
1953,1.9513,1.6909,0.5868,1.0001,1.0001,5.526,13.3874,12.1817,6.6397,1.0001,0,1.0016
1954,1.4495,1.8052,1.0001,0.9503,1.0001,4.1658,12.0729,11.9653,8.1161,2.2735,0,0.3937
1955,1.9351,1.452,1.0001,1.0001,1.0001,4.9627,14.762,10.7829,6.6611,3.6446,0,1.0016
1956,1.7606,1.285,1.0189,1.0001,1.0042,6.0038,10.532,11.4208,8.8663,4.0551,1.0001,1.3711
1957,1.4391,0.925,2.0928,1.0936,1.0001,4.6055,11.1298,12.0249,6.587,1.1257,1.0001,1.1397
1958,1.5383,1.0001,1.647,1.0018,0.9179,4.2904,10.3856,12.8837,6.9126,3.1683,0.8584,1.0067
1959,2.4748,1.0084,0.937,0.9685,2.205,3.0293,10.0961,12.296,6.2281,3.902,1.0001,0
1960,1.2587,0,1.121,1.0001,1.0001,3.6633,12.6021,14.3651,6.8535,2.8359,0,0.6614
1961,1.729,1.6503,0,0.9528,1.0001,4.4306,11.3961,13.3765,8.053,3.1865,1.0001,1.1561
1962,1.5385,1.3369,1.0514,1.221,1.0001,3.5663,11.3586,12.4731,10.1122,0.729,1.0001,1.3956
1963,1.3464,1.1289,1.7151,1.0744,1.5863,4.8238,14.0546,12.6992,8.3954,1.3462,1.0001,1.0016
1964,1.0001,1.0001,1.0001,1.0001,1.3221,3.2832,13.3575,11.0978,7.9032,1.1363,0,1.0016
1965,1.0001,1.0336,1.344,1.2932,1.0001,2.3907,10.1666,9.329,5.3675,2.1361,0.9416,1.0016
1966,1.0001,1.6493,0.3095,0,1.0419,6.9756,9.2452,10.1354,4.1804,1.0503,1.0001,1.2423
1967,1.0001,0.8614,1.8324,1.0001,1.0001,3.3613,11.0771,16.2281,7.5601,1.0001,1.0001,2.3912
1968,1.9113,1.1407,1.0001,1.0001,1.0001,4.4148,10.1728,8.7421,5.0496,2.0706,0,1.0016
1969,1.1501,1.0001,1.0001,1.0717,1.9181,3.2021,14.4914,11.4261,8.1682,1.0001,1.0001,0
1970,1.7151,2.6207,1.0001,0.696,1.9951,5.3504,11.2969,11.4961,9.5017,2.193,0.083,0
1971,1.0899,1.3503,1.0001,1.1875,2.2875,6.7419,10.4137,13.4437,8.2535,3.9683,1.0001,0
1972,1.4904,2.1837,1.0001,1.0807,1.0001,2.2909,8.5177,11.9967,8.3035,3.6615,1.0001,0.278
1973,1.1954,1.1056,1.0001,0.8855,1.0001,3.6212,11.9065,14.6992,7.1408,3.5283,0.5988,0
1974,1.0001,1.0001,0.903,0.9345,1.0001,3.9007,12.4783,9.7402,4.8107,1.0523,0.3739,1.0016
1975,1.3772,1.2808,1.3687,1.0001,1.0001,5.9076,11.4781,11.0124,8.1893,2.0138,0,0
1976,1.7576,1.0126,0.9843,1.1633,1.0126,3.6822,9.3113,11.0301,8.6846,1.0001,0.4972,0.0837
1977,1.4636,1.1464,0.6868,1.3041,1.1864,4.9245,12.734,9.5565,6.2328,2.8006,1.0001,1.4151
1978,1.5428,2.7914,1.7247,1.0489,1.0001,5.7999,8.2947,11.3405,9.0786,2.1007,1.0001,1.0483
1979,1.5251,1.428,1.0001,1.0001,1.0168,4.4657,10.542,9.6285,4.3017,1.0001,1.0001,1.0016
1980,0.9843,1.088,1.0001,0.9835,1.0001,6.8126,15.3334,15.6089,8.2659,1.3153,0.3585,1.3925
1981,1.5766,1.0001,1.1019,1.0001,1.183,5.1257,13.9587,12.5588,7.4623,0.9503,1.0001,1.0016
1982,2.5977,1.3791,1.9981,1.0613,1.9838,4.2292,9.469,14.1015,8.811,1.0001,1.0001,1.1411
1983,1.4786,1.0001,1.0001,1.6541,2.1076,4.9162,10.6798,9.649,8.1608,2.7582,0,1.0016
1984,1.8279,2.371,0.8706,1.252,1.0001,5.2934,9.287,10.6937,6.995,1.6491,0,1.0016
1985,1.3195,0.9503,0.3934,1.078,1.0001,4.0569,10.8107,11.1657,8.5271,3.5728,0.083,1.2916
1986,1.0001,1.9904,1.0001,1.0001,2.5651,3.932,11.4064,11.6176,7.9863,1.4958,1.0001,2.295
1987,1.3945,1.536,1.0241,1.0001,1.5194,1.454,7.8867,10.5854,4.3536,3.064,0,1.0016
1988,1.0575,1.1175,1.4504,1.0001,1.2782,5.8749,11.2884,12.5284,5.811,1.2129,0.9582,2.0738
