Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1951,1.1673,1.0841,1.7893,1.1142,1,3.9151,12.1602,11.8347,8.4393,2.4549,1,0
1952,0.9885,1.4133,1.7389,1,1.0268,6.0278,10.1569,11.3661,7.8789,1.3275,1,0
1953,2.5073,1.009,0.8753,1,1,4.625,13.703,13.0626,7.7411,1.0486,0,1.0114
1954,1.4745,1.4185,1,1,1,3.6897,12.3776,12.148,8.5553,1.9593,0,0
1955,1.7415,1.4202,1,1,1,4.3897,15.9057,10.6731,7.0528,3.4663,0,1.0114
1956,1.8008,1,1,1,1.0687,5.4015,9.667,12.0557,9.9844,3.8675,1,1.355
1957,1.6019,1,1.816,1,1,4.0689,12.1969,11.8385,5.7394,0.7577,0.9328,1.2347
1958,1.9084,1,1.8289,1,0.9203,4.4364,10.3722,12.3082,6.9242,2.6486,0.639,1.0114
1959,3.127,1,0.229,0.3718,1.8488,3.2069,9.6778,13.3419,7.2794,4.3915,1,0
1960,1.0414,0,1.1992,1,0.9367,3.2077,11.71,14.4552,6.9777,2.3213,0,0.1428
1961,1.547,1.6041,0,0.3146,1,4.1612,11.2685,13.4016,8.8715,2.9747,1,1.0515
1962,1.7845,1.2009,1,1.3544,1,3.4139,11.0499,12.7141,10.4722,0.5632,0.9817,1.2175
1963,1.2088,1,1.8701,1.0055,1.5123,4.3217,13.554,12.7225,7.923,2.2305,1,1.0114
1964,0.802,1,1,1,1,3.0965,13.5815,13.1814,7.8051,1.4096,0,0.805
1965,1.0099,1,1.3813,1.4467,1,2.2168,11.1838,9.15,5.6065,2.0027,1,0.9972
1966,1.4137,1.3967,0,0,0.6696,4.9309,8.2164,9.4699,4.3495,1,1,1.2462
1967,0.9534,0.3164,1.6833,1,1,2.8818,11.5961,15.7038,7.7237,1,0.9878,1.6298
1968,2.0239,1,1,1,1,4.0225,11.1515,10.8351,5.2752,2.6699,0.2451,1.0114
1969,1.246,1,1,1.0156,1.6876,3.2085,14.4237,11.4454,7.6838,1,1,0
1970,1.6749,2.1766,1,0.9203,1.4984,4.7832,12.3077,11.3328,10.6514,2.0824,0.4451,0
1971,1.1338,1.1642,1,1.2958,2.0182,6.0504,10.5579,14.137,7.0544,3.8741,0.3511,0
1972,1.6051,2.0442,1,1.0717,1,1.959,8.6972,12.4563,7.5996,4.1085,1,0
1973,1.6851,1.0014,1,0.9939,1.0226,3.5593,11.8512,14.2895,8.084,3.8981,1,0
1974,1.0988,1,0.955,1,1.0268,3.5515,13.9305,10.0499,6.0832,1.6628,0.7962,1.0114
1975,2.0771,1.1665,1.3116,1,1.0155,4.6351,12.1762,10.5078,8.9008,2.2082,0,0
1976,1.9045,1,0.955,1.1746,1.0367,3.6439,9.5093,9.8931,10.6972,1,0.829,0
1977,1.2742,1,0.9264,1.3184,1.7878,3.9376,12.5588,9.7301,6.4186,2.893,1,1.3721
1978,1.6131,2.4295,1.639,1.2138,1,4.8601,9.2924,11.6446,9.0519,2.6209,0.9285,1.1717
1979,1.7072,1.2982,1,1.0085,1,3.8182,12.952,10.5939,5.0408,1.0203,1,1.2004
1980,0.6629,1,1,0.9367,1.0296,5.6603,14.5753,15.2669,7.6148,1.1599,0.0572,1.0229
1981,1.8197,1,1.145,1,1.1882,3.7784,13.9255,13.1173,8.6799,0.9653,1,1.0114
1982,2.6861,1.2391,2.0369,1,1.7498,3.6967,9.8581,13.4449,10.4773,1.2572,1,1.0114
1983,1.5907,1,1,1.3879,1.8909,4.0769,12.0552,10.1252,7.5601,3.0528,0,1.0114
1984,2.0854,1.8679,1,1.0829,1,4.1859,10.3624,11.0172,8.1152,1.9525,0.2286,0.9031
1985,1.5625,1,0.6203,1.0257,1.0367,3.4505,11.5893,11.1272,8.9157,3.8056,0.3511,1.0801
1986,1.0256,1.5606,1,1,1.9048,3.4217,12.3594,12.3363,8.8943,1.2819,0.4451,1.7615
1987,1.2542,1.2571,1.0284,1,1.3795,2.9457,10.0792,12.3614,6.7946,3.6311,0,1.0114
1988,1.2052,1.0613,1.4302,1,1.1955,4.6693,11.3857,11.5043,6.1759,1.5551,1,1.5496
1989,1.2978,1.2053,1,1,1.5592,4.5294,11.6298,10.0594,7.3943,1.8543,1,1.521
1990,0.1428,1.4488,1,1,1.5058,2.9225,12.427,10.7602,8.4796,1.8756,0,1.04
1991,1.5645,1.0315,1.1465,1.0408,1.2113,2.1947,6.9491,9.4424,6.4102,0.8282,0.9817,1.5439
1992,1.8123,1,0.9264,1,1.2378,2.5777,9.6526,9.1032,6.7181,2.8591,1,0
1993,1.2345,0,1,1,1.4738,2.657,7.3543,9.9646,9.8709,1.7569,0.0572,0
1994,2.9985,1.4715,1.3914,1.0567,1.0113,3.168,10.9625,11.6225,5.6099,1.5986,0.9878,0
1995,2.1116,1.5663,1.3588,1,1.0395,2.0878,9.5399,12.6348,8.1544,1,1,1.2118
1996,2.1511,1.2862,1,1,1.0183,4.1049,9.4928,12.596,6.6511,3.6703,0,0
1997,1.559,1,1,1.1355,1.8481,4.4754,7.9671,11.5582,6.3066,1.952,1,1.3206
1998,0.6001,1.0531,1.239,1.0212,1.8374,2.1724,10.6837,12.9981,6.9513,1.6274,1,0
1999,2.3011,1.0405,0.5747,0,1.3874,3.4977,10.7162,10.6277,7.8413,2.0571,0.3465,0.9317
2000,1.0099,1.4418,1,1,1.0183,3.5699,9.8536,10.1516,8.2574,0.4141,0,0.2607
2001,1.0099,1,1.4072,1.0367,1.2756,3.9479,10.2471,11.56,4.0572,2.3384,0,0.6832
2002,1.8214,1.4307,1,1,1.0042,2.4689,8.0555,11.2971,8.4259,3.0332,1,0.3321
