Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1951,1.0266,1.0981,1.6349,1.0721,1,4.4159,8.9714,10.8703,6.9943,1.0912,1,0
1952,1,1.6934,1.778,1.0043,1.111,4.59,8.9183,13.7266,3.3,0.3317,1,1.4842
1953,1.5826,1.0956,0.4624,1.0043,0.8581,4.0775,12.4118,9.7212,4.6991,0.4497,0,1
1954,1.1461,2.1087,1.0024,0.0804,0.3662,2.6523,10.8577,10.1184,6.4641,2.2042,0,0.3914
1955,1.633,1.0126,1,1.0043,1,5.6473,12.5721,10.9377,5.9226,3.4473,0,0.7354
1956,1.0782,1.2282,1.2147,0.2018,1.2271,4.7208,11.5972,9.5846,5.9586,3.6696,1,1.4525
1957,1.1525,0.4704,2.059,1.2971,1.0313,3.5203,11.7541,9.455,6.3758,1.211,1,1.1665
1958,1.0417,1,1.2644,1.0447,0.5759,2.6144,11.3715,11.653,6.9191,2.8785,0.9267,1.0029
1959,1.3759,1,0.9894,0.9913,2.3739,2.5467,9.983,10.2258,4.6194,2.5668,1,0
1960,1,0,1.8312,1.0043,1.056,3.0328,11.7519,12.6915,5.035,2.7676,0,0.9789
1961,1.4662,1.8399,0,1.0043,1,4.0002,9.8344,13.0828,5.5862,2.7761,0.9539,1.0029
1962,1.3121,1.0031,1.0877,1.0554,1,2.3662,10.5896,10.6471,8.0022,0.705,1,1.0117
1963,1.0666,1,1.3887,1.3232,1.6861,4.0518,10.7738,11.0906,9.2011,1.1439,1,1.0089
1964,1,1,1,1.0043,1.9415,2.2153,13.1496,8.9123,7.7842,1,0,1.001
1965,1,1.0326,1.0036,1.3158,1,1.8293,10.1406,7.875,4.5614,2.1313,0.2752,1
1966,1,1.3609,0.4624,0.0487,1.7132,5.7338,8.9495,11.0349,3.531,1.0269,1,1
1967,0.9244,0.8431,1.8481,1.0043,0.8322,3.0875,10.4438,14.5704,6.2359,1,0.9267,2.4497
1968,1.5147,1.1842,1,0.9878,0.4764,3.2632,10.2053,7.903,3.9788,2.0828,0,1
1969,1,1.1696,0.9894,1.136,2.0182,1.9844,12.7774,10.1516,7.8183,0.9744,1,0
1970,1.3136,2.1671,0.9999,0.0698,2.226,4.6718,9.1129,11.3793,6.5317,1.7797,0,0
1971,1.0532,1.2941,1,1.2492,2.5392,5.9163,10.3752,11.8937,6.4827,2.9538,1,0
1972,1.0149,1.8895,0.8617,1.1899,0.4585,2.2129,6.9247,10.3929,6.4603,2.2831,1,0.9472
1973,1.0733,1.3159,1,0,1,3.1789,10.3558,12.2179,6.3808,2.8907,0,0
1974,1,0.9929,0.7245,0.4125,1.0108,2.7177,10.0417,8.261,2.78,2.1467,0.1142,1
1975,1.1137,1.0597,1.0166,1.0043,0.9231,5.219,11.1171,9.1138,6.7823,1.7241,0,0
1976,1.0287,1.0342,0.9929,1.3432,1.1388,3.2938,8.8519,11.2699,5.8669,1,0.9472,0.1808
1977,1.1363,1.0148,0.2053,1.4817,1.4201,3.5985,12.7108,8.4278,6.4607,2.2466,0.1248,1.0106
1978,1.0329,2.1055,1.9457,1.0547,0.7536,5.419,8.1781,9.964,6.9841,1.1275,0.9929,1.1518
1979,1.04,1.8169,1,1.0043,1.756,3.3306,9.1714,7.1664,2.4496,0.4469,1,1
1980,0.9559,1.0208,1.5104,0.9022,0.9999,5.2591,12.2172,13.1352,6.7189,1.3457,0.8906,1.9871
1981,1.0196,1,1.5211,0.3307,1.5602,5.6228,12.7406,8.9949,5.0643,0.3106,1,1
1982,1.4623,1.1548,1.8936,1.4117,2.1045,2.8905,8.6432,12.7629,5.2544,1.0225,1,1.4268
1983,1.1067,1,0.9965,2.2165,2.5017,4.4187,8.0651,10.4593,7.1547,2.0492,0,1
1984,1.1117,1.6541,0.7245,1.6427,0.9644,4.7086,8.2807,9.7669,4.4701,1.0057,0,0.9709
1985,1.0115,0.2587,0.8578,1.2785,1.0014,3.5019,11.7787,10.6567,6.7002,3.3047,0,1.5915
1986,1.001,1.8681,1,1.1061,2.6351,4.0018,9.9338,8.606,5.5152,1.4865,1,2.2232
1987,1.0616,1.3369,1,0.8616,2.4135,1.4238,6.4303,8.4795,3.1676,1.6982,0,1.1188
1988,1,1.0131,1.4735,1.0966,1.2024,4.6788,10.8513,11.0329,4.2961,1,0.2752,1.5027
