Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1951,1.5391,1.5099,2.0302,1.0335,0.998,5.211,10.949,13.0057,8.9264,2.1902,1.0071,0
1952,0.8454,1.7967,2.056,0.7612,1,6.2277,10.4871,12.19,8.0747,1.0506,0.2663,0.0571
1953,2.7038,1.3952,0.2527,1.0042,0.786,4.7226,14.3689,13.9894,8.5488,1,0,1.0756
1954,1.7221,1.7896,1.0061,0.5393,1,4.351,12.6706,12.7301,9.3348,1.9142,0,0.01
1955,2.5607,1.7686,1.0061,0.9696,1,4.6025,16.1579,11.5357,8.1561,3.6481,0.0191,1.0619
1956,2.3178,1.3372,1.0253,0.9696,1.0229,6.3847,11.6483,13.1113,10.8685,3.6564,1.1029,1.4285
1957,1.6055,1.0165,1.9129,0.9497,0.9052,4.69,13.5041,12.8868,6.8905,0.3197,0.1646,1.0744
1958,2.1522,1.0258,2.0197,1.0037,0.2697,4.4706,12.1817,13.1109,7.5923,2.8932,0.0592,1.0756
1959,3.38,1.0165,0.0048,0.0036,1.4206,2.9679,11.2256,13.9908,7.4409,4.2232,0.3342,0
1960,1.6112,0.0097,1.4474,1.0036,0.7311,3.7265,13.7511,15.6714,7.2185,2.5266,0,0
1961,1.9891,1.8562,0,0.0036,1,4.742,12.4292,14.9075,9.9494,2.9534,1.0089,1.2803
1962,2.0461,1.3954,1.019,1.0445,1,3.7974,12.2254,13.1689,11.1754,0.8438,0.1985,1.4178
1963,1.6432,1.2575,1.7961,1.0273,1.2731,5.1223,14.4105,14.4514,8.841,1.981,1.0089,1.0756
1964,0.2411,1.2124,1.0061,1.0108,1.0056,3.6634,14.0131,14.0921,8.5898,1.8085,0.577,0.0604
1965,1.0244,0.7816,1.5797,1.0653,1,2.4141,11.5164,9.5769,6.577,1.9892,0.9877,1.0756
1966,1.9199,1.1577,0,0,0.0361,6.5817,8.4501,10.0025,4.5824,1,1.0806,1.7699
1967,1.0243,0.0303,2.0911,1.0036,1,3.7821,12.5985,17.2476,8.8862,1,0.1985,2.4765
1968,2.4267,1.1029,1.0061,0.5417,0.8101,4.2888,11.9187,10.8725,5.9006,1.9149,0.0194,1.0756
1969,1.261,1.0165,0.6334,1.0036,1.5007,3.3798,15.6452,12.0207,8.3619,0.8627,1.0332,0
1970,2.1541,2.6543,1.0079,0.2239,1.5413,5.6079,12.6311,12.2308,12.7664,1.9851,0.0375,0
1971,1.6605,1.3598,1.0061,1.0604,1.6951,7.3184,11.4396,15.9765,8.1212,3.8262,0.0373,0
1972,2.0163,2.6137,0.9887,1.0177,0.9651,2.4006,9.4512,13.3776,7.2781,3.766,1.0589,0.0243
1973,1.681,1.0198,0.9838,0.2935,0.9884,3.6252,11.8959,15.4665,8.4863,3.6412,1.0071,0
1974,1.1008,0.6862,0.473,0.4238,1.0112,3.4694,14.8524,11.0088,5.6095,1.7534,0.9737,0.9034
