Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1951,1.0033,1.0003,1.9289,1.1831,1.0001,4.6044,8.4361,10.4242,6.7221,1.0022,1.0001,0
1952,0.7239,1.3639,1.8518,1.1152,1.0001,4.5333,8.8465,13.4563,2.4849,0.2894,0.7332,2.1078
1953,1.4474,1.0001,0.1257,0.9801,0.2724,3.7434,11.7438,9.3195,4.3813,0.3263,0,1.0042
1954,1.0399,1.785,1.1242,0,0.0834,2.2477,10.1281,9.528,6.334,2.2173,0,0.084
1955,1.3837,1.0001,1.0086,0.5923,0.994,5.876,11.925,10.9235,6.1378,3.4077,0,0.4734
1956,1.0001,1.0005,1.648,0,0.9344,5.1546,11.8921,9.3287,5.5216,3.5315,1.0001,1.6519
1957,1.0606,0.2088,2.2389,1.4468,1.0524,3.3936,11.9051,8.8024,6.1707,1.1862,1.0001,1.0681
1958,1.0001,1.0001,1.3484,0.6745,0.1257,2.3264,11.5555,10.8976,6.946,2.6541,0.3254,1.0042
1959,1.193,1.0001,0.5443,0.4901,2.1727,2.7092,9.761,9.7182,4.1842,2.3721,1.0001,0
1960,1.0001,0,2.0465,0.7709,1.0685,2.9707,11.2797,12.6157,4.3901,2.802,0,1.0237
1961,1.3734,1.4073,0,1.1152,1.0001,4.1426,9.3223,13.2396,5.0615,2.6673,1.0001,1.0042
1962,1.1473,1.0001,1.2378,1.1319,0.988,2.1827,10.3405,10.1966,7.4658,0.331,0.6187,1.0042
1963,1.0126,1.0001,1.4206,1.5177,1.2984,3.9323,9.9206,10.481,8.8817,0.9515,1.0001,1.1081
1964,0.5453,1.0001,1.0261,1.0898,1.7227,2.1472,12.9454,9.3584,7.7329,1.0019,0,1.0042
1965,0.9894,1.0001,1.0468,1.4156,1.0001,1.7295,10.3209,7.0709,4.8437,2.1385,0.0834,1.0042
1966,0.6567,1.0007,0.1257,0,1.4891,5.5906,8.1897,10.3346,2.631,0.9637,1.0001,1.0042
1967,0.5987,0.231,2.0499,1.097,0.8565,3.1259,10.2483,14.0408,6.0219,0.7087,0.3254,2.6033
1968,1.3451,1.0001,1.0354,0.4656,0.1251,3.1146,10.1195,7.6499,3.604,2.071,0,1.0042
1969,1.0001,1.013,0.5443,0.6634,1.699,1.6312,12.6139,9.5156,6.9968,0.5624,1.0001,0
1970,1.2546,1.8454,1.034,0,1.9122,4.725,8.3919,11.2354,6.4935,1.5528,0,0
1971,1.0225,1.0386,0.9964,1.3468,1.7091,6.272,10.099,10.7166,5.9474,2.7693,1.0001,0
1972,1.0001,1.5093,0.2727,0.7653,0.1016,2.2944,6.4257,10.118,5.8267,2.0627,1.0001,1.0042
1973,1.0151,1.0088,0.5667,0,0.6596,2.4691,10.2597,11.9427,6.2718,2.8397,0,0.0606
1974,0.5667,0.4514,0.189,0.0834,1.0223,2.1155,8.8021,7.7035,2.2204,2.5121,0.0831,0.6919
1975,1.0001,1.0001,1.0511,1.1152,0.3144,5.3718,11.2166,8.6091,6.23,1.8176,0,0
1976,1.0001,1.0001,0.9108,1.5084,1.1043,3.8953,8.7239,10.3949,5.5884,0.6262,1.0001,0
1977,1.0629,1.0001,0.0121,1.5973,1.2339,3.824,12.7483,8.2381,6.329,2.3299,0.1437,1.0042
1978,1.0001,1.6523,2.3202,1.1623,0.2307,5.9473,8.4066,9.2821,6.6676,1.0149,0.5553,1.4096
1979,1.0001,1.8216,1.0207,1.1031,1.5228,3.3874,8.7446,6.1235,2.0299,0.6744,1.0001,1.0042
1980,0.368,1.0001,1.6063,0.5824,1.0001,5.162,11.382,11.6939,5.057,1.3626,0.9997,2.2478
1981,1.0001,0.6506,1.8952,0.0834,1.4976,6.4839,12.2242,8.2911,4.4965,0.2894,1.0001,0.9828
1982,1.2938,1.0005,2.0014,1.6806,1.7126,3.1791,8.2308,12.3979,4.8358,0.994,1.0001,1.447
1983,1.0108,1.0001,0.5556,2.3183,2.1473,4.5634,7.2561,10.9466,6.5026,2.0198,0,1.0042
1984,1.0001,1.1263,0.189,1.858,1.0001,4.8164,7.961,9.6476,3.9107,1.0019,0,0.4201
1985,1.0001,0,1.0261,1.4896,0.8763,3.4074,12.143,10.2535,6.0638,3.4304,0,1.5432
1986,1.0033,1.539,1.0818,0.6614,2.2111,4.3452,9.1808,7.9677,4.6528,1.7503,0.6812,2.2184
1987,1.0228,1.0216,1.0261,0.2727,2.1966,1.5871,6.3121,7.9314,2.8912,1.5675,0,1.2663
1988,1.0001,1.0001,1.6227,1.1153,1.0423,4.9447,10.3065,10.211,3.8106,1.0019,0.0834,1.3064
1989,1.0151,0.4514,1.6181,0.5883,0.5774,3.36,9.695,8.6376,5.1109,1.0145,1.0001,1.4506
1990,0.0006,1.5985,0.9964,1.1152,1.7609,5.4028,11.4474,10.484,7.7609,0.9819,0.7332,1.4006
1991,1.0001,1.2444,1.0609,1.3001,1.798,2.5381,3.3409,8.9929,4.7539,0.2894,1.0001,2.2874
1992,1.0841,1.001,1.0457,1.1152,1.55,2.094,5.7916,8.377,5.4725,2.1894,1.0001,0
1993,1.0001,0.1662,1.4143,1.1152,1.4484,4.6662,9.8305,7.2677,7.1072,1.2106,0,0
1994,1.0181,1.1973,1.7596,1.257,1.109,4.873,12.9098,10.0597,3.973,1.0019,0,0
1995,1.3349,1.0637,1.2463,1.2893,0.4616,3.0093,8.458,10.5953,6.3584,0.3318,1.0001,1.3615
1996,1.0186,1.0001,0.8005,0.8393,1.4566,5.7201,8.8594,10.2209,6.9858,2.4541,0,0
1997,1.0001,0.231,1.0261,1.3798,1.6781,5.5521,5.2616,8.4705,6.6267,2.0098,1.0001,1.9569
1998,0.4628,1.0001,1.8256,1.4294,1.6675,3.9263,8.9577,10.1342,4.2646,1.973,0.6162,0.2162
1999,1.0278,1.1281,0,0,1.1431,5.799,10.2204,9.5704,7.0944,2.3397,0,1.0042
2000,1.0001,1.0001,1.0261,1.1152,1.2438,2.6639,9.9139,7.8836,4.9395,0.2894,0,0
2001,1.0001,1.0001,1.0428,1.5535,1.8735,4.9556,8.316,8.675,3.7225,1.7024,1.0001,0.1474
2002,1.0136,1.2868,0.8642,0.5726,1.0226,3.1467,4.8406,8.5822,6.326,1.7592,1.0001,1.0074
