Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1951,1.1304,1.303,2.1777,1.4056,0.9972,4.2557,9.9509,11.2108,7.0576,1.1583,1.5771,0
1952,0.6975,1.7265,2.2597,1.203,1,4.5713,9.892,13.5889,3.1667,0.3,0.3251,1.4771
1953,1.786,1.0828,0.0482,1.1782,0.0723,3.685,12.7848,10.0349,5.2,0.6783,0,1.0131
1954,1.2685,1.9703,1.1736,0,0,2.3061,10.7918,10.3805,7.0936,2.2392,0,0.0482
1955,1.9187,1.0668,1.0654,0.2974,1,4.731,13.5435,11.2691,6.4907,3.5874,0,0.8896
1956,1.2523,1.1501,1.521,0,0.3671,5.0107,12.8015,10.6613,6.7832,3.6114,2.3608,1.3404
1957,1.2337,0.379,2.4626,1.7113,1,3.231,12.3947,10.1633,6.4226,1.2459,1.3256,1.0131
1958,1.0558,1.0002,1.6003,0.576,0.0482,2.3382,12.2909,11.7909,6.8525,2.5533,0.1353,1.0131
1959,1.7404,1.0002,0.2024,0.3376,2.1716,2.41,10.5989,11.213,4.6783,2.9227,1.3256,0
1960,1.0631,0,1.7541,0.9177,1.0289,2.7201,12.5703,14.309,4.6959,2.9638,0,1.0201
1961,1.7572,1.4401,0.0113,1.0957,1,3.7733,10.6627,13.806,6.7654,2.7462,1.326,1.0131
1962,1.2593,1.1256,1.296,1.314,1,2.1828,11.6102,11.5574,8.4346,0.3,0.3033,1.0247
1963,1.3527,1.0002,1.5759,1.7143,1.311,3.5916,11.9199,11.6972,9.5887,0.7477,1.3256,1.0759
1964,0.4077,1.0002,1.078,1.203,1.6459,2.2666,13.5397,10.3248,7.7051,1.0768,0,1.0131
1965,1,1.0002,1.2452,1.6662,1,1.6061,11.2145,7.9629,5.4649,2.1797,0,1.0131
1966,0.7543,1.172,0.0482,0,1.0819,5.2685,8.8697,9.9398,2.5701,0.9933,3.0436,1.0158
1967,0.9543,0.1023,2.2654,1.203,0.4473,2.7313,11.2863,15.1348,6.811,0.6331,0.1353,2.6861
1968,1.7258,1.0002,1.0682,0.1535,0,2.9151,10.9773,8.5286,3.9111,2.2442,0,1.0131
1969,1,1.1978,0.2069,0.3143,1.7467,1.6932,14.0784,10.1147,6.4113,0.4264,1.8107,0
1970,1.6681,2.5187,1.1188,0,1.9576,4.1288,9.6878,12.1167,8.5468,1.6855,0,0
1971,1.3183,1.2599,1.0662,1.624,1.8035,5.9703,10.9017,11.8299,6.4368,3.2355,1.2493,0
1972,1.1604,1.8137,0.1023,0.6229,0.0168,1.7936,6.6264,11.0657,6.4563,2.8182,2.0783,1.0131
1973,1.0951,1.1434,0.2806,0,0.3184,1.7998,12.3453,12.9982,6.6401,3.0569,0,0.3273
1974,0.4166,0.2092,0.0782,0.009,1,2.4019,10.9676,9.0021,2.6649,2.123,0.3387,0.3142
1975,1,1.1022,1.264,1.203,0.1023,4.7894,11.7934,9.9084,6.5289,2.0531,0,0
1976,1.255,0.9932,0.621,1.6396,1,2.769,9.7176,10.1126,6.9758,0.4835,1.3279,0
1977,1.4024,1.0612,0.018,1.7256,1.0498,4.2915,13.795,9.2839,6.3303,2.6398,0.6903,1.0193
1978,1.229,2.3745,2.3455,1.3703,0.0723,5.4126,9.0772,9.783,7.6215,1.2594,0.2428,1.4819
1979,1.3714,2.4008,0.8227,1.203,1.33,3.49,10.0429,6.4056,2.6288,0.5113,2.3541,1.0131
1980,0.3317,1.0002,1.5931,0.3493,0.8542,5.1771,13.3368,13.1334,5.6096,1.3531,1.2222,2.4982
1981,1.0012,0.5673,1.7319,0,1.1675,5.3162,13.4046,10.1782,5.2359,0.3,2.1021,1.0131
1982,2.1343,1.1616,2.1189,1.5885,1.7061,2.7161,9.2276,13.9221,6.4559,1.0188,2.3861,1.4109
1983,1.1163,1.0002,0.2535,2.4474,1.8526,3.9351,8.2268,11.0891,6.7065,2.3959,0,1.0131
1984,1.3114,1.573,0.0782,1.9666,0.9911,4.4284,8.5588,10.4508,4.6505,1.1108,0,0.1865
1985,1.1135,0,1.0623,1.6164,0.6719,3.1041,12.9603,11.077,6.9726,3.6821,0,1.2803
1986,1.1494,2.0232,1.0775,0.3052,2.1442,3.9704,10.06,9.5066,5.2796,1.6795,0.3142,2.2287
1987,1.3466,1.2485,1.094,0.1023,1.7472,1.4167,7.3748,8.6646,3.2943,1.9507,0,1.1828
1988,1.0027,1.0002,1.751,1.2184,1.0482,4.6519,10.8135,10.6525,4.2568,1.0209,0,1.3889
1989,1.0735,0.2047,1.7042,0.6414,0.2776,3.489,10.8788,8.9397,5.4702,1.1757,1.3256,1.5971
1990,0.1782,1.9467,1.0643,1.2113,1.6931,4.8426,12.6517,11.2411,8.689,0.8247,0.3251,1.2236
1991,1,1.4281,1.1499,1.4174,1.4483,2.2916,3.8639,9.1639,5.2305,0.3,1.558,2.3014
1992,1.4673,1.123,1.0662,1.2016,1.2788,1.8758,6.1848,8.8829,6.2065,2.7014,1.7918,0
1993,1.002,0.6036,1.5068,1.2016,1.4795,3.6189,10.0477,7.8374,7.5807,1.4756,0,0
1994,1.6724,1.7975,1.9936,1.3965,1,4.7732,13.8452,10.8935,4.9034,1.0188,0,0
1995,1.6605,1.4614,1.4031,1.3898,0.3816,2.475,9.5794,10.9808,6.6423,0.3834,2.1218,1.7669
1996,1.5459,1.0851,0.5763,1.123,1.1193,5.116,9.7814,10.9386,6.736,2.8229,0,0
1997,1.0004,0.1023,1.0662,1.38,1.4698,4.964,5.9579,9.3351,6.1139,2.033,2.6337,2.09
1998,0.3859,1.0004,1.9812,1.4063,1.7464,3.7149,10.155,12.0492,5.3353,1.3554,0.7671,0.1414
1999,1.3753,1.5721,0,0,1.1188,5.3314,11.2971,10.53,7.732,2.3961,0,1.0131
2000,1,1.0028,0.9277,1.0776,1.152,2.7591,11.2034,8.1379,6.0033,0.3,0,0
2001,1,1.0002,1.2147,1.5937,1.6176,4.5351,9.3336,8.8267,4.2189,2.0312,1.3256,0.0782
2002,1.4094,1.5657,0.6671,0.3957,1,2.8862,5.1612,9.6564,6.8279,2.2477,1.45,1.0131
