Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1951,1.0195,0.9999,1.7555,1.1351,1.1961,4.0922,12.3747,11.6789,8.0571,2.6061,0.9999,0
1952,1.0067,1.2692,1.6427,0.9999,1.3775,6.9094,9.7563,11.3076,7.713,1.6245,0.9999,0
1953,2.4995,0.9999,0.9999,0.9999,1.005,5.108,13.0864,12.735,7.286,1.0968,0,0.8746
1954,1.3679,1.2873,0.9999,0.9999,1.1124,4.1633,11.8811,11.9692,8.0797,1.8391,0.0022,0.0679
1955,1.3774,1.196,0.9999,0.9999,1.0008,4.9393,15.3379,10.604,6.6034,3.279,0,1.0113
1956,1.611,0.9999,0.9999,1.0202,1.4823,5.9733,8.796,11.6722,9.5266,3.7361,0.9999,1.1629
1957,1.699,0.9999,1.6869,0.9999,0.9999,4.5021,11.6818,11.2794,5.2486,0.634,0.8863,1.1553
1958,1.8299,0.9999,1.73,0.9999,0.9999,5.193,9.654,11.9202,6.567,2.3356,0.6454,1.0132
1959,3.0972,0.9999,0.1571,0.2929,2.753,3.8731,9.5113,13.1371,8.1036,4.3114,0.9999,0
1960,1.0067,0,1.1879,0.9999,0.9999,3.6169,10.8848,13.9488,6.8572,2.1664,0,0.1916
1961,1.3418,1.5457,0,0.2929,1.0127,4.7023,10.5836,12.8506,8.3101,2.9701,0.9999,1.0264
1962,1.7087,1.1455,0.9999,1.3628,1.0009,3.883,10.271,12.8294,9.9482,0.6898,0.9999,1.0966
1963,1.0067,0.9999,1.9938,0.9999,2.3283,4.6142,12.8685,12.3411,7.3412,2.5904,0.9999,0.9439
1964,0.8525,0.9966,0.9999,0.9999,1.0972,3.5307,13.116,13.2942,7.2344,1.2457,0,0.9101
1965,1.0067,0.9999,1.291,1.6193,1.0001,2.5973,11.043,9.0738,5.0183,1.9595,0.9999,0.5887
1966,1.3884,1.4196,0.0379,0.0401,0.579,4.4162,7.9452,9.3139,4.2163,0.9999,0.9999,1.0624
1967,0.7693,0.359,1.5626,0.9999,1.1388,2.8766,10.9451,14.9701,7.0863,0.9999,0.9999,1.1913
1968,1.8814,0.9999,0.9999,0.9999,1.0024,4.7588,10.801,11.238,5.1418,3.0218,0.2401,1.0113
1969,1.1441,0.9999,0.9999,1.041,2.4535,3.842,13.2748,11.3793,7.2246,0.9999,0.9999,0
1970,1.462,1.9448,0.9999,0.9999,2.0531,5.5276,12.1124,11.3155,9.4454,2.102,0.4064,0
1971,1.0143,1.0687,0.9999,1.3943,2.9005,6.5205,10.1467,13.6303,6.4126,3.7657,0.378,0
1972,1.4336,1.8701,0.9999,1.0952,1.1666,2.1991,8.4476,12.3135,7.4978,4.2283,0.9999,0
1973,1.7764,1.016,0.9999,0.9999,1.365,4.2709,11.3849,13.8205,7.9873,3.8704,0.9999,0
1974,1.2193,0.9999,0.9999,0.9999,1.3925,4.1695,13.3468,9.9628,6.3776,1.7953,0.6716,1.0113
1975,2.2126,1.1345,1.202,0.9999,1.3015,5.0501,11.9892,10.322,8.6278,2.1256,0,0
1976,1.7516,1.0245,0.9999,1.2564,1.478,4.4915,8.9595,10.0108,9.792,0.9999,0.5641,0
1977,1.0583,0.9999,0.9999,1.4307,2.9177,4.4034,11.7316,9.4762,6.1465,2.7287,0.9999,1.1629
1978,1.4798,2.0403,1.5452,1.3524,1.0048,4.8998,9.1342,11.4645,8.463,2.8191,0.92,1.0416
1979,1.5308,1.2497,0.9999,1.0239,1.0082,4.02,12.7158,10.7539,4.7343,1.1152,0.9999,1.0833
1980,0.8886,0.9999,1.0197,0.9999,1.4204,6.3146,13.5954,14.3331,7.2848,1.0132,0.1076,1.0113
1981,1.7308,0.9999,1.1356,0.9999,1.8172,4.0791,12.926,12.5413,8.1968,0.9999,0.9999,1.0113
1982,2.3979,1.1603,2.0217,0.9999,2.5435,4.134,9.0704,12.9781,9.9498,1.4372,0.9999,1.0113
1983,1.5597,0.9999,0.9999,1.406,2.8169,4.6329,11.9584,10.2796,7.1616,3.1485,0,1.0113
1984,1.8992,1.681,0.9999,1.061,1.0599,4.4036,10.1502,11.1602,8.6799,1.9208,0.2538,1.0113
1985,1.5453,0.9999,0.7939,1.0092,1.431,3.9352,11.1021,10.5824,8.8062,3.768,0.3401,1.0719
1986,1.0067,1.2773,0.9999,0.9999,2.7026,4.1007,11.9161,11.9439,8.945,1.2703,0.4791,1.2804
1987,1.066,1.2008,0.9999,0.9999,2.142,4.1137,10.1682,12.4533,7.149,3.6735,0,1.0302
1988,1.0945,1.1009,1.4161,0.9999,1.8376,5.0909,10.915,11.6345,5.9675,1.5539,0.9999,1.2614
1989,1.2386,1.2483,0.9999,0.9999,2.5947,4.8298,10.8288,10.2808,7.1283,1.8662,0.9999,0.9977
1990,0.1526,1.3638,0.9999,0.9999,2.2704,3.1684,11.4723,9.9797,8.1114,1.8104,0.0379,1.0321
1991,1.5362,0.9999,1.1739,1.0092,1.7819,2.605,6.4494,10.3589,6.1664,0.981,0.9999,1.178
1992,1.6146,0.9999,0.9999,0.9999,1.8267,2.76,9.4096,8.9007,6.2171,2.7368,0.9999,0
1993,1.229,0.268,1.0175,0.9999,2.1381,3.0117,6.7217,10.0093,9.1587,1.5031,0,0
1994,2.9577,1.4533,1.2433,1.0616,1.2692,2.9094,10.0238,11.4749,5.052,1.5811,0.9999,0
1995,2.0855,1.4354,1.2377,0.9999,1.4956,2.4989,8.8494,12.7861,7.7355,0.9999,0.9999,1.0473
1996,1.9506,1.1568,0.9999,0.9999,1.3153,3.694,8.7622,12.407,6.3842,3.5985,0,0
1997,1.5275,0.9999,0.9999,1.1587,2.8928,4.8357,8.6393,11.6999,6.1124,1.9828,0.9999,1.089
1998,0.588,1.0138,1.1962,1.0198,2.7566,2.2284,10.1596,12.7382,6.6161,1.7593,0.9999,0
1999,2.1062,0.9999,0.9537,0.0401,2.0348,4.0879,10.0274,10.6737,7.2755,1.9879,0.6087,1.0113
2000,1.0067,1.3344,0.9999,0.9999,1.3101,4.044,9.6853,10.8071,7.8651,0.5549,0,0.634
2001,1.0067,0.9999,1.3825,1.0237,1.9579,4.2757,9.9366,11.4967,3.8104,2.3217,0,0.8977
2002,1.6781,1.3804,0.9999,0.9999,1.1947,2.6475,8.2106,11.213,8.174,2.975,0.9999,0.7366
