Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1951,1.0721,1.0542,1.6812,1.0915,1.3216,5.3518,12.0771,12.3406,8.1428,2.5783,1,0
1952,1,1.3321,1.6496,1,1.5354,8.762,9.9971,12.004,7.5389,1.5333,1,0
1953,2.4174,1,1,1,1.0047,6.3392,13.6589,13.2436,7.0916,1.183,0,0.8763
1954,1.4495,1.3776,1,1,1.1299,5.2689,12.2332,12.693,8.1347,2.0482,0,0.2663
1955,1.4031,1.3077,1,1,1,6.2359,16.026,11.4661,6.637,3.5475,0,1.046
1956,1.7145,1,1,1,1.3548,7.5624,8.9067,12.2687,9.406,4.0543,1,1.738
1957,1.6559,1,1.6299,1,1,5.603,11.799,12.3773,5.6896,0.9703,0.9941,1.6706
1958,1.7465,1,1.5957,1,1,6.1365,9.8673,13.027,6.8126,2.8447,0.8355,1.084
1959,3.1302,1,0.8146,0.9314,2.9875,5.2321,10.1567,13.5743,7.8656,4.5898,1,0
1960,1,0,1.1133,1,1,4.6038,11.4464,14.5545,7.0522,2.6282,0,0.4664
1961,1.506,1.5718,0,0.9261,1.0236,5.5779,11.0841,13.5702,8.2229,3.3567,1,1.1415
1962,1.7194,1.1802,1,1.4645,1,4.7931,10.7441,13.6233,10.0909,0.5417,1,1.4479
1963,1.0267,1,1.9568,1,2.3796,5.8326,13.7516,13.0959,7.733,2.4811,1,1.046
1964,0.9941,1,1,1,1.2062,4.4156,13.4304,13.3027,7.4549,1.1997,0,1.046
1965,1,1,1.2091,1.5155,1,3.2952,11.0903,9.7858,4.9048,2.172,1,0.4931
1966,1.3335,1.495,0.2192,0.0943,0.9763,6.1367,8.5458,10.0272,4.347,1,1,1.3033
1967,0.9881,0.6132,1.5394,1,1.1179,3.8388,11.0911,15.9963,7.0817,1,1,1.9965
1968,1.9103,1,1,1,1,5.9808,10.7677,11.2791,5.2221,3.1268,0.2997,1.046
1969,1.3387,1,1,1.0827,2.6005,4.7455,14.0697,12.2521,7.4443,1,1,0
1970,1.5892,2.1215,1,1,2.224,6.9985,12.326,12.061,9.1253,2.2413,0.4578,0
1971,1.0523,1.0756,1,1.2925,3.0429,8.2427,10.5258,13.9902,6.8643,4.0764,0.7853,0
1972,1.5352,1.8494,1,1.0816,1.1801,2.7466,8.9604,12.9257,7.9601,4.3848,1,0
1973,1.5708,1.0373,1,1,1.3646,5.3912,12.1484,14.9562,7.901,4.0454,1,0
1974,1.234,1,1,1,1.4383,5.2183,13.2951,10.3643,6.1882,1.6164,0.7163,1.046
1975,2.0138,1.1916,1.2252,1,1.3197,6.6369,12.2755,11.7158,8.883,2.187,0,0
1976,1.8447,1.0697,1,1.1644,1.5287,5.6969,9.261,10.858,9.6388,1,0.5273,0
1977,1.185,1,1,1.4023,2.465,5.7839,12.2998,9.9236,6.1165,2.9096,1,1.7437
1978,1.3836,2.0929,1.581,1.2104,1.0047,6.2964,9.2111,12.2093,8.6863,2.8411,0.9472,1.1778
1979,1.5234,1.2801,1,1.0018,1.0309,5.1012,12.7615,11.11,4.5913,1.0502,1,1.3717
1980,0.9198,1,1.0047,1,1.3972,8.2553,14.7322,15.1233,7.7738,1.2581,0.1776,1.0596
1981,1.815,1,1.0998,1,1.8987,5.273,13.5387,14.0212,8.3252,1,1,1.046
1982,2.4877,1.1656,1.9674,1,2.7443,5.331,9.3988,13.9749,9.4491,1.4099,1,1.046
1983,1.5981,1,1,1.4807,2.9423,6.0559,12.0058,10.9388,7.6545,3.2604,0,1.046
1984,1.8918,1.7762,1,1.0491,1.0283,5.5246,10.0893,11.8033,8.4934,2.0067,0.1639,1.046
1985,1.5775,1,0.9663,1.0075,1.6094,5.0898,11.2505,11.4956,9.0377,4.0399,0.3995,1.3364
1986,1,1.4311,1,1,3.0441,5.0021,12.2575,12.5042,9.0947,1.4553,0.802,2.3635
1987,1.1457,1.2519,1.0016,1,2.2962,4.4582,9.8871,12.9359,6.5018,3.8793,0,1.0931
1988,1.0825,1.0944,1.4023,1,1.962,6.7295,11.4369,12.5911,6.016,1.5494,1,2.2593
1989,1.3758,1.2373,1,1,2.6543,6.1506,11.4973,10.7756,7.1925,1.8073,1,1.0898
1990,0.2472,1.3139,1,1,2.4027,4.1703,11.8438,10.7535,8.2612,1.8002,0.3858,1.188
1991,1.4265,1.0042,1.039,1.0168,1.9649,3.268,6.1148,9.7762,6.074,0.8121,1,1.8931
1992,1.6489,1,1,1,1.9601,3.8441,9.7633,9.6576,6.2789,2.7931,1,0
1993,1.2697,0.8878,1.0125,1,2.2525,4.0347,7.2565,10.3822,9.3331,1.4165,0,0
1994,2.9405,1.5062,1.2795,1.0345,1.3789,4.4413,10.5354,12.0403,5.5696,1.3328,1,0
1995,2.1268,1.5052,1.2679,1,1.5606,3.3237,9.2488,13.65,8.0048,1,1,1.3123
