Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1951,1.2807,1.119,1.8965,1.2169,1,4.1826,12.1036,12.1222,9.0622,2.5354,1,0
1952,0.7033,1.5481,1.7874,1,1,5.9397,10.3201,11.533,8.7442,1.374,0.5474,0.1554
1953,2.8048,1.0467,0.5903,1,1,4.6055,14.2079,13.7596,8.7953,1,0,1.0204
1954,1.5454,1.5447,1,0.9291,1,4.0029,12.4059,12.3096,9.4392,1.7879,0,0
1955,2.0121,1.5028,1,1,1,4.5187,16.2092,10.7652,7.8861,3.4131,0.0394,1.0204
1956,1.9344,1.0486,1,1,1.1073,5.7057,10.8617,12.6029,11.1211,3.6104,1,1.1509
1957,1.8363,1.0077,1.675,0.935,0.9744,4.3695,13.5359,11.8405,6.277,0.3999,0.3565,1.0384
1958,2.1204,1.0077,1.7377,1,0.5924,4.5988,11.9933,12.2295,7.4933,2.8507,0.2263,1.0007
1959,3.2815,1.0077,0,0,1.379,3.0822,10.6603,13.4496,7.7455,4.1868,0.5474,0
1960,1.1251,0.0394,1.3384,1,0.6302,3.4241,12.5017,14.9775,7.5516,2.2464,0,0
1961,1.6799,1.7938,0,0,1,4.7113,11.8917,13.8701,9.8275,2.8277,1,1.0818
1962,1.9484,1.253,1,1.239,1,3.6866,11.5801,12.6077,11.1642,1.0116,0.4452,1.0972
1963,1.2704,1.0281,1.8519,1.1181,1.342,4.5416,13.7811,13.2634,8.5588,2.3801,1,1.0007
1964,0.2414,1.0307,1,1.0246,1,3.4713,13.9981,14.3608,8.321,1.7478,0.4526,0.1302
1965,1.0322,0.754,1.3063,1.5966,1,2.3368,11.9778,9.1871,6.325,1.9069,1,1.0204
1966,1.8425,1.2054,0,0,0.0681,5.4727,8.0784,9.4468,4.6715,1,1,1.22
1967,0.9068,0.0808,1.7809,1,1,3.2462,12.4064,15.9334,8.5406,1,0.4793,1.3351
1968,2.2226,1.0077,1,0.9488,1,4.0518,12.1032,11.5228,5.8671,2.4698,0.0414,1.0204
1969,1.2009,1.0077,0.9744,1,1.4455,3.4643,15.0035,11.8484,8.3089,1,1,0
1970,1.7428,2.185,1,0.5983,1.2609,5.1413,12.5865,11.6638,11.6402,2.0047,0.1508,0
1971,1.3974,1.2885,1,1.4777,1.6948,6.6205,11.121,15.0427,7.2784,3.7343,0.1302,0
1972,1.6896,2.403,1,1.1287,1,2.1549,9.0141,12.9603,7.4579,4.031,1,0.0394
1973,2.0166,1.0102,1,0.649,1,3.7219,11.59,14.3638,8.8879,3.9141,1,0
1974,1.1955,1.0077,0.8367,0.8386,1,3.4478,15.0352,10.5056,6.5028,1.9514,0.8432,1.0204
1975,2.2314,1.2354,1.4601,1,1,4.6752,13.0403,10.0552,9.1387,2.2809,0.1496,0
1976,1.993,1.0077,0.8623,1.3341,1,3.6492,10.2687,10.0159,11.9502,0.878,1,0
1977,1.2856,1.0077,0.7622,1.4422,1.8321,4.2129,13.2148,10.194,7.3407,2.7482,1,1.1739
1978,1.7076,2.8508,1.6062,1.4818,1,5.7865,9.9149,12.131,9.8283,2.6102,0.8839,1.2021
1979,1.9199,1.427,0.9744,1.0698,1,4.0454,13.3596,10.6678,5.7598,1.0547,1,1.1151
1980,1.0934,1.0077,1.0039,0.4039,1,6.0257,14.5871,15.6658,7.311,1.0517,0.2001,1.0281
1981,1.9586,1.0077,1.1953,1,1.0817,3.9768,14.6235,11.5772,9.1786,0.6397,1,1.0204
