Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1951,1.1254,1.2488,1.5862,1.0698,1.019,4.785,9.753,11.4616,7.6361,1.3285,1,0
1952,1,1.8178,1.7796,1,1.4138,5.4373,9.1369,13.4275,4.9805,0.8166,1,0.126
1953,1.9447,1.4386,0.69,1,0.9975,5.1355,13.1029,10.3831,5.5275,0.7814,0,1
1954,1.4316,2.0951,1,0.5503,0.868,3.5571,11.6095,10.9075,7.2616,2.2448,0,0.5865
1955,1.9113,1.1029,1,1,1,5.5729,13.3608,10.8098,6.3202,3.4723,0,0.9792
1956,1.3977,1.4368,1.0329,0.7864,1.317,5.1891,11.264,10.0283,7.1223,3.79,1,1.246
1957,1.4289,0.7894,1.9818,1.2133,1.0071,4.1913,11.5114,10.4249,6.8995,1.2361,1,1.2158
1958,1.272,1,1.3066,1.0125,0.9322,3.4601,11.1347,12.318,7.0339,3.0442,1,1.0305
1959,1.8787,1,1,1,2.3859,2.6729,10.2978,11.0265,5.8531,3.0231,1,0
1960,1.0705,0,1.4356,1,1.0013,3.4008,12.3464,13.2504,6.1387,2.8281,0,0.9118
1961,1.7652,1.9382,0,1,1,4.3579,10.7969,12.8934,6.8853,2.9678,0.8206,1.0345
1962,1.6435,1.0309,1.0691,1.1094,1.0016,2.9799,11.0602,11.3874,9.2232,0.9759,1,1.1716
1963,1.2373,1.0079,1.536,1.1968,1.8774,4.5983,12.2026,11.9128,9.7957,1.3356,1,1
1964,1,1,1,1,1.9174,2.7951,13.3443,9.5678,8.0959,1,0,1
1965,1,1.0988,1.0382,1.3007,1.0095,2.1476,10.0982,8.9572,4.8528,2.0598,0.5606,1
1966,1,1.5993,0.6123,0.1068,1.5706,6.4212,9.7792,11.204,4.1987,1.0693,1,1.0116
1967,1,0.9975,1.8264,1,0.9372,3.4062,10.7693,15.114,6.9487,1,1,2.4068
1968,1.8951,1.2919,1,1,0.8864,3.987,10.3291,8.1929,4.6436,2.0611,0,1
1969,1.0574,1.0593,1,1.1074,2.1921,2.7156,13.196,10.854,8.7993,1,1,0
1970,1.6019,2.3178,1,0.3665,2.3757,5.1177,10.1327,11.8572,7.4662,2.0293,0,0
1971,1.0766,1.4067,1,1.2047,3.0791,6.1982,10.8151,12.6564,7.4881,3.334,1,0
1972,1.1553,2.0429,0.9975,1.1349,0.9139,2.325,7.674,10.9382,7.8105,2.7441,1,0.5977
1973,1.2242,1.3866,1,0.3139,1.0364,4.0217,10.9011,13.1134,6.6932,3.0845,0.2045,0
1974,1,1,0.9648,0.7606,1.0063,3.5707,11.3856,8.8815,3.7481,1.7675,0.2165,1
1975,1.3999,1.2613,1.1201,1,1,5.6426,11.1536,9.9841,7.7066,1.7332,0,0
1976,1.3038,1.0696,1,1.2426,1.1253,3.2073,9.1225,11.5475,6.9136,1,0.4937,0.2808
1977,1.4061,1.0896,0.4767,1.4028,1.5139,4.5286,12.8162,8.8055,6.7493,2.2937,0.589,1.1566
1978,1.3316,2.4399,1.7901,1.0233,0.9924,5.5673,8.0271,10.744,7.9933,1.4401,1,1.0213
1979,1.2746,1.5959,1,1,1.7151,3.9133,9.8776,8.3137,3.2513,0.7915,1,1
