Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1951,1.4591,1.477,1.8723,1.0107,1,4.9222,10.3387,12.5603,8.1293,1.8042,1,0
1952,1.0102,1.6952,2.0257,0.9995,1,5.911,9.9064,12.0087,6.9323,1.0001,0.9988,0
1953,2.35,1.5119,0.3501,1,0.8658,4.4882,13.4096,12.8094,7.2114,1,0,1.0195
1954,1.6872,1.6534,1,0.7146,1,3.8219,11.8292,12.1223,8.3972,1.9925,0,0.107
1955,2.5409,1.4892,1,1,1,4.4856,15.0938,10.9833,7.0928,3.4965,0,1.0195
1956,2.1984,1.2895,1.0704,1,0.9848,5.8367,10.9637,12.3195,9.5012,3.6346,1,1.3086
1957,1.5696,0.9437,2.0868,1.0124,0.9999,4.1352,11.496,12.4697,6.6985,0.9684,0.9985,1.023
1958,1.8936,1.0001,2.1399,1.0006,0.372,4.0296,10.7892,12.8447,6.6542,2.6795,0.7948,1.0195
1959,3.0982,1.0001,0.5037,0.5041,1.5873,2.5425,10.4083,13.2061,6.4944,3.9624,0.999,0
1960,1.5327,0,1.2511,1,0.9895,3.3263,12.8146,14.8999,6.4385,2.5946,0,0.1188
1961,2.0236,1.5423,0,0.4595,1,3.9972,11.6118,14.217,8.6984,2.836,1,1.0893
1962,1.8676,1.3347,1.0448,1.016,1,3.2506,11.469,12.8603,10.2831,0.4065,0.9986,1.4492
1963,1.6686,1.0531,1.6751,1.0113,1.1977,4.4352,13.8216,13.2852,8.1814,1.4701,1,1.0195
1964,0.8899,1.0048,1,1,1.0142,2.9825,12.9813,12.0504,7.9993,1.4058,0.0007,0.8985
1965,1.0105,0.9997,1.6068,1.0243,1,2.1016,10.208,9.2655,5.8985,1.9847,0.9941,1.0195
1966,1.393,1.2571,0.0118,0,0.9186,6.1657,8.4179,9.8901,4.1484,1,1,1.4235
1967,1.0105,0.3627,2.0046,1,0.9554,3.1388,11.4213,16.5466,8.0221,1,0.9986,2.4672
1968,2.2977,1.059,1,0.9992,0.8213,3.7771,10.5298,9.5404,4.9205,1.7737,0.0986,1.0195
1969,1.2308,1.0001,0.9496,1.0024,1.4602,2.8324,14.6929,11.2692,7.8662,0.9996,1,0
1970,2.1776,2.631,0.8662,0.3601,1.6026,4.8595,11.5627,11.7034,11.6227,1.9781,0.2422,0
1971,1.3145,1.2989,1,1.0196,1.7398,6.3632,10.5066,14.6212,8.2277,3.6652,0.9629,0
1972,1.9122,2.1684,1,1.0071,1,2.1182,8.7493,12.4601,7.6061,3.4769,1,0.0118
1973,1.3157,1.0001,1,0.6032,1,3.0556,11.9116,14.859,7.4632,3.3006,0.792,0
1974,1.0135,0.9993,0.6104,0.6154,1,3.4228,13.17,10.2106,4.7258,1.2958,0.7863,0.9644
1975,1.537,1.1421,1.5086,1,1,5.2717,11.8372,11.0483,8.1893,2.0722,0,0
1976,2.1655,1.0001,0.717,1.0142,1,2.9816,9.7011,10.1865,9.777,0.994,0.9823,0
1977,1.9021,1.1205,0.4602,1.0231,1.0162,4.4259,12.8473,10.2474,6.3224,2.796,1,1.4231
1978,2.0111,2.8495,1.8987,1.0065,0.866,5.4996,8.4588,11.4675,9.2802,1.9907,0.9497,1.3553
1979,1.9434,1.3043,0.9942,1,0.9996,4.428,10.3396,9.8475,4.668,1.0126,1,1.0225
1980,0.6191,1.0001,1,0.7159,0.9108,6.0521,15.0875,16.3479,7.536,1.1561,0.246,1.3985
1981,1.7627,1.0001,1.1821,0.9554,1.0042,4.6604,13.9273,13.5082,8.0877,0.7138,1,1.0195
1982,3.3279,1.316,2.1446,1.0048,1.4963,3.8909,9.9331,14.4836,10.209,1,1,1.1595
1983,1.5346,0.9989,0.9999,1.0486,1.5151,4.2732,10.5972,9.7748,7.8084,2.5643,0,1.0195
1984,2.3765,2.1969,0.4719,1.0219,1,4.8681,9.5334,10.7066,7.2357,1.6922,0.0102,1.0179
1985,1.6185,0.7148,0.2604,1.0089,1,3.503,11.2207,11.3613,8.2371,3.5045,0.148,1.0314
1986,1.2133,2.0572,1,1,1.8069,3.6375,11.4258,12.4725,7.8254,1.2807,0.9239,2.2827
1987,1.66,1.3663,1.1655,1,1.0404,1.352,8.4897,10.4,5.0589,2.9316,0.0007,1.0195
1988,1.3307,1.0007,1.5029,0.9997,1.0071,5.0872,10.8154,12.2433,5.6949,1.2618,0.9987,1.9516
1989,1.4386,1.0047,1.0767,1,1.0144,4.6211,11.9571,9.3412,7.0562,1.554,1,1.8352
1990,0.0895,1.655,1,1,1.2474,4.5028,13.3038,12.0045,8.6842,1.1755,0.8149,1.0213
1991,1.5193,1.2895,1.0757,1.0119,1.0184,2.4501,6.7715,7.2543,6.0326,0.4157,0.7342,2.1151
1992,2.169,1.031,0.6677,1,1.0095,2.5127,8.2671,9.6178,7.0048,2.7484,1,0
