Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1951,1.1121,1.192,1.9786,1.3011,0.9692,3.9221,9.4924,11.1243,6.6959,1.199,1.0251,0
1952,0.9893,1.671,2.1776,1.0804,1.0003,4.2063,9.3844,13.0772,3.6519,0.3318,0.9734,1.2329
1953,1.7304,1.1592,0.1645,1.0959,0.2938,3.5785,12.4977,10.1988,5.1206,0.6325,0,1.0004
1954,1.2558,1.8381,1.0518,0.0015,0.0633,2.356,10.6972,10.5174,6.7828,2.1459,0,0.1947
1955,1.9049,1.0281,1.0118,0.8783,0.9999,4.1349,13.4136,10.7202,5.8827,3.4092,0,0.9286
1956,1.2876,1.2014,1.3259,0.0035,0.9738,4.4461,11.8339,10.5584,6.6961,3.6216,1.0582,1.2712
1957,1.1805,0.4638,2.2857,1.5541,0.9999,3.0392,11.494,10.243,6.0442,1.1623,1.014,1.0009
1958,1.1159,0.9999,1.6566,0.9858,0.1952,2.3971,11.4135,11.7015,6.2038,2.5945,0.6126,1.0004
1959,1.8156,0.9999,0.6818,0.6913,2.2564,2.1105,10.119,11.1577,4.4751,2.9897,1.014,0
1960,1.0379,0,1.5872,1.0558,1.042,2.5752,12.1605,13.7771,4.7881,2.7885,0,0.9961
1961,1.6686,1.3979,0,0.9377,0.9999,3.3707,10.3818,13.461,6.5886,2.7219,1.0139,1.0004
1962,1.2535,1.0865,1.1836,1.2272,0.9999,2.0988,11.1324,11.3123,8.1387,0.3932,0.9734,1.1324
1963,1.2998,0.9999,1.5391,1.5257,1.5075,3.3277,11.8879,11.7832,8.7878,0.9902,1.014,1.0162
1964,0.8866,0.9999,1.0426,1.0804,1.6703,2.0409,13.0657,9.6759,7.1379,1.0407,0,1.0004
1965,0.9999,0.9999,1.2133,1.5512,0.9999,1.516,10.5904,8.1698,4.9925,2.1432,0.0641,1.0004
1966,0.9928,1.24,0.1645,0,1.1438,4.8639,8.5042,9.7601,2.8054,0.9999,1.0877,1.0535
1967,0.9999,0.4213,2.1003,1.0804,0.3745,2.4641,10.8241,15.0977,6.4991,0.9867,0.6126,2.5711
1968,1.6866,1.0009,1.0118,0.626,0.0938,2.677,10.3755,8.4859,3.8511,2.0816,0,1.0004
1969,1.0005,1.1184,0.6818,0.9187,1.8794,1.7347,13.6418,10.106,6.4316,0.7571,1.0341,0
1970,1.598,2.4602,0.8185,0.0001,2.0907,3.7743,9.6439,11.8112,8.1807,1.7572,0,0
1971,1.1312,1.2458,1.0118,1.5173,2.2649,5.0891,10.3633,12.3386,6.3557,3.2039,1.0105,0
1972,1.1818,1.8602,0.4219,1.1513,0.0944,1.6416,6.6085,10.9123,6.3701,2.816,1.0463,0.9955
1973,1.0883,1.1027,0.8505,0,0.8505,1.8418,11.8283,12.9473,6.3136,2.9931,0,0.0133
1974,0.9787,0.7184,0.3241,0.0942,0.9999,2.4174,11.0288,8.8289,2.8608,1.7576,0.2999,0.9734
1975,1.001,1.0721,1.2313,1.0804,0.4216,4.4464,11.1677,9.828,6.2837,1.941,0,0
1976,1.2941,0.9999,0.7298,1.4785,1,2.2579,9.1831,10.1591,6.8377,0.92,1.0137,0.0614
1977,1.3521,1.0589,0.0615,1.5965,1.0873,3.7256,13.0284,9.0645,5.9876,2.5729,0.3151,1.0884
