Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1951,1.5869,1.7776,2.9395,1.4164,1,6.117,11.762,13.8935,9.552,2.653,1.1427,0
1952,0.9073,2.2731,2.8203,0.9207,1,7.0673,10.95,13.0568,9.123,1.3114,0,0.8774
1953,2.9566,1.6003,0.0893,1.052,0.5438,5.3319,15.7112,15.3207,9.784,1.0049,0,1.0862
1954,1.7237,2.2817,1.0867,0.2996,1,5.3103,13.1773,13.6601,10.2544,1.9796,0,0.1735
1955,2.5539,2.0834,1.0867,0.6031,1,5.0375,17.4913,12.4485,8.8828,4.0676,0.3715,0.8125
1956,2.3453,1.7004,1.2887,0.6278,1.6459,7.5654,13.0831,14.2468,12.1272,3.9189,2.3088,1.4579
1957,1.7683,1.0263,2.4135,0.9867,0.8379,5.493,15.5758,13.6339,7.2407,0.3281,0,0.9017
1958,2.3141,1.2083,2.5462,1.0557,0.0399,4.755,14.6341,13.7364,9.101,3.5634,0,1.0665
1959,3.5436,1.0263,0,0,1.7226,3.7078,12.585,14.7687,8.2839,4.6387,0,0
1960,1.5398,0.1735,2.1641,1.0458,0.5197,4.4947,15.1891,16.8459,7.926,2.7079,0,0
1961,2.2672,2.4498,0,0,1,6.1476,13.7213,16.0059,11.063,3.2843,1.1116,1.375
1962,2.1473,1.7562,1.3257,1.5124,1,4.6584,13.2453,13.7351,12.0033,1.0707,0,1.3863
1963,1.6145,1.5657,2.5273,1.306,1.9452,6.1692,15.4883,15.9323,9.635,2.4395,1.1116,1.0665
1964,0.2001,1.7196,1.0867,1.159,1.1126,4.7302,15.3136,16.2199,9.206,2.3142,1.1675,0
1965,1.02,0.7207,2.0053,1.7907,1,3.1717,13.0824,10.2137,7.2705,2.2038,0.8759,1.0862
1966,2.3263,1.3063,0,0,0,7.6808,8.7662,10.3431,4.9713,1,2.0235,1.9471
1967,1.02,0.1735,2.9723,1.0458,1,4.75,14.0627,18.425,9.7801,1,0,2.4341
1968,2.54,1.4015,1.0867,0.2996,0.3705,5.0528,13.5884,12.4723,6.7767,2.0737,0,1.0862
1969,1.219,1.0263,0.3474,1.0458,2.0822,4.2004,16.9938,13.2266,9.1455,1,1.4218,0
1970,2.1703,3.1051,1.1362,0.0828,2.0291,6.9061,14.0049,13.2676,13.7394,2.1584,0,0
1971,1.985,1.5965,1.0867,1.7448,2.2226,9.1039,13.1476,17.7545,8.1037,4.1919,0,0
1972,2.0118,3.5324,0.8882,1.2412,0.4917,2.9458,10.3755,14.7062,7.2792,4.248,1.7505,0.4335
1973,2.0573,1.1268,0.8262,0.2035,0.8759,4.3745,12.3101,16.4674,9.4939,4.1809,1.1116,0
1974,1.1077,0.9937,0.2927,0.134,1.1673,3.7904,16.8096,12.106,6.2392,2.353,1.1116,0.4531
1975,1.9855,1.604,2.3909,1.0458,1,6.0947,15.1441,11.01,9.4985,2.6675,0.9856,0
1976,2.2811,1.1006,0.306,1.511,1,4.0266,12.6827,11.7246,12.9846,0.3547,1.1116,0
1977,1.787,1.2842,0.1439,1.6603,2.2518,6.0477,15.207,12.3264,8.972,3.0808,1.9862,1.5771
1978,2.1076,4.3526,2.4382,1.7086,0.8139,8.1023,10.8557,13.784,10.8216,2.625,0.1473,1.9327
1979,2.2231,1.8994,0.3474,1.1006,0.804,5.6504,13.1022,11.2917,6.391,1.2371,2.222,1.1991
1980,1.2943,1.0633,1.3467,0,1,8.0554,15.9972,17.5407,7.0976,1.1679,0.0069,1.2091
1981,2.1964,1.1389,1.8638,1.0458,1.3765,5.5541,16.4773,12.8675,9.8802,0.3281,1.6265,1.0887
1982,3.4984,1.8923,3.2935,1.0508,2.0078,5.295,12.4608,15.8261,12.6057,1.0372,1.9614,1.1045
1983,1.2535,1.2649,1.0636,1.657,2.1301,5.6431,13.4285,11.4386,8.5244,3.1274,0,1.0862
1984,2.8684,2.9635,0.7642,1.3627,1,6.8168,12.5972,12.4177,8.5329,2.1733,0.03,0
1985,1.9328,1.0263,0.0927,1.0975,1,4.6625,14.4537,13.4707,9.1364,4.0307,0,1.0862
1986,1.8227,2.6674,1.0123,1.0458,2.2023,5.0724,14.2974,15.0683,9.4462,1.001,1.0524,2.22
