month,forecast,Lo.80,Hi.80,Lo.95,Hi.95
jan,9.244668126,-54.64412861,73.13346486,-88.46481465,106.9541509
feb,20.28643209,-43.62196421,84.19482839,-77.45302563,118.0258898
mar,6.9004599,-57.0079364,70.8088562,-90.83899782,104.6399176
apr,5.692145335,-58.21625096,69.60054164,-92.04731239,103.4316031
may,15.7188375,-48.1895588,79.6272338,-82.02062022,113.4582952
jun,94.35223468,30.44383838,158.260631,-3.387223045,192.0916924
jul,229.8803014,165.9719051,293.7886977,132.1408437,327.6197591
aug,231.2180861,167.3096898,295.1264824,133.4786283,328.9575438
sep,134.2182772,70.30988094,198.1266735,36.47881952,231.957735
oct,20.61946878,-43.28892752,84.52786508,-77.11998894,118.3589265
nov,3.573147369,-60.33524893,67.48154367,-94.16631035,101.3126051
dec,3.556369693,-60.3520266,67.46476599,-94.18308802,101.2958274
