crop,rfrom,rto,mfrom,mto
rice,150,200,MAY,NOV
wheat,20,100,OCT,APR
cotton,50,100,JUN,NOV
jute,125,150,FEB,JUL
sugarcane,75,150,NOV,MAY
jowar,30,65,JUL,OCT
maize,60,110,JUN,SEP
pulses,50,75,JUN,OCT
ragi,70,120,MAY,SEP
ragi,70,120,NOV,DEC
gram,65,100,OCT,APR
oilseed,40,50,NOV,MAR
tobacco,50,100,AUG,OCT
potato,30,50,SEP,MAR
peas,40,50,APR,JUN
onion,35,55,JUN,NOV
onion,35,55,NOV,JUN
tomato,40,60,APR,JUN
cabbage,38,50,OCT,JAN
guava,90,120,JUN,AUG
banana,200,250,JAN,DEC
parwal,120,220,FEB,MAY
soyabean,40,50,JUN,OCT
turmeric,150,200,JUN,MAR
red chili,60,125,MAY,OCT
barley,39,43,OCT,APR
mustard,62.5,100,NOV,MAR
sesame,50,66,MAY,JAN
lobia,120,150,NOV,FEB
cucumber,25,30,APR,SEP
groundnut,40,50,JUN,DEC
lemon,90,120,JUN,AUG
beans,30,50,NOV,FEB
sunflowers,60,100,MAY,AUG
alfalfa,45,90,FEB,SEP
